Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,326955,34,34,6,10,18,323962,0
0,0,6322,47,47,6,18,15,3197,1
0,0,772874,151,151,6,80,28,769737,0
1,0,638513,75,75,2,40,7,636579,0
0,0,220362,118,118,5,10,18,217744,0
1,0,40751,44,44,2,64,68,38379,1
0,0,5438,140,140,7,70,90,3198,1
0,0,8449,124,124,6,74,45,5315,1
0,0,37772,137,137,6,59,11,34755,1
1,0,11809,41,41,2,76,66,9641,0
1,0,8362,135,135,2,88,87,5834,0
0,0,96112,115,115,6,13,1,92984,1
1,0,7840,71,71,2,8,16,6842,1
1,0,16287,37,37,2,12,60,13156,1
1,0,371763,4,4,9,38,45,371065,1
0,0,3141,92,92,7,31,61,982,1
1,0,5564,42,42,2,34,36,2433,1
0,0,567659,27,27,1,18,33,567123,0
0,0,634208,32,32,8,2,39,633441,0
0,0,34862,90,90,1,7,28,34431,1
1,0,742903,103,103,2,75,23,741965,0
1,0,11203,46,46,2,55,41,8075,1
1,0,12199,146,146,2,35,96,10430,0
1,0,631461,76,76,2,40,7,630235,0
0,0,2165,138,138,7,21,88,1,1
1,0,676357,31,31,2,93,23,675068,0
0,0,46094,78,78,5,59,37,43491,1
1,0,301337,23,23,2,5,5,298548,1
0,0,48145,3,3,4,20,30,47690,1
0,0,11508,110,110,5,45,81,8902,1
0,0,1015710,36,36,6,46,35,1014604,0
