Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1005,18,18,8,64,54,1,1
1,0,573456,47,47,2,31,3,572590,0
0,0,632799,50,50,6,69,19,629461,0
1,0,1017672,49,49,2,11,34,1015075,0
0,0,1291,14,14,8,92,56,11,1
0,0,55385,129,129,6,54,0,52233,1
1,0,6751,105,105,2,90,79,5450,0
1,0,3425,118,118,2,67,84,855,1
0,0,765509,37,37,6,75,22,762384,0
0,0,750258,9,9,7,70,38,748432,0
0,0,153763,102,102,5,53,21,151067,1
0,0,307836,151,151,8,43,14,304756,0
0,0,13944,62,62,5,0,44,11467,1
0,0,43791,70,70,6,78,9,40663,1
1,0,100486,54,54,2,46,13,98009,0
0,0,1126783,131,131,5,13,39,1124243,1
0,0,4790,124,124,6,20,63,1644,1
0,0,304,128,128,7,81,64,2,0
0,0,30678,114,114,7,42,9,29548,1
0,0,642289,107,107,6,49,8,639173,0
0,0,40231,110,110,7,15,82,38468,1
0,0,704,15,15,3,16,57,18,1
1,0,694715,134,134,2,34,26,691713,0
0,0,33620,85,85,6,68,38,30504,1
1,0,5807,130,130,2,34,26,3882,1
1,0,762911,103,103,2,34,26,760413,0
0,0,100844,33,33,7,71,12,99663,0
1,0,506465,71,71,2,41,19,504186,1
0,0,559272,81,81,6,54,40,556483,0
0,0,4270,36,36,5,84,42,1799,1
1,0,824374,63,63,2,34,26,822413,0
1,0,672501,87,87,2,86,24,670264,0
0,0,484,139,139,8,60,91,2,1
1,0,7065,68,68,2,74,72,6076,1
0,0,506906,99,99,0,87,14,503742,0
1,0,28960,2,2,2,86,31,27503,1
1,0,1651,94,94,2,14,62,830,1
0,0,302755,60,60,8,43,14,301802,0
0,0,1330,12,12,8,65,50,2,0
1,0,492209,23,23,2,82,1,489726,0
0,0,704396,17,17,8,46,36,703461,0
1,0,7840,67,67,2,8,16,6842,1
0,0,24175,38,38,6,18,47,21059,1
1,0,1482,106,106,2,44,80,1,0
1,0,3560,31,31,2,5,65,861,0
0,0,40333,119,119,6,23,84,37199,1
0,0,6322,45,45,6,18,15,3197,1
1,0,673825,82,82,2,73,26,670661,0
1,0,201983,146,146,2,51,10,197949,0
1,0,232598,154,154,2,31,3,230508,0
0,0,52289,84,84,6,9,38,48939,1
1,0,796646,61,61,2,10,29,794730,0
1,0,714709,100,100,2,73,26,711560,0
1,0,1815,93,93,2,52,78,1,0
0,0,11460,143,143,7,71,95,9091,1
0,0,772874,149,149,6,81,28,769737,0
1,0,341160,155,155,2,86,3,338881,1
0,0,135805,156,156,6,28,5,132644,0
0,0,326955,32,32,6,10,18,323962,0
1,0,2735,78,78,2,60,74,246,1
1,0,4884,51,51,2,72,46,1753,1
0,0,562767,59,59,6,57,6,559651,0
1,0,676357,29,29,2,93,23,675068,0
0,0,11360,91,91,6,44,77,8184,1
0,0,1011,8,8,8,38,48,1,0
0,0,7732,65,65,6,37,71,4595,0
0,0,696,115,115,7,80,83,1,0
1,0,552643,117,117,2,28,20,550361,1
0,0,225838,92,92,6,33,17,222980,0
0,0,5115,56,56,5,37,38,2545,1
0,0,296392,25,25,6,51,15,293633,0
1,0,36371,141,141,2,58,93,34218,1
0,0,220362,116,116,5,10,18,217744,0
1,0,532553,153,153,2,6,14,531252,0
0,0,34862,88,88,1,7,28,34431,1
1,0,638513,72,72,2,42,7,636579,0
1,0,685611,69,69,2,30,17,683131,0
1,0,40751,42,42,2,66,68,38379,1
0,0,5438,138,138,7,71,90,3198,1
0,0,8449,122,122,6,75,45,5315,1
0,0,37772,135,135,6,61,11,34755,1
1,0,11809,39,39,2,77,66,9641,0
1,0,8362,133,133,2,89,87,5834,0
0,0,96112,113,113,6,13,1,92984,1
1,0,6579,66,66,2,8,16,5257,1
1,0,16287,35,35,2,12,60,13156,1
1,0,371763,4,4,9,39,45,371065,1
0,0,3141,90,90,7,32,61,982,1
1,0,5564,40,40,2,35,36,2433,1
0,0,567659,26,26,1,18,33,567123,0
0,0,634208,30,30,8,2,39,633441,0
1,0,673601,74,74,2,80,27,670680,0
1,0,741862,157,157,2,74,23,740972,0
1,0,11203,44,44,2,57,41,8075,1
1,0,12199,144,144,2,36,96,10430,0
1,0,631461,73,73,2,42,7,630235,0
0,0,2165,136,136,7,22,88,1,1
0,0,68231,97,97,6,74,23,65097,1
0,0,46094,75,75,5,61,37,43491,1
1,0,301337,22,22,2,4,5,298548,1
0,0,48145,3,3,4,21,30,47690,1
0,0,11508,108,108,5,47,81,8902,1
0,0,1015710,34,34,6,48,35,1014604,0
