Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,22835,146,2,0,74,20457,0
0,0,65602,25,2,0,54,62846,0
0,0,321121,171,2,0,32,318503,0
0,0,3099,84,2,0,65,313,1
0,0,2201057,54,2,0,32,2198634,1
1,0,1882048,104,1,1,31,1879670,0
1,0,2065088,101,1,1,31,2062416,0
0,0,8030,144,2,0,74,5538,1
0,0,54570,28,3,0,44,51787,1
0,0,12466,229,2,0,87,9926,1
0,0,1745786,13,2,0,31,1743231,0
0,0,1189938,225,2,0,24,1187140,0
0,0,580806,93,5,0,8,578836,1
0,0,565358,82,2,0,32,563163,1
0,0,935144,132,2,0,31,932427,1
0,0,7331,91,3,0,48,4482,1
0,0,156435,34,3,0,19,153649,1
0,0,249052,71,2,0,9,246272,1
0,0,344245,14,2,0,0,341906,1
0,0,194602,248,3,0,9,191840,1
0,0,536061,256,2,0,15,533287,0
0,0,1851640,106,2,0,31,1848668,0
0,0,450835,66,2,0,6,448496,1
0,0,14547,21,2,0,52,12235,0
0,0,417885,137,2,0,16,415123,0
0,0,237391,70,2,0,9,234584,1
0,0,7271,23,2,0,53,4884,0
0,0,3982,2,2,0,36,1541,0
0,0,21057,155,2,0,3,18763,1
0,0,388287,239,2,0,16,385492,0
0,0,11601,40,2,0,59,9187,0
0,0,175571,92,2,0,28,172800,1
0,0,110238,228,3,0,87,107374,0
0,0,768058,75,2,0,23,765323,0
0,0,8573,216,2,0,84,6039,1
0,0,7513,4,2,0,38,4757,1
0,0,191757,114,2,0,10,188965,1
0,0,205713,246,2,0,9,202903,1
0,0,1484951,182,3,0,30,1482129,1
0,0,880730,134,2,0,31,877992,1
0,0,12861,240,2,0,89,10087,1
0,0,763632,130,2,0,31,761305,0
1,0,1152001,180,1,1,30,1149578,1
0,0,171302,231,4,0,12,169443,0
0,0,187696,247,2,0,9,185057,1
0,0,2180588,53,2,0,32,2178147,1
0,0,17047,38,2,0,45,14579,1
0,0,222070,178,2,0,5,219359,0
0,0,1181628,224,2,0,24,1179322,0
1,0,2776,49,1,1,61,113,1
0,0,950785,133,2,0,31,948302,1
0,0,8596,126,2,0,72,5819,0
0,0,24923,61,2,0,47,22032,0
1,0,42017,200,1,1,81,39222,0
1,0,1150558,193,1,1,23,1147775,1
0,0,665447,73,3,0,23,662586,1
1,0,276688,211,1,1,24,274223,0
1,0,396615,250,1,1,18,394090,1
0,0,381075,237,2,0,16,378301,0
1,0,2113696,52,1,1,31,2111357,0
1,0,255561,18,1,1,23,253126,0
0,0,22052,241,2,0,90,19278,1
0,0,198843,128,2,0,5,196225,0
0,0,775880,131,2,0,31,773208,1
0,0,421319,160,2,0,15,418704,0
0,0,167573,37,3,0,19,164778,1
0,0,11536,33,2,0,58,9554,1
1,0,597333,1,1,1,18,595705,1
