Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1138,6,5,108,2,0
1,8253,105,104,42,6340,1
1,1189025,189,189,52,1186812,0
1,496899,104,103,1,495853,0
0,1474,17,16,31,101,1
0,1039862,78,77,38,1037046,0
0,20107,70,69,51,17801,1
0,14203,59,58,33,11819,1
0,391932,8,7,59,389746,1
0,3932,163,163,119,1401,0
0,915393,64,63,34,914149,0
0,682195,71,70,19,679628,0
0,394758,21,20,9,393970,0
0,580782,170,170,21,579763,0
1,4883,42,41,83,2628,1
1,519612,205,205,28,517492,1
0,2976,165,165,78,781,0
0,1159648,146,146,42,1157084,0
0,7454,54,53,90,5259,1
1,654471,77,76,53,652312,1
0,2907,36,35,73,667,0
0,27924,7,6,17,26149,1
0,1705791,90,89,54,1703299,1
0,3230,130,130,22,921,1
0,2152,10,9,61,38,0
0,507624,192,192,3,505363,0
0,482055,114,114,10,479794,0
1,123424,232,232,8,121439,0
1,805063,180,180,39,803291,0
0,3147,43,42,84,535,1
0,7548,56,55,92,5362,0
0,11573,112,111,104,9210,0
1,369509,63,62,13,367296,1
0,707127,49,48,23,704929,0
0,351915,201,201,58,350539,1
0,6111,24,23,69,4843,1
0,307939,226,226,11,306221,1
1,464804,167,167,22,462621,1
0,1036,15,14,64,2,1
1,763015,84,83,38,760970,0
1,547726,137,137,7,545198,0
0,19404,200,200,123,17227,0
0,53099,223,223,39,50910,1
0,2191081,89,88,54,2188577,1
1,52834,184,184,0,50840,0
1,13918,124,124,106,11750,1
1,18062,136,136,109,16122,1
1,436942,177,177,24,434816,0
1,34512,92,91,98,32440,1
0,5683,58,57,93,3845,0
1,1835456,208,208,49,1833030,0
1,731499,32,31,23,729406,0
1,562476,174,174,10,560179,0
0,560608,181,181,16,558551,0
0,92121,142,142,41,90979,1
0,7735,186,186,80,5258,1
0,2352753,133,133,54,2351474,0
1,5117,217,217,82,2943,0
0,120751,187,187,3,119534,1
0,9642,214,214,125,7252,0
0,28514,0,112,105,26043,0
0,1699,87,86,8,101,1
1,3774,19,18,66,1570,0
1,468090,40,39,2,465892,0
0,3637,164,164,34,1680,1
1,619207,206,206,9,617003,0
0,369971,62,61,56,367785,0
1,10067,28,27,46,8418,1
1,1108,162,162,77,1,0
0,3468,72,71,96,1171,0
0,1009265,79,78,38,1006986,0
1,609450,135,135,16,607396,0
0,28523,82,81,38,26538,1
0,2650,26,25,35,386,1
0,6868,185,185,121,4559,1
0,50074,190,190,3,47909,1
1,669243,188,188,18,667156,0
1,17178,110,109,103,14941,1
0,4593,2,1,17,2230,1
0,161779,96,95,12,159506,1
0,798,168,168,79,1,1
1,1167843,147,147,42,1165567,0
1,299939,227,227,11,297915,1
1,18493,47,46,34,16673,1
0,5471,140,140,112,3207,1
0,5333,22,21,67,3093,1
0,59387,95,94,42,57738,1
0,477141,199,199,7,476586,0
0,5583,101,100,100,3223,0
1,40877,204,204,29,40377,1
1,175988,212,212,21,173664,0
0,180595,121,121,60,178343,0
0,827,14,13,63,3,0
0,140815,228,228,11,140096,1
0,16433,194,194,81,14709,1
1,35613,196,196,122,33460,1
1,16106,75,74,97,14127,0
0,194620,127,127,55,192110,0
0,85349,67,66,4,84366,1
0,311650,215,215,12,309482,1
0,703891,74,73,23,701787,0
0,7225,108,107,102,4853,0
0,3201,61,60,75,2560,1
0,17152,139,139,111,14774,1
0,43304,159,159,57,40902,1
0,52112,106,105,45,49749,1
0,2335,171,171,12,101,1
0,3704,23,22,68,1446,1
1,12933,115,115,40,10912,1
1,60946,149,149,54,58898,1
1,1287,20,19,70,1,0
0,3133,53,52,90,824,1
0,23314,236,236,2,21104,0
0,18709,35,34,27,16532,1
1,399311,93,92,14,397290,0
0,66424,233,233,36,64094,1
1,469090,34,33,1,466913,0
0,4184,235,235,36,1923,1
0,754574,175,175,26,752403,0
0,646569,183,183,12,644707,0
1,480279,207,207,46,478171,0
1,636865,81,80,20,634829,0
0,377705,100,99,59,375522,0
0,400277,27,26,10,398004,0
0,703107,151,151,22,702547,0
1,411395,37,36,13,410220,0
0,5540,44,43,85,3963,1
0,526037,39,38,3,525222,0
0,115059,161,161,22,112891,1
1,28472,221,221,47,26358,1
1,3258,211,211,124,754,1
1,961848,157,157,37,959689,0
1,16197,179,179,120,13717,1
0,1669,48,47,87,2,1
1,113111,169,169,15,111105,1
0,81116,5,4,13,80040,1
1,27218,69,68,51,24993,1
0,2152465,191,191,53,2150273,0
1,5726,1,0,126,3723,0
1,1909430,132,132,53,1907460,1
0,1835184,68,67,48,1832923,0
1,67187,210,210,16,64983,1
0,315631,216,216,12,313523,1
0,6765,193,193,81,4204,1
0,1518,60,59,94,1,1
1,477984,154,154,5,475453,0
1,19107,107,106,45,16912,1
1,2336,152,152,115,3,1
1,468765,85,84,54,466540,0
0,4334,98,97,99,1968,1
0,71096,141,141,41,68619,1
0,909502,76,75,35,907241,0
1,1116077,156,156,41,1113876,0
1,62927,153,153,24,60651,1
0,57522,128,128,22,55348,1
0,1333,16,15,65,3,0
1,811009,213,213,33,808763,0
0,1475,3,2,127,3,0
0,471716,220,220,5,470270,0
0,2123600,88,87,53,2121408,0
0,4215,73,72,19,1969,1
1,252998,134,134,28,250869,0
0,6479,138,138,110,5838,1
0,68193,150,150,25,66007,1
