Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,10624,96,0,52,9845
0,71,266241,144,0,15,265438
0,10,313431,85,0,14,312547
0,26,486743,59,0,1,485586
0,10,285745,83,0,14,284939
1,5,827468,209,1,14,826311
0,3,1047,1,0,21,259
1,49,265814,200,0,11,265029
0,27,18784,99,0,55,18002
1,10,997273,212,0,14,996476
0,10,305564,86,0,14,304740
1,36,13592,102,1,56,12324
1,0,30765,28,0,42,29968
0,7,422034,16,0,4,420934
1,62,941707,7,0,14,940901
0,44,12388,138,0,64,11468
1,15,269718,149,1,19,269074
1,31,65754,234,0,80,64810
1,99,1522877,182,0,17,1521903
1,11,17173,217,0,77,16040
0,27,13948,30,0,43,13148
0,62,387281,11,0,14,386064
0,5,290434,82,1,14,289571
1,52,975187,117,0,19,974237
0,52,1679298,73,0,19,1678525
0,42,6002,241,1,82,5043
1,15,1592913,75,1,19,1591840
0,15,663114,15,1,19,662260
1,5,432941,203,1,14,432381
0,7,277578,84,0,14,276769
1,13,4723,24,1,39,4340
1,27,23810,60,0,47,22572
0,75,231201,246,0,5,230431
0,28,2142542,188,0,18,2141583
0,27,13418,152,0,67,12669
0,72,1694274,70,0,19,1693627
0,17,25842,199,1,75,24370
0,29,9998,78,1,50,9753
0,45,1577124,190,0,18,1576114
0,18,1229889,179,0,17,1228786
0,77,1778534,131,0,18,1777443
1,5,1152958,195,1,14,1151783
0,62,907521,142,0,14,906301
0,51,23852,33,1,27,23046
0,71,1148502,229,0,15,1147669
1,21,655,0,1,83,2
0,33,223492,245,1,5,222386
0,72,1631767,72,0,19,1631120
1,5,667923,94,1,14,666610
0,71,272963,214,0,15,272211
0,76,11872,132,1,61,11348
0,71,247509,145,0,15,246700
