Chromosome_Location,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Subclass,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,2003214,14,14,0,4,2,2002366,0
1,17401205,124,124,1,12,8,17399302,1
1,16920482,121,121,0,17,1,16919435,1
1,8297673,63,63,0,1,7,8296462,1
1,3235158,28,28,0,1,7,3233849,1
1,20286216,139,139,0,4,1,20285100,1
1,4365383,35,35,0,21,7,4363173,1
1,9136441,73,73,1,12,9,9134295,0
1,17627223,127,127,0,1,3,17625592,1
1,3802426,32,32,1,12,8,3800009,0
1,15431493,115,115,0,9,7,15429022,1
0,40361,166,166,1,16,4,37650,1
1,10601584,81,81,0,1,2,10600723,1
1,5210452,41,41,0,23,2,5209340,1
1,13980614,106,106,0,1,7,13979644,1
1,21840929,149,149,0,0,3,21839502,1
1,18038313,129,129,0,1,3,18037247,1
1,23311866,153,153,0,1,1,23310921,0
1,4622430,37,37,0,21,7,4620634,1
1,8068432,62,62,0,1,2,8066724,0
1,3049161,23,23,0,23,7,3048399,0
1,424362,2,2,0,20,7,423166,0
1,10835283,85,85,0,0,2,10832824,1
1,8836279,71,71,1,6,9,8834339,1
1,8377941,64,64,0,1,7,8377093,1
1,21107478,146,146,0,1,1,21106076,0
1,22342311,150,150,0,0,1,22341328,1
1,8706530,69,69,1,2,8,8704372,0
1,448516,3,3,0,15,7,445739,0
1,1005104,7,7,0,1,2,1003707,1
1,5764705,46,46,0,1,7,5763288,1
1,20600592,142,142,0,0,1,20599396,0
1,13953853,104,104,0,0,2,13952477,0
1,1044324,9,9,0,4,2,1043726,0
1,18150907,130,130,0,4,1,18149782,1
1,7207112,57,57,0,0,2,7205454,1
1,21033305,145,145,0,0,1,21032577,1
1,14201412,107,107,0,20,2,14200354,1
1,19361160,138,138,0,1,1,19359904,0
1,22800650,152,152,0,0,3,22799643,0
1,6170322,49,49,0,1,7,6168823,1
1,5212347,42,42,0,0,7,5211163,1
1,10790484,83,83,0,0,7,10789222,0
1,4756236,38,38,0,4,7,4754812,0
1,19131431,136,136,0,10,3,19128978,1
1,24324304,161,161,0,1,1,24323249,0
1,18449802,132,132,0,1,3,18448896,0
1,5646569,45,45,0,0,7,5645517,0
1,4431456,36,36,0,25,7,4430512,1
1,8662629,68,68,0,0,7,8661322,0
1,1565906,12,12,0,4,7,1564519,1
1,5596435,44,44,0,1,7,5595701,0
1,17542792,125,125,0,1,1,17541345,0
1,24075061,159,159,0,1,3,24073248,1
1,13813861,102,102,0,0,2,13812362,0
1,3098509,26,26,0,0,7,3097631,0
1,17214370,122,122,0,15,1,17212826,1
1,23718778,156,156,0,1,1,23717642,0
0,9294,164,164,0,13,5,6891,1
1,4910787,40,40,0,4,7,4909550,1
1,15742919,116,116,0,0,7,15740403,1
1,13816694,103,103,0,15,7,13815414,0
1,16024976,117,117,0,7,7,16024497,0
1,10514318,80,80,0,0,7,10512900,0
1,9311660,77,77,0,0,7,9310200,0
1,11655236,90,90,0,0,2,11654436,1
1,8661219,67,67,0,0,2,8660182,0
1,7303713,58,58,0,4,2,7302490,1
1,12567288,95,95,0,1,7,12566661,1
1,24717108,162,162,0,1,3,24715475,1
1,1471242,11,11,0,1,7,1469688,1
1,21368024,147,147,0,1,3,21366772,1
1,7009171,56,56,0,1,7,7008393,1
1,10634319,82,82,0,0,7,10632709,1
1,1005618,8,8,0,1,7,1005001,1
1,8987276,72,72,1,3,8,8985246,0
1,20333137,140,140,0,0,1,20331131,0
1,10429864,79,79,0,4,7,10428729,1
