Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,14845,49,2,60,11996,0
0,0,8092,215,1,83,5759,0
1,0,13979,200,0,80,11352,1
0,0,1053239,111,1,23,1050549,0
0,0,15062,87,1,66,12438,0
1,0,1100880,197,0,23,1098211,1
0,0,8115,174,2,49,5269,1
0,0,379418,172,1,34,376740,1
0,0,2047179,187,1,31,2044399,1
0,0,665447,75,2,23,662586,1
0,0,519004,254,1,7,516413,0
0,0,1324430,90,1,32,1322082,0
0,0,1156973,236,1,31,1154469,0
1,0,9580,199,0,79,6749,1
0,0,428427,89,2,20,425755,0
0,0,1096585,235,1,31,1093946,1
0,0,810651,171,1,22,808318,0
0,0,12594,152,1,76,9967,0
0,0,9089,218,1,85,6579,1
1,0,45075,123,0,72,42286,0
1,0,1611964,99,0,30,1609262,1
0,0,1828534,106,1,31,1825916,0
0,0,483376,96,1,24,480707,1
0,0,1865809,104,1,31,1862957,0
0,0,139709,256,1,1,138117,0
0,0,404584,117,1,22,402206,0
0,0,1731005,193,2,29,1728183,0
0,0,2060220,186,1,31,2057611,1
1,0,255561,16,0,23,253126,0
0,0,12158,10,1,43,9363,1
0,0,21771,85,1,64,19363,0
0,0,506933,17,2,23,504105,0
0,0,465591,164,1,15,462814,0
0,0,292921,246,1,6,290183,1
0,0,579976,259,1,15,577358,0
0,0,16377,145,1,74,13513,1
1,0,199898,35,0,19,197364,1
1,0,1633076,189,0,31,1630521,0
0,0,602587,42,1,31,600077,0
0,0,768058,77,1,23,765323,0
0,0,1129346,170,1,32,1126764,1
0,0,20976,59,1,46,18310,0
0,0,5331,150,1,75,2932,0
0,0,204433,64,1,14,201761,1
0,0,1825289,190,1,32,1822929,0
0,0,700388,14,1,15,697620,0
0,0,6553,119,1,68,4166,1
0,0,1169591,224,2,24,1166769,0
0,0,21057,156,1,3,18763,1
0,0,565683,139,1,6,563344,1
0,0,262330,244,1,6,259847,0
0,0,1251196,183,1,30,1248512,0
0,0,1015945,210,1,23,1013150,1
0,0,1147282,169,1,32,1144757,1
0,0,721934,76,1,23,719244,1
1,0,1582479,188,0,31,1579936,0
0,0,237391,72,1,9,234584,1
0,0,218715,57,1,17,215884,1
0,0,11062,4,1,39,8450,0
0,0,1570228,98,3,30,1568267,1
1,0,308185,67,0,23,306188,0
0,0,561205,47,1,8,558770,0
0,0,410579,135,1,16,407808,0
0,0,57145,58,2,46,54284,0
0,0,849988,207,1,23,847319,0
0,0,456596,15,1,5,453903,1
0,0,60414,228,1,87,57859,1
0,0,1007699,208,1,23,1005114,1
0,0,7898,9,1,42,5274,1
0,0,245264,50,1,0,242583,0
0,0,4732,122,1,71,2051,0
0,0,21506,60,1,62,18858,0
0,0,23129,125,2,73,20358,1
0,0,472189,71,1,18,469499,0
1,0,1014233,133,0,31,1011738,0
0,0,34218,61,1,62,31414,0
0,0,2102129,101,1,31,2099463,1
0,0,82609,137,2,19,79808,1
0,0,1317329,97,1,30,1314768,0
1,0,396615,253,0,18,394090,1
0,0,585607,83,1,6,583331,1
0,0,10603,6,2,40,7772,1
0,0,460231,148,1,13,457457,1
1,0,276688,212,0,24,274223,0
0,0,187696,250,1,9,185057,1
0,0,10893,92,1,33,8359,1
0,0,4709,30,1,57,2067,1
0,0,13678,157,1,3,10931,1
0,0,14331,231,1,88,11776,1
0,0,1650945,11,1,31,1648582,1
0,0,7054,121,1,70,4541,0
1,0,476059,149,0,5,473501,0
0,0,3590,213,1,82,942,1
0,0,1816759,192,1,32,1814429,0
0,0,2010450,108,1,32,2008033,1
0,0,529696,178,1,1,526820,1
0,0,280853,65,1,23,278046,0
1,0,436968,247,0,6,434224,0
1,0,408724,138,0,35,406415,1
0,0,1036042,116,1,25,1033382,0
0,0,25731,8,2,41,22858,0
0,0,35248,53,1,61,32438,0
0,0,2099,2,3,37,3,1
1,0,903444,114,0,23,900637,0
1,0,559805,147,0,13,557001,1
0,0,2171498,185,1,31,2169063,1
0,0,817323,79,1,23,814468,0
0,0,35322,194,1,77,32611,1
0,0,585177,206,2,23,582301,0
0,0,41459,220,2,86,38613,1
0,0,594398,177,1,1,592146,1
0,0,421319,162,1,15,418704,0
0,0,16042,110,2,67,13142,0
0,0,629809,112,2,13,627020,1
0,0,620072,45,1,8,617640,1
1,0,86749,154,0,3,84020,1
0,0,1115182,221,1,24,1112378,0
0,0,546370,48,1,8,543824,0
0,0,22835,146,1,74,20457,0
0,0,65602,23,1,54,62846,0
0,0,321121,173,1,32,318503,0
0,0,3099,86,1,65,313,1
0,0,2201057,56,1,32,2198634,1
1,0,1882048,103,0,31,1879670,0
1,0,2065088,100,0,31,2062416,0
0,0,8030,144,1,74,5538,1
0,0,54570,26,2,44,51787,1
0,0,12466,230,1,87,9926,1
0,0,1745786,12,1,31,1743231,0
0,0,1189938,226,1,24,1187140,0
0,0,596823,95,1,8,594229,1
0,0,565358,84,1,32,563163,1
0,0,935144,130,1,31,932427,1
0,0,7331,93,2,48,4482,1
0,0,167573,36,2,19,164778,1
0,0,191757,113,1,10,188965,1
0,0,344245,13,1,0,341906,1
0,0,205713,249,1,9,202903,1
0,0,546874,142,1,15,544250,0
0,0,1851640,105,1,31,1848668,0
0,0,468388,69,2,6,465485,0
0,0,14547,19,1,52,12235,0
0,0,425184,136,1,16,422410,0
0,0,249052,73,1,9,246272,1
0,0,7271,21,1,53,4884,0
0,0,3982,1,1,36,1541,0
1,0,71558,155,0,3,69066,0
0,0,399549,239,1,16,396772,0
0,0,11601,40,1,59,9187,0
0,0,175571,94,1,28,172800,1
0,0,110238,229,2,87,107374,0
0,0,783613,78,1,23,780839,0
0,0,8573,216,1,84,6039,1
0,0,7513,3,1,38,4757,1
0,0,171781,0,3,11,169685,1
0,0,221070,140,1,9,218443,1
0,0,1484951,184,2,30,1482129,1
0,0,880730,132,1,31,877992,1
0,0,12861,241,1,89,10087,1
0,0,763632,128,1,31,761305,0
1,0,1152001,182,0,30,1149578,1
0,0,184674,5,1,12,182293,0
0,0,194602,251,2,9,191840,1
0,0,2180588,55,1,32,2178147,1
0,0,17047,37,1,45,14579,1
0,0,256062,181,1,5,253732,0
0,0,1181628,225,1,24,1179322,0
1,0,2776,51,0,61,113,1
0,0,950785,131,1,31,948302,1
0,0,8596,124,1,72,5819,0
0,0,24923,63,1,47,22032,0
1,0,42017,202,0,81,39222,0
0,0,1200167,196,1,23,1197396,0
0,0,696919,74,1,23,694046,0
1,0,316755,118,0,24,314314,0
0,0,428401,70,1,18,425663,0
0,0,388287,240,1,16,385492,0
1,0,2113696,54,0,31,2111357,0
0,0,272153,66,1,23,269451,0
0,0,22052,242,1,90,19278,1
0,0,222070,180,1,5,219359,0
0,0,775880,129,1,31,773208,1
1,0,432436,160,0,15,429818,0
0,0,180486,34,1,19,177754,1
0,0,11536,32,1,58,9554,1
0,0,15093,158,2,19,12226,0
