Entity_Type,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,78,1115182,220,220,0,24,1112378,0
0,0,98,556640,252,252,0,7,553878,0
0,0,99,22835,146,146,0,74,20457,0
0,0,46,65602,24,24,0,54,62846,0
0,0,97,321121,171,171,0,32,318503,0
0,0,51,3099,85,85,0,65,313,1
0,0,113,2201057,53,53,0,32,2198634,1
1,0,119,1882048,105,105,1,31,1879670,0
1,0,28,2065088,102,102,1,31,2062416,0
0,0,51,8030,144,144,0,74,5538,1
0,0,56,54570,27,27,0,44,51787,1
0,0,103,12466,229,229,0,87,9926,1
0,0,74,1745786,12,12,0,31,1743231,0
0,0,110,1189938,225,225,0,24,1187140,0
0,0,85,580806,94,94,0,8,578836,1
0,0,113,565358,83,83,0,32,563163,1
0,0,86,935144,132,132,0,31,932427,1
0,0,61,7331,92,92,0,48,4482,1
0,0,27,167573,36,36,0,19,164778,1
0,0,4,249052,71,71,0,9,246272,1
0,0,100,344245,13,13,0,0,341906,1
0,0,86,194602,249,249,0,9,191840,1
0,0,88,536061,256,256,0,15,533287,0
0,0,81,1851640,107,107,0,31,1848668,0
0,0,118,450835,66,66,0,6,448496,1
0,0,46,14547,20,20,0,52,12235,0
0,0,53,417885,137,137,0,16,415123,0
0,0,20,237391,70,70,0,9,234584,1
0,0,99,7271,22,22,0,53,4884,0
0,0,70,3982,1,1,0,36,1541,0
0,0,43,21057,155,155,0,3,18763,1
0,0,117,388287,240,240,0,16,385492,0
0,0,51,11601,39,39,0,59,9187,0
0,0,104,175571,93,93,0,28,172800,1
0,0,101,110238,228,228,0,87,107374,0
0,0,34,783613,76,76,0,23,780839,0
0,0,65,8573,215,215,0,84,6039,1
0,0,127,7513,3,3,0,38,4757,1
0,0,59,191757,115,115,0,10,188965,1
0,0,19,205713,247,247,0,9,202903,1
0,0,45,1484951,182,182,0,30,1482129,1
0,0,40,880730,134,134,0,31,877992,1
0,0,110,12861,241,241,0,89,10087,1
0,0,74,763632,130,130,0,31,761305,0
1,0,111,1152001,180,180,1,30,1149578,1
0,0,12,171302,231,231,0,12,169443,0
0,0,15,187696,248,248,0,9,185057,1
0,0,57,2180588,52,52,0,32,2178147,1
0,0,106,17047,37,37,0,45,14579,1
0,0,67,222070,178,178,0,5,219359,0
0,0,78,1181628,224,224,0,24,1179322,0
1,0,11,2776,48,48,1,61,113,1
0,0,40,950785,133,133,0,31,948302,1
0,0,51,8596,126,126,0,72,5819,0
0,0,18,24923,60,60,0,47,22032,0
1,0,50,42017,200,200,1,81,39222,0
0,0,34,1200167,194,194,0,23,1197396,0
0,0,22,696919,72,72,0,23,694046,0
1,0,95,316755,120,120,1,24,314314,0
0,0,76,428401,68,68,0,18,425663,0
0,0,17,381075,238,238,0,16,378301,0
1,0,28,2113696,51,51,1,31,2111357,0
0,0,72,272153,63,63,0,23,269451,0
0,0,9,22052,242,242,0,90,19278,1
0,0,79,198843,128,128,0,5,196225,0
0,0,81,775880,131,131,0,31,773208,1
0,0,130,421319,160,160,0,15,418704,0
0,0,42,180486,34,34,0,19,177754,1
0,0,51,11536,32,32,0,58,9554,1
0,0,132,15093,157,157,0,19,12226,0
