Strand_Orientation,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,0,49,113111,166,166,0,1,15,111105
1,0,86,79561,117,117,1,0,55,77369
0,0,73,1189025,189,189,0,1,50,1186812
0,0,43,805063,179,179,0,1,38,803291
0,0,23,1835456,205,205,0,1,47,1833030
1,0,123,4516,53,52,3,0,89,3179
0,0,96,611448,110,110,2,0,10,610807
1,0,108,5046,158,158,1,0,116,2860
0,0,16,1204656,197,197,0,1,44,1202680
1,0,16,4025,164,164,1,0,16,1761
1,0,41,2650,26,25,1,0,34,386
0,0,10,689616,82,81,0,1,52,687517
1,0,9,335828,154,154,0,1,29,333633
0,0,63,480279,204,204,0,1,44,478171
1,0,64,7012,7,6,0,1,31,5501
1,0,117,2096,144,144,0,1,112,747
0,0,123,1138,6,5,3,0,106,2
0,0,38,1116077,151,151,0,1,40,1113876
1,0,100,76316,30,29,1,0,50,74154
0,0,125,496899,102,101,0,1,1,495853
1,0,59,15153,206,206,1,0,30,12949
0,0,98,1027491,76,75,1,0,37,1024990
1,0,91,170211,122,122,0,1,48,168412
0,0,64,799420,225,225,0,1,31,796943
1,0,3,391932,9,8,1,0,57,389746
0,0,77,3932,161,161,1,0,117,1401
0,0,13,914046,63,62,3,0,33,913312
0,0,124,244454,157,157,2,0,19,243822
0,0,132,394758,21,20,2,0,9,393970
0,0,34,574603,169,169,1,0,21,572120
1,0,11,4883,42,41,0,1,81,2628
0,0,121,252998,130,130,0,1,28,250869
0,0,74,2976,163,163,1,0,76,781
1,0,110,92964,94,93,0,1,41,90784
1,0,123,7454,52,51,1,0,88,5259
0,0,67,470842,188,188,0,1,51,468923
0,0,95,2907,36,35,1,0,71,667
1,0,44,4593,2,1,1,0,17,2230
1,0,110,1705791,89,88,1,0,52,1703299
0,0,9,598394,168,168,0,1,21,596190
0,0,52,2152,11,10,1,0,59,38
0,0,31,507624,191,191,1,0,3,505363
0,0,68,459000,173,173,0,1,10,456733
0,0,56,123424,232,232,0,1,8,121439
1,0,120,53099,223,223,1,0,38,50910
1,0,76,3147,43,42,1,0,82,535
0,0,123,7548,54,53,1,0,90,5362
0,0,123,11573,109,108,1,0,102,9210
1,0,58,81116,5,4,2,0,13,80040
0,0,21,703891,72,71,2,0,23,701787
1,0,4,351915,200,200,2,0,56,350539
1,0,8,6111,24,23,2,0,67,4843
1,0,78,299939,227,227,0,1,11,297915
1,0,114,115059,159,159,1,0,22,112891
1,0,53,1036,16,15,3,0,62,2
1,0,132,28523,81,80,1,0,37,26538
0,0,20,547726,133,133,0,1,7,545198
0,0,116,19404,199,199,1,0,121,17227
0,0,132,1039862,77,76,1,0,37,1037046
1,0,129,2191081,88,87,1,0,52,2188577
0,0,27,52834,183,183,0,1,0,50840
1,0,7,13918,121,121,0,1,104,11750
1,0,32,18062,132,132,0,1,107,16122
1,0,104,62927,148,148,0,1,24,60651
1,0,115,34512,91,90,0,1,96,32440
0,0,123,5683,56,55,3,0,91,3845
1,0,51,828692,194,194,1,0,47,827244
0,0,21,711734,32,31,2,0,23,710958
0,0,30,482055,111,111,1,0,10,479794
1,0,93,89110,207,207,0,1,16,86993
1,0,44,71096,137,137,1,0,40,68619
1,0,97,7735,185,185,1,0,78,5258
0,0,27,2352753,129,129,2,0,52,2351474
0,0,101,5117,217,217,0,1,80,2943
1,0,80,120751,186,186,3,0,3,119534
0,0,17,9642,211,211,1,0,123,7252
0,0,123,28514,0,109,1,0,103,26043
1,0,57,1699,86,85,3,0,8,101
0,0,17,3774,19,18,0,1,64,1570
0,0,132,468090,40,39,0,1,2,465892
0,0,75,811009,210,210,0,1,32,808763
0,0,40,619207,203,203,0,1,9,617003
0,0,33,369971,60,59,1,0,54,367785
1,0,35,52112,104,103,1,0,43,49749
0,0,103,1108,160,160,0,1,75,1
0,0,123,3468,70,69,1,0,94,1171
0,0,111,813661,181,181,0,1,37,811541
0,0,84,560608,180,180,1,0,16,558551
0,0,18,961848,152,152,0,1,36,959689
0,0,68,915393,62,61,2,0,33,914149
1,0,112,6868,184,184,1,0,119,4559
1,0,134,50074,190,190,1,0,3,47909
0,0,121,487691,31,30,1,0,18,485538
1,0,128,17178,107,106,0,1,101,14941
0,0,13,669010,131,131,1,0,16,666635
1,0,15,2335,170,170,3,0,12,101
1,0,92,798,165,165,3,0,77,1
0,0,133,1159648,142,142,1,0,41,1157084
1,0,65,140815,228,228,2,0,11,140096
1,0,59,3637,162,162,2,0,33,1680
1,0,123,5471,136,136,1,0,110,3207
1,0,48,5333,22,21,1,0,65,3093
1,0,31,8253,103,102,0,1,41,6340
0,0,41,477141,198,198,2,0,7,476586
0,0,123,5583,99,98,1,0,98,3223
1,0,12,20192,202,202,0,1,29,18165
0,0,47,636865,79,78,0,1,20,634829
0,0,79,180595,118,118,1,0,58,178343
0,0,116,827,15,14,2,0,61,3
1,0,93,122003,229,229,0,1,11,119982
1,0,103,16433,193,193,2,0,79,14709
1,0,24,35613,195,195,0,1,120,33460
0,0,133,16106,73,72,0,1,95,14127
0,0,39,194620,124,124,1,0,53,192110
1,0,42,85349,66,65,2,0,4,84366
1,0,138,303473,216,216,3,0,12,301437
1,0,14,49973,27,26,2,0,23,48072
0,0,123,7225,106,105,1,0,100,4853
1,0,37,3201,59,58,2,0,73,2560
1,0,123,17152,135,135,1,0,109,14774
1,0,94,43304,156,156,1,0,55,40902
1,0,71,19107,105,104,0,1,43,16912
1,0,61,316113,226,226,1,0,11,313945
1,0,135,3704,23,22,1,0,66,1446
1,0,130,4679,113,113,1,0,39,2307
1,0,103,60946,145,145,0,1,52,58898
0,0,5,1287,20,19,0,1,68,1
1,0,123,3133,51,50,1,0,88,824
0,0,82,23314,236,236,1,0,2,21104
0,0,6,763294,175,175,1,0,26,761027
0,0,81,411395,37,36,0,1,13,410220
1,0,131,51771,234,234,0,1,35,49540
0,0,125,469090,34,33,0,1,1,466913
0,0,127,909502,74,73,1,0,34,907241
1,0,83,68193,146,146,1,0,25,66007
1,0,105,315631,215,215,1,0,12,313523
1,0,63,10067,29,28,0,1,44,8418
0,0,41,609383,78,77,0,1,20,607077
0,0,119,377705,98,97,1,0,57,375522
0,0,107,400277,28,27,1,0,10,398004
0,0,26,702444,212,212,3,0,22,701878
1,0,28,369509,61,60,0,1,13,367296
1,0,102,5540,44,43,2,0,83,3963
0,0,41,526037,39,38,3,0,3,525222
1,0,26,57522,125,125,1,0,22,55348
0,0,16,1375691,119,119,0,1,44,1373202
1,0,20,3258,208,208,0,1,122,754
1,0,122,66424,233,233,1,0,35,64094
1,0,64,16197,177,177,0,1,118,13717
1,0,123,1669,47,46,3,0,85,2
0,0,0,399311,92,91,0,1,14,397290
0,0,45,646569,182,182,2,0,12,644707
1,0,48,20107,68,67,1,0,49,17801
0,0,69,2123600,87,86,1,0,51,2121408
0,0,36,5726,1,0,0,1,124,3723
1,0,29,654471,75,74,0,1,51,652312
1,0,22,828777,108,107,0,1,46,827212
1,0,84,27070,139,139,1,0,16,24536
1,0,105,311650,214,214,1,0,12,309482
1,0,109,6765,192,192,1,0,79,4204
1,2,123,1518,58,57,3,0,92,1
0,0,25,477984,149,149,0,1,5,475453
0,0,38,1178466,115,115,1,0,42,1176085
1,0,136,2336,147,147,0,1,113,3
0,0,19,468765,84,83,0,1,52,466540
1,0,123,4334,96,95,1,0,97,1968
0,0,36,1028709,167,167,0,1,39,1026565
1,0,38,224206,201,201,0,1,34,222371
1,0,27,92121,138,138,1,0,40,90979
0,0,20,731499,33,32,0,1,23,729406
1,0,123,7491,126,126,1,0,22,5182
0,0,116,1333,17,16,2,0,63,3
1,0,46,14203,57,56,1,0,32,11819
0,0,78,1475,3,2,3,0,125,3
0,0,72,471716,220,220,2,0,5,470270
1,0,29,1909430,128,128,0,1,51,1907460
0,0,62,669243,187,187,0,1,18,667156
1,0,132,18709,35,34,1,0,27,16532
1,0,123,6479,134,134,2,0,108,5838
0,0,99,668634,155,155,1,0,24,666520
