Gene_Classification,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Location,Orthologous_Gene_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,5776202,46,46,1,7,1,0,5773752,1
0,20600592,142,142,1,1,1,0,20599396,0
0,13967339,104,104,1,7,16,0,13965975,0
0,1044324,9,9,1,2,5,0,1043726,0
0,18233087,130,130,1,3,1,0,18230676,0
0,7252202,57,57,1,7,5,0,7251567,0
0,21033305,145,145,1,1,1,0,21032577,1
0,14264630,107,107,1,7,5,0,14263463,0
0,19361160,138,138,1,1,2,0,19359904,0
0,22800650,152,152,1,3,1,0,22799643,0
0,6283351,49,49,1,7,2,0,6282458,0
0,5252907,42,42,1,2,17,0,5251626,1
0,10815148,83,83,1,7,2,0,10814110,1
0,4838125,38,38,1,7,9,0,4836803,0
0,19131431,136,136,1,3,11,0,19128978,1
0,24324304,161,161,1,1,2,0,24323249,0
0,18526135,132,132,1,1,1,0,18525296,0
0,5764705,45,45,1,7,2,0,5763288,1
0,4622430,36,36,1,7,24,0,4620634,1
1,8706530,68,68,1,8,3,1,8704372,0
0,1565906,12,12,1,7,5,0,1564519,1
0,5646569,44,44,1,7,1,0,5645517,0
0,17573162,125,125,1,1,1,0,17572161,0
0,24075061,159,159,1,3,2,0,24073248,1
0,13816694,102,102,1,7,16,0,13815414,0
0,3221626,26,26,1,7,5,0,3220494,0
0,17383110,122,122,1,1,5,0,17381675,1
0,23718778,156,156,1,1,2,0,23717642,0
0,9294,164,164,0,5,14,0,6891,1
0,5210452,40,40,1,2,25,0,5209340,1
0,15945723,116,116,1,2,2,0,15943858,1
0,13953853,103,103,1,2,1,0,13952477,0
0,16025845,117,117,1,2,8,0,16025135,0
0,10517795,80,80,1,7,2,0,10516812,1
0,9369143,77,77,1,7,5,0,9368165,0
0,11737964,90,90,1,2,2,0,11736173,0
0,8662629,67,67,1,7,1,0,8661322,0
1,7507311,58,58,1,9,4,1,7506176,0
0,12665749,95,95,1,7,1,0,12664313,1
0,24717108,162,162,1,3,2,0,24715475,1
0,1471242,11,11,1,7,2,0,1469688,1
0,21368024,147,147,1,3,2,0,21366772,1
0,7207112,56,56,1,2,1,0,7205454,1
0,10790484,82,82,1,7,1,0,10789222,0
0,1005618,8,8,1,7,2,0,1005001,1
0,9120663,72,72,1,7,1,0,9118189,1
0,20333137,140,140,1,1,1,0,20331131,0
0,10514318,79,79,1,7,1,0,10512900,0
