Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,610602,141,1,0,26,600223
1,46671,99,1,0,96,36289
0,149649,116,2,0,23,143326
0,682115,115,1,0,33,675892
0,30892,74,1,0,22,20468
0,56068,176,1,0,112,45617
0,2370774,165,1,0,50,2360422
1,107347,18,1,0,56,100946
1,364951,59,3,1,55,356759
1,79790,209,3,1,50,69342
1,34480,145,1,0,24,24017
0,501262,103,1,0,20,494255
1,7213,72,1,0,90,1
1,12287,133,3,1,101,1776
0,572820,183,1,0,11,566630
1,1301475,104,1,0,49,1291027
1,53674,205,1,0,58,43286
0,7785,140,2,0,105,1726
0,1049310,58,1,0,47,1038856
1,22220,224,1,0,39,11901
1,934030,203,3,1,48,926063
0,243214,169,1,0,33,232769
1,76316,29,2,0,31,71757
1,5029,28,2,0,76,2
0,780586,127,1,0,36,770171
1,12152,206,1,0,122,4158
1,102066,45,1,0,11,91621
1,19621,51,1,0,56,13649
1,72152,150,1,0,28,61794
1,600090,182,1,0,33,589645
0,9497,186,3,1,114,3
1,364064,56,1,0,33,353619
