Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,0,242630,118,118,23,1,16,239769,3,1
1,0,10610,172,172,129,1,79,8169,3,1
1,0,106204,279,279,18,1,155,104012,4,1
1,0,16963,47,47,100,1,72,14936,3,0
1,0,9934,86,86,49,1,60,6965,3,1
1,0,577397,7,7,28,1,37,576201,3,0
1,0,1820,9,9,155,1,36,189,3,0
1,0,485801,34,34,3,1,46,483723,3,0
1,3,11541,326,326,43,1,103,8509,3,1
1,0,619021,151,151,14,1,19,617285,3,0
0,0,13820,28,28,25,0,63,12766,0,1
1,0,2325261,42,42,59,1,151,2323705,3,0
1,0,10910,88,88,113,1,70,8910,3,0
1,0,639965,257,257,24,1,93,637563,3,0
