Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,0,4073,5,5,66,1,37,1218,3,0
1,0,15577,69,69,105,1,49,12521,3,1
1,0,2071578,162,162,55,1,13,2068987,3,0
1,0,27589,108,108,80,1,124,25172,3,0
1,0,22430,43,43,30,1,72,19944,3,1
1,0,181574,314,314,26,1,9,180063,3,1
1,0,801320,80,80,30,1,127,798915,3,0
0,0,11142,111,111,117,0,76,8839,0,1
1,0,16034,125,125,20,1,91,13233,3,0
1,0,10610,171,171,126,1,78,8169,3,1
0,0,553364,249,249,15,0,50,550602,0,0
1,0,16963,48,48,97,1,71,14936,3,0
0,0,1171911,146,146,46,0,150,1168945,0,0
1,0,585311,226,226,24,1,15,582390,3,0
1,0,1820,9,9,152,1,34,189,3,0
1,0,485801,33,33,3,1,45,483723,3,0
1,0,26744,324,324,39,1,22,24147,3,1
1,0,71684,295,295,13,1,110,69120,3,1
0,0,22871,4,4,21,0,63,21810,0,1
1,0,2325261,41,41,56,1,148,2323705,3,0
1,0,10910,89,89,110,1,69,8910,3,0
0,0,663320,259,259,20,0,126,660522,0,0
