Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,35179,44,44,2,13,34406,1
0,81801,40,40,10,45,80905,1
0,1912694,127,127,26,19,1911738,1
1,287088,99,99,2,12,285889,1
0,1165493,229,229,10,15,1164663,0
1,29968,163,163,2,72,28721,0
0,37518,31,31,10,28,36670,0
0,1783506,129,129,10,19,1782673,1
0,432927,247,247,14,5,431740,0
1,2102,112,112,2,59,1101,1
0,320234,146,146,22,15,319014,0
1,827468,209,209,2,14,826311,1
1,4723,24,24,2,39,4340,1
0,3769,1,1,0,22,3023,1
0,335,10,10,0,26,3,0
0,227094,20,20,1,12,226831,1
0,23810,60,60,21,47,22572,1
0,1026,225,225,0,78,841,1
1,13592,101,101,2,56,12324,1
0,1989097,189,189,10,20,1988282,1
1,445921,19,19,2,4,445157,0
0,247162,12,12,10,14,246347,0
0,1018268,212,212,7,14,1017216,1
0,2879,134,134,10,62,2091,1
0,1338,195,195,0,34,835,1
0,19059,165,165,10,72,18244,0
0,2097143,188,188,10,20,2096334,1
0,2142542,184,184,26,19,2141583,0
0,392050,86,86,0,12,391007,0
1,55904,32,32,2,28,55386,1
0,1679298,71,71,26,20,1678525,0
1,17599,77,77,2,51,16553,0
0,255296,142,142,18,15,254511,0
0,305564,84,84,8,14,304740,0
0,486743,58,58,14,1,485586,0
0,277578,82,82,10,14,276769,0
0,822069,208,208,18,14,821287,0
1,177073,105,105,2,21,175745,0
0,265814,200,200,26,11,265029,1
1,5205,97,97,2,54,4201,1
0,992655,211,211,10,14,991897,1
0,297062,79,79,21,14,295851,0
0,18784,98,98,18,55,18002,0
0,26139,27,27,10,42,25351,1
0,422034,18,18,14,4,420934,0
0,907521,139,139,21,14,906301,0
0,23025,135,135,0,63,22318,0
0,2202884,181,181,25,19,2202237,1
0,65754,233,233,29,79,64810,1
0,1487286,177,177,14,18,1486264,1
0,17173,217,217,22,76,16040,1
0,61556,28,28,21,42,60249,0
0,313431,83,83,10,14,312547,0
0,285745,81,81,10,14,284939,0
0,970864,118,118,31,20,969914,1
0,1631767,70,70,25,20,1631120,0
1,6002,241,241,2,81,5043,0
0,1564778,72,72,16,20,1564014,1
0,643595,16,16,10,20,642765,1
0,407549,137,137,10,14,406749,1
0,251858,22,22,0,14,251211,0
1,15410,226,226,2,38,14340,1
0,18582,59,59,10,47,17713,0
0,231201,246,246,28,5,230431,0
0,2089274,125,125,25,19,2088630,1
0,9985,149,149,0,66,9303,0
0,1687805,69,69,4,20,1687044,0
1,25842,199,199,2,74,24370,0
0,1677,75,75,29,49,712,1
0,1153229,240,240,21,19,1151997,0
0,1221966,174,174,14,18,1220947,0
0,1604402,186,186,17,19,1603254,0
0,1075329,3,3,1,14,1075195,1
1,884301,138,138,2,14,883339,1
1,13960,14,14,2,27,13361,1
0,1106541,227,227,21,15,1105297,0
1,655,0,0,2,82,2,1
1,223492,245,245,34,5,222386,0
1,1592913,73,73,34,20,1591840,1
0,658646,90,90,10,14,657867,0
0,266241,143,143,10,15,265438,0
0,13082,113,113,0,60,12327,1
0,1207750,192,192,21,14,1206605,0
