Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,563694,142,1,0,26,556752
1,46671,99,1,0,96,36289
0,138943,50,2,0,23,131411
1,600090,181,1,0,33,589645
0,656716,87,1,0,21,646334
0,56068,175,1,0,112,45617
0,2370774,163,1,0,50,2360422
1,107347,19,1,0,56,100946
1,364951,60,3,1,55,356759
1,79790,207,3,1,50,69342
0,698669,82,1,0,23,688299
0,545365,221,1,0,19,535076
1,7213,72,1,0,90,1
1,12287,131,3,1,101,1776
0,572820,182,1,0,11,566630
1,1301475,104,1,0,49,1291027
1,53674,203,1,0,58,43286
0,7785,138,2,0,105,1726
0,1049310,59,1,0,47,1038856
1,22220,223,1,0,39,11901
1,934030,201,3,1,48,926063
1,34912,168,1,0,33,27714
0,685626,118,1,0,30,675331
1,5029,28,2,0,76,2
0,780586,126,1,0,36,770171
1,12152,204,1,0,122,4158
1,102066,45,1,0,11,91621
1,19621,52,1,0,56,13649
1,6015,146,2,0,28,103
1,571446,180,3,1,33,561022
0,9497,185,3,1,114,3
0,332104,166,1,0,33,321641
