Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,663114,15,15,2,19,662260,0
1,432941,203,203,0,14,432381,1
0,277578,84,84,11,14,276769,0
1,4723,24,24,2,39,4340,1
0,23810,60,60,22,47,22572,1
0,231201,246,246,27,5,230431,0
0,2142542,188,188,25,18,2141583,0
0,13418,152,152,16,67,12669,0
0,1694274,70,70,24,19,1693627,0
1,25842,199,199,2,75,24370,0
1,9998,78,78,2,50,9753,0
0,1577124,190,190,12,18,1576114,0
0,1229889,179,179,20,17,1228786,0
0,1778534,131,131,13,18,1777443,0
1,1152958,195,195,2,14,1151783,1
0,907521,142,142,22,14,906301,0
1,23852,33,33,33,27,23046,0
0,1148502,229,229,11,15,1147669,0
1,655,0,0,2,83,2,1
1,223492,245,245,33,5,222386,0
0,1631767,72,72,24,19,1631120,0
1,667923,94,94,2,14,666610,1
0,272963,214,214,16,15,272211,0
1,11872,132,132,2,61,11348,0
0,247509,145,145,11,15,246700,0
