Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1370954,67,67,17,21,1369569,1
0,1156856,125,125,0,17,1155972,1
0,1026521,63,63,17,23,1025604,0
0,24760,145,145,15,50,23234,1
0,318880,147,147,15,6,317777,1
0,17944,131,131,15,48,16457,1
0,899374,76,76,3,17,898190,0
0,1672453,15,15,4,22,1671053,0
0,399489,28,28,21,5,398281,1
0,1558841,116,116,0,21,1557681,1
0,6048,44,44,9,42,4708,0
0,1065367,143,143,11,22,1064159,1
