Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,13678,155,155,3,10931,1
0,0,468388,69,69,6,465485,0
1,0,476059,148,148,5,473501,0
1,0,1152001,179,179,28,1149578,1
0,0,1007699,206,206,23,1005114,1
0,0,1147282,167,167,30,1144757,1
0,0,696919,74,74,23,694046,0
1,0,1582479,185,185,29,1579936,0
0,0,221070,140,140,9,218443,1
0,0,463778,81,81,16,460986,0
0,0,11062,5,5,37,8450,0
0,0,1553361,181,181,28,1550629,1
0,0,280853,65,65,23,278046,0
0,0,546370,47,47,8,543824,0
0,0,399549,238,238,16,396772,0
0,0,57145,57,57,44,54284,0
0,0,817323,79,79,23,814468,0
1,0,408107,17,17,5,405750,0
0,0,60414,227,227,85,57859,1
0,0,988200,207,207,23,985546,1
0,0,7898,10,10,40,5274,1
0,0,245264,49,49,0,242583,0
0,0,4732,123,123,69,2051,0
0,0,21506,60,60,60,18858,0
0,0,23129,126,126,71,20358,1
0,0,428401,70,70,18,425663,0
1,0,1014233,134,134,29,1011738,0
0,0,34218,61,61,60,31414,0
0,0,2102129,102,102,29,2099463,1
0,0,15093,156,156,19,12226,0
0,0,1251196,180,180,28,1248512,0
0,0,352788,249,249,18,350182,1
0,0,565683,139,139,6,563344,1
0,0,10603,7,7,38,7772,1
0,0,212927,0,0,13,211077,1
0,0,1200167,193,193,23,1197396,0
0,0,652210,96,96,8,649424,0
0,0,10893,92,92,31,8359,1
0,0,4709,31,31,55,2067,1
0,0,119436,255,255,2,116878,0
0,0,14331,230,230,86,11776,1
0,0,1650945,12,12,29,1648582,1
0,0,7054,122,122,68,4541,0
0,0,456596,16,16,5,453903,1
0,0,3590,211,211,80,942,1
0,0,1816759,189,189,30,1814429,0
0,0,2010450,109,109,30,2008033,1
0,0,529696,175,175,1,526820,1
0,0,272153,66,66,23,269451,0
0,0,423886,67,67,6,421607,1
1,0,408724,138,138,33,406415,1
0,0,1189938,225,225,24,1187140,0
0,0,25731,9,9,39,22858,0
0,0,35248,52,52,59,32438,0
0,0,2099,3,3,35,3,1
0,0,867065,115,115,23,864531,0
0,0,460231,147,147,13,457457,1
0,0,2171498,182,182,29,2169063,1
0,0,783613,78,78,23,780839,0
0,0,35322,191,191,75,32611,1
0,0,506933,19,19,23,504105,0
0,0,41459,219,219,84,38613,1
0,0,584285,174,174,1,581721,0
0,0,404953,160,160,15,402317,0
0,0,16042,111,111,65,13142,0
1,0,574686,146,146,13,571897,1
0,0,596823,95,95,8,594229,1
1,0,71558,153,153,3,69066,0
0,0,1102343,226,226,24,1099539,0
0,0,556640,252,252,7,553878,0
0,0,22835,145,145,72,20457,0
0,0,65602,25,25,52,62846,0
0,0,321121,170,170,30,318503,0
0,0,3099,86,86,63,313,1
0,0,2201057,55,55,30,2198634,1
1,0,1882048,104,104,29,1879670,0
1,0,2065088,101,101,29,2062416,0
0,0,8030,143,143,72,5538,1
0,0,54570,28,28,42,51787,1
0,0,12466,229,229,85,9926,1
0,0,1745786,13,13,29,1743231,0
0,0,1181628,224,224,24,1179322,0
0,0,580806,94,94,8,578836,1
0,0,565358,84,84,30,563163,1
0,0,935144,131,131,29,932427,1
0,0,7331,93,93,46,4482,1
0,0,156435,34,34,19,153649,1
0,0,249052,73,73,9,246272,1
0,0,344245,14,14,0,341906,1
0,0,194602,248,248,9,191840,1
0,0,536061,256,256,15,533287,0
0,0,1851640,106,106,29,1848668,0
0,0,450835,68,68,6,448496,1
0,0,14547,21,21,50,12235,0
0,0,417885,136,136,16,415123,0
0,0,237391,72,72,9,234584,1
0,0,7271,23,23,51,4884,0
0,0,3982,2,2,34,1541,0
0,0,21057,154,154,3,18763,1
0,0,388287,239,239,16,385492,0
0,0,11601,41,41,57,9187,0
0,0,185153,24,24,26,182502,0
0,0,110238,228,228,85,107374,0
0,0,768058,77,77,23,765323,0
0,0,8573,215,215,82,6039,1
0,0,7513,4,4,36,4757,1
0,0,191757,114,114,10,188965,1
0,0,205713,246,246,9,202903,1
0,0,1409461,99,99,28,1406588,1
0,0,880730,133,133,29,877992,1
0,0,12861,240,240,87,10087,1
0,0,763632,129,129,29,761305,0
0,0,1731005,190,190,27,1728183,0
0,0,171302,231,231,12,169443,0
0,0,187696,247,247,9,185057,1
0,0,2180588,54,54,30,2178147,1
0,0,17047,38,38,43,14579,1
0,0,222070,177,177,5,219359,0
0,0,1169591,223,223,24,1166769,0
1,0,2776,50,50,59,113,1
0,0,950785,132,132,29,948302,1
0,0,8596,125,125,70,5819,0
0,0,24923,63,63,45,22032,0
1,0,42017,199,199,79,39222,0
1,0,1150558,192,192,23,1147775,1
0,0,665447,75,75,23,662586,1
1,0,276688,210,210,24,274223,0
1,0,396615,250,250,18,394090,1
0,0,381075,237,237,16,378301,0
1,0,2113696,53,53,29,2111357,0
1,0,255561,18,18,23,253126,0
0,0,22052,241,241,88,19278,1
0,0,198843,127,127,5,196225,0
0,0,775880,130,130,29,773208,1
0,0,421319,159,159,15,418704,0
0,0,167573,37,37,19,164778,1
0,0,11536,33,33,56,9554,1
1,0,597333,1,1,18,595705,1
