Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,805063,181,181,38,803291,0
1,0,1835456,207,207,47,1833030,0
0,0,4516,52,53,89,3179,1
0,0,611448,111,111,10,610807,0
0,0,5046,160,160,116,2860,1
1,0,1204656,199,199,44,1202680,0
0,0,4025,166,166,16,1761,1
0,0,2650,25,26,34,386,1
1,0,689616,81,82,52,687517,0
1,0,335828,156,156,29,333633,1
1,0,480279,206,206,44,478171,0
1,0,7012,6,7,31,5501,1
1,0,2096,146,146,112,747,1
0,0,1138,5,6,106,2,0
1,0,1116077,153,153,40,1113876,0
1,0,1189025,190,190,50,1186812,0
1,0,496899,101,102,1,495853,0
0,0,15153,208,208,30,12949,1
0,0,1027491,75,76,37,1024990,0
1,0,170211,123,123,48,168412,1
1,0,799420,225,225,31,796943,0
0,0,391932,8,9,57,389746,1
0,0,3932,163,163,117,1401,0
0,0,914046,62,63,33,913312,0
0,0,244454,159,159,19,243822,0
0,0,394758,20,21,9,393970,0
0,0,574603,171,171,21,572120,0
1,0,4883,41,42,81,2628,1
1,0,252998,132,132,28,250869,0
0,0,2976,165,165,76,781,0
1,0,92964,93,94,41,90784,1
0,0,7454,51,52,88,5259,1
1,0,654471,74,75,51,652312,1
0,0,2907,35,36,71,667,0
0,0,4593,1,2,17,2230,1
0,0,1705791,88,89,52,1703299,1
1,0,598394,170,170,21,596190,0
0,0,2152,10,11,59,38,0
0,0,507624,193,193,3,505363,0
1,0,459000,175,175,10,456733,0
1,0,123424,232,232,8,121439,0
0,0,53099,223,223,38,50910,1
0,0,3147,42,43,82,535,1
0,0,7548,53,54,90,5362,0
0,0,11573,109,110,102,9210,0
0,0,81116,4,5,13,80040,1
0,0,703891,71,72,23,701787,0
0,0,351915,202,202,56,350539,1
0,0,6111,23,24,67,4843,1
1,0,299939,227,227,11,297915,1
0,0,115059,161,161,22,112891,1
0,0,1036,15,16,62,2,1
0,0,28523,80,81,37,26538,1
1,0,547726,135,135,7,545198,0
0,0,19404,201,201,121,17227,0
0,0,1039862,76,77,37,1037046,0
0,0,2191081,87,88,52,2188577,1
1,0,52834,185,185,0,50840,0
1,0,13918,122,122,104,11750,1
1,0,18062,134,134,107,16122,1
1,0,62927,150,150,24,60651,1
1,0,34512,90,91,96,32440,1
0,0,5683,55,56,91,3845,0
0,0,828692,196,196,47,827244,1
0,0,711734,31,32,23,710958,0
0,0,482055,112,112,10,479794,0
1,0,89110,209,209,16,86993,1
0,0,71096,139,139,40,68619,1
0,0,7735,187,187,78,5258,1
0,0,2352753,131,131,52,2351474,0
1,0,5117,218,218,80,2943,0
0,0,120751,188,188,3,119534,1
0,0,9642,213,213,123,7252,0
0,0,28514,110,0,103,26043,0
0,0,1699,85,86,8,101,1
1,0,3774,18,19,64,1570,0
1,0,468090,39,40,2,465892,0
1,0,811009,212,212,32,808763,0
1,0,619207,205,205,9,617003,0
0,0,369971,59,60,54,367785,0
0,0,52112,103,104,43,49749,1
1,0,1108,162,162,75,1,0
0,0,3468,69,70,94,1171,0
1,0,813661,183,183,37,811541,0
0,0,560608,182,182,16,558551,0
1,0,961848,154,154,36,959689,0
0,0,915393,61,62,33,914149,0
0,0,6868,186,186,119,4559,1
0,0,50074,191,191,3,47909,1
0,0,487691,30,31,18,485538,0
1,0,17178,107,108,101,14941,1
0,0,669010,133,133,16,666635,0
0,0,2335,172,172,12,101,1
0,0,798,167,167,77,1,1
0,0,1159648,144,144,41,1157084,0
0,0,140815,228,228,11,140096,1
0,0,3637,164,164,33,1680,1
0,0,5471,138,138,110,3207,1
0,0,5333,21,22,65,3093,1
1,0,8253,102,103,41,6340,1
0,0,477141,200,200,7,476586,0
0,0,5583,98,99,98,3223,0
1,0,20192,204,204,29,18165,1
1,0,636865,78,79,20,634829,0
0,0,180595,119,119,58,178343,0
0,0,827,14,15,61,3,0
1,0,122003,229,229,11,119982,1
0,0,16433,195,195,79,14709,1
1,0,35613,197,197,120,33460,1
1,0,16106,72,73,95,14127,0
0,0,194620,125,125,53,192110,0
0,0,85349,65,66,4,84366,1
0,0,303473,217,217,12,301437,1
0,0,49973,26,27,23,48072,1
0,0,7225,105,106,100,4853,0
0,0,3201,58,59,73,2560,1
0,0,17152,137,137,109,14774,1
0,0,43304,158,158,55,40902,1
1,0,19107,104,105,43,16912,1
0,0,316113,226,226,11,313945,1
0,0,3704,22,23,66,1446,1
0,0,4679,114,114,39,2307,1
1,0,60946,147,147,52,58898,1
1,0,1287,19,20,68,1,0
0,0,3133,50,51,88,824,1
0,0,23314,236,236,2,21104,0
0,0,763294,177,177,26,761027,0
1,0,411395,36,37,13,410220,0
1,0,51771,234,234,35,49540,1
1,0,469090,33,34,1,466913,0
0,0,909502,73,74,34,907241,0
0,0,68193,148,148,25,66007,1
0,0,315631,216,216,12,313523,1
1,0,10067,28,29,44,8418,1
1,0,609383,77,78,20,607077,0
0,0,377705,97,98,57,375522,0
0,0,400277,27,28,10,398004,0
0,0,702444,214,214,22,701878,0
1,0,369509,60,61,13,367296,1
0,0,5540,43,44,83,3963,1
0,0,526037,38,39,3,525222,0
0,0,57522,126,126,22,55348,1
1,0,1375691,120,120,44,1373202,0
1,0,3258,210,210,122,754,1
0,0,66424,233,233,35,64094,1
1,0,16197,179,179,118,13717,1
0,0,1669,46,47,85,2,1
1,0,399311,91,92,14,397290,0
0,0,646569,184,184,12,644707,0
0,0,20107,67,68,49,17801,1
0,0,2152465,192,192,51,2150273,0
1,0,5726,0,1,124,3723,0
1,0,1909430,130,130,51,1907460,1
1,0,828777,108,109,46,827212,1
0,0,27070,141,141,16,24536,1
0,0,311650,215,215,12,309482,1
0,0,6765,194,194,79,4204,1
0,2,1518,57,58,92,1,1
1,0,477984,151,151,5,475453,0
0,0,1178466,116,116,42,1176085,0
1,0,2336,149,149,113,3,1
1,0,468765,83,84,52,466540,0
0,0,4334,95,96,97,1968,1
1,0,1028709,169,169,39,1026565,0
1,0,224206,203,203,34,222371,1
0,0,92121,140,140,40,90979,1
1,0,731499,32,33,23,729406,0
0,0,7491,127,127,22,5182,1
0,0,1333,16,17,63,3,0
0,0,14203,56,57,32,11819,1
0,0,1475,2,3,125,3,0
0,0,471716,221,221,5,470270,0
0,0,2123600,86,87,51,2121408,0
1,0,669243,189,189,18,667156,0
0,0,18709,34,35,27,16532,1
0,0,6479,136,136,108,5838,1
0,0,668634,157,157,24,666520,0
