Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,4732,123,2,0,70,2051
0,0,21506,58,2,0,61,18858
1,0,23129,126,3,0,72,20358
0,0,428401,68,2,0,18,425663
0,0,1014233,134,1,1,30,1011738
0,0,34218,59,2,0,61,31414
1,0,2102129,102,2,0,30,2099463
0,0,15093,156,3,0,19,12226
0,0,1317329,98,2,0,29,1314768
1,0,352788,249,2,0,18,350182
1,0,565683,139,2,0,6,563344
1,0,10603,7,3,0,39,7772
1,0,212927,0,5,0,13,211077
0,0,1200167,193,2,0,23,1197396
0,0,652210,95,2,0,8,649424
1,0,10893,90,2,0,32,8359
1,0,4709,31,2,0,56,2067
0,0,119436,255,2,0,2,116878
1,0,14331,230,2,0,87,11776
1,0,1650945,12,2,0,30,1648582
0,0,7054,122,2,0,69,4541
1,0,456596,16,2,0,5,453903
1,0,3590,211,2,0,81,942
0,0,1816759,189,2,0,31,1814429
1,0,2010450,109,2,0,31,2008033
1,0,529696,175,2,0,1,526820
0,0,272153,64,2,0,23,269451
1,0,423886,65,2,0,6,421607
1,0,408724,138,1,1,34,406415
0,0,1189938,225,2,0,24,1187140
0,0,25731,9,3,0,40,22858
0,0,35248,51,2,0,60,32438
1,0,2099,3,5,0,36,3
0,0,867065,115,2,0,23,864531
1,0,460231,147,2,0,13,457457
1,0,2171498,182,2,0,30,2169063
0,0,783613,76,2,0,23,780839
1,0,35322,191,2,0,76,32611
0,0,506933,19,3,0,23,504105
1,0,41459,219,3,0,85,38613
0,0,584285,174,0,0,1,581721
0,0,404953,160,2,0,15,402317
0,0,16042,111,3,0,66,13142
1,0,574686,146,1,1,13,571897
1,0,596823,94,2,0,8,594229
0,0,71558,153,1,1,3,69066
0,0,1102343,226,2,0,24,1099539
0,0,556640,252,2,0,7,553878
0,0,22835,145,2,0,73,20457
0,0,65602,25,2,0,53,62846
0,0,321121,170,2,0,31,318503
1,0,3099,84,2,0,64,313
1,0,2201057,54,2,0,31,2198634
0,0,1882048,104,1,1,30,1879670
0,0,2065088,101,1,1,30,2062416
1,0,8030,143,2,0,73,5538
1,0,54570,28,3,0,43,51787
1,0,12466,229,2,0,86,9926
0,0,1745786,13,2,0,30,1743231
0,0,1181628,224,2,0,24,1179322
1,0,580806,93,5,0,8,578836
1,0,565358,82,2,0,31,563163
1,0,935144,131,2,0,30,932427
1,0,7331,91,3,0,47,4482
1,0,156435,34,3,0,19,153649
1,0,249052,71,2,0,9,246272
1,0,344245,14,2,0,0,341906
1,0,194602,248,3,0,9,191840
0,0,536061,256,2,0,15,533287
0,0,1851640,106,2,0,30,1848668
1,0,450835,66,2,0,6,448496
0,0,14547,21,2,0,51,12235
0,0,417885,136,2,0,16,415123
1,0,237391,70,2,0,9,234584
0,0,7271,23,2,0,52,4884
0,0,3982,2,2,0,35,1541
1,0,21057,154,2,0,3,18763
0,0,388287,239,2,0,16,385492
0,0,11601,40,2,0,58,9187
1,0,175571,92,2,0,27,172800
0,0,110238,228,3,0,86,107374
0,0,768058,75,2,0,23,765323
1,0,8573,215,2,0,83,6039
1,0,7513,4,2,0,37,4757
1,0,191757,114,2,0,10,188965
1,0,205713,246,2,0,9,202903
1,0,1484951,181,3,0,29,1482129
1,0,880730,133,2,0,30,877992
1,0,12861,240,2,0,88,10087
0,0,763632,129,2,0,30,761305
1,0,1152001,179,1,1,29,1149578
0,0,171302,231,4,0,12,169443
1,0,187696,247,2,0,9,185057
1,0,2180588,53,2,0,31,2178147
1,0,17047,38,2,0,44,14579
0,0,222070,177,2,0,5,219359
0,0,1169591,223,3,0,24,1166769
1,0,2776,49,1,1,60,113
1,0,950785,132,2,0,30,948302
0,0,8596,125,2,0,71,5819
0,0,24923,61,2,0,46,22032
0,0,42017,199,1,1,80,39222
1,0,1150558,192,1,1,23,1147775
1,0,665447,73,3,0,23,662586
0,0,276688,210,1,1,24,274223
1,0,396615,250,1,1,18,394090
0,0,381075,237,2,0,16,378301
0,0,2113696,52,1,1,30,2111357
0,0,255561,18,1,1,23,253126
1,0,22052,241,2,0,89,19278
0,0,198843,127,2,0,5,196225
1,0,775880,130,2,0,30,773208
0,0,421319,159,2,0,15,418704
1,0,167573,37,3,0,19,164778
1,0,11536,33,2,0,57,9554
1,0,597333,1,1,1,18,595705
