Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,0,628999,142,142,10,3,123,626735,0
1,0,688837,88,88,22,3,8,685982,0
1,0,9121,288,288,35,3,116,6152,1
1,0,33240,54,54,37,3,129,30436,1
0,0,490870,46,46,1,0,54,489493,0
1,0,4777,19,19,67,3,170,2027,1
0,0,26225,204,204,62,0,76,24447,1
1,0,783456,81,81,30,3,73,780772,0
1,0,15107,263,263,2,3,161,12237,1
0,0,169188,307,307,41,0,16,166855,1
1,0,683526,258,258,20,3,35,681076,0
1,0,63873,309,309,14,3,11,60922,1
0,0,1185502,68,68,44,0,60,1183688,0
1,0,644271,97,97,55,3,13,641242,1
1,0,16574,220,220,135,3,137,14088,1
0,0,3713,284,284,94,1,156,2106,0
1,0,59561,139,139,47,3,121,57681,1
0,0,3597,233,233,137,0,2,1834,0
1,0,5794,135,135,120,3,102,3014,0
1,0,665511,167,167,15,3,91,663544,0
1,0,41742,308,308,41,3,166,39727,1
1,0,829858,119,119,33,3,21,827087,0
0,0,794113,241,241,29,1,24,793295,0
0,0,169312,65,65,52,0,79,166550,0
1,0,471708,197,197,17,3,74,469507,0
1,0,144749,117,117,12,3,77,141924,1
1,0,625252,227,227,24,3,35,622190,0
1,0,582823,22,22,17,3,74,581135,0
0,0,702008,179,179,28,0,62,700188,0
1,0,9553,113,113,82,3,28,7784,0
1,0,648458,158,158,18,3,144,645735,0
0,0,1917064,172,172,53,0,154,1914173,1
1,0,122539,189,189,12,3,77,120197,1
1,0,84540,306,306,4,3,116,82828,1
0,0,120500,321,321,8,0,148,118605,0
1,0,411506,58,58,29,3,174,408474,0
0,0,594892,225,225,24,0,118,591674,0
1,0,2350211,165,165,56,3,85,2347587,0
1,0,912033,73,73,37,3,135,909235,0
1,0,25743,229,229,12,3,77,24748,1
1,0,1182,92,92,112,3,114,1,1
0,0,4231,134,134,48,0,59,1391,1
0,0,14595,64,64,64,0,154,12280,1
1,0,9360,254,254,91,3,47,6577,0
1,0,14953,302,302,50,3,10,12005,1
1,0,88710,159,159,25,0,44,87850,1
1,0,760085,242,242,29,3,174,757590,0
1,0,14455,90,90,110,3,58,11690,0
1,0,106204,280,280,15,4,153,104012,1
0,0,4524,239,239,138,0,2,2574,0
1,0,486237,25,25,44,3,17,483109,0
0,0,19758,184,184,132,0,86,17038,0
0,0,47207,82,82,109,0,98,45534,1
0,0,36437,101,101,114,0,163,35517,1
1,0,5595,67,67,104,3,37,2761,1
1,0,931453,223,223,37,3,135,928565,0
1,0,2693,281,281,93,3,71,396,0
0,0,4036,62,62,64,0,106,1289,1
1,0,93761,71,71,62,3,59,90201,1
1,0,11733,74,74,79,3,60,9154,0
1,0,27235,147,147,26,3,136,24623,1
0,0,166461,192,192,8,0,104,164566,1
1,0,26060,260,260,2,3,161,23298,1
1,0,351197,214,214,59,3,115,348939,0
1,0,33122,282,282,38,3,48,30594,1
1,0,1425113,14,14,49,3,144,1422420,0
1,0,225780,79,79,23,3,4,223900,0
0,0,56433,247,247,37,1,165,54619,1
0,0,1739,12,12,69,1,25,3,1
0,0,201879,300,300,58,0,129,200095,0
1,0,1320804,150,150,56,3,85,1318300,0
0,0,650247,100,100,23,0,51,648161,0
0,0,3779,182,182,130,0,160,1517,0
0,0,64637,149,149,62,0,15,62859,1
1,0,4799,272,272,141,3,52,2103,0
1,0,7313,234,234,137,3,107,4734,0
0,0,19476,157,157,125,0,150,17815,1
1,0,7957,141,141,123,3,175,5381,0
0,0,840765,121,121,33,0,184,837994,0
1,0,2120212,105,105,55,3,132,2117660,0
0,0,739713,326,326,27,0,179,736933,0
0,0,2442,154,154,32,0,178,1297,1
1,0,29971,143,143,42,3,123,27197,1
1,0,1032018,49,49,41,3,177,1029001,0
1,0,16396,294,294,146,3,176,13598,0
1,0,492103,129,129,0,3,81,489575,0
0,0,3892,44,44,51,0,159,599,1
1,0,439193,287,287,43,3,136,435576,0
1,0,578138,98,98,23,3,4,576360,0
1,0,3857,103,103,115,3,181,1095,1
1,0,924785,235,235,54,3,124,922281,1
1,0,474181,191,191,4,3,107,471830,0
1,0,577397,7,7,24,3,35,576201,0
0,0,9141,218,218,134,0,65,8410,0
1,0,981807,278,278,49,3,120,979324,1
1,0,14712,219,219,88,3,174,11650,0
1,0,2360044,13,13,56,3,149,2358530,0
1,0,11256,252,252,89,3,168,8914,1
1,0,7825,91,91,111,3,131,5795,0
0,0,9869,53,53,55,0,137,8244,1
1,0,128705,205,205,25,3,82,127131,1
0,0,86361,187,187,13,0,162,83876,1
0,0,1981,298,298,96,0,38,2,0
0,0,16147,256,256,6,0,94,12986,1
1,0,494127,310,310,14,3,11,492577,1
0,0,21702,59,59,101,0,67,18811,0
1,0,38827,224,224,21,3,24,35924,1
1,0,5339,51,51,98,3,62,2904,1
0,0,748745,34,34,26,0,89,745776,0
1,0,3210,23,23,70,3,88,616,1
1,0,265842,215,215,8,3,43,263029,0
0,0,10587,181,181,129,0,50,8119,1
1,0,636457,210,210,11,3,26,635763,0
0,0,30562,279,279,15,1,161,28739,1
1,0,58311,299,299,54,3,124,56848,1
1,0,905988,96,96,38,3,48,903148,0
1,0,710712,199,199,33,3,103,708220,0
0,0,45706,261,261,2,0,136,43370,1
0,0,8397,16,16,8,0,108,5578,1
1,0,483389,320,320,5,3,139,481422,0
0,0,3158,6,6,36,0,105,342,1
1,0,690966,178,178,28,3,112,687994,0
1,0,15683,255,255,92,3,171,12888,0
1,0,378832,37,37,60,3,118,376718,0
1,0,39618,84,84,49,3,144,36688,1
0,0,571445,198,198,17,0,53,567813,0
0,0,478312,10,10,9,0,20,477440,0
1,0,2020967,176,176,53,3,156,2018517,0
0,0,4567,55,55,77,0,158,1604,0
1,0,24449,112,112,82,3,28,21516,0
0,0,54516,93,93,37,0,165,53479,1
1,0,203978,193,193,8,3,43,202245,1
0,0,955,153,153,85,1,32,2,1
1,0,1130391,196,196,43,3,136,1127446,0
0,0,61849,47,47,62,0,15,60071,1
1,0,1824669,163,163,55,3,132,1821786,0
1,0,21022,61,61,102,3,114,18272,1
1,0,517997,131,131,0,3,81,514713,0
1,0,2028531,267,267,55,3,132,2025571,0
1,0,4543,137,137,121,3,8,1706,1
0,0,77950,18,18,20,0,5,74987,1
0,0,1337382,270,270,49,1,36,1335682,0
0,0,1973,1,1,151,1,56,3,1
1,0,9934,87,87,46,3,61,6965,1
1,0,16389,180,180,36,3,40,14728,1
1,0,242630,118,118,19,3,15,239769,1
0,0,31215,301,301,65,1,66,30121,1
1,0,1175229,145,145,46,3,61,1172704,0
1,0,6217,319,319,11,3,97,3602,1
1,0,79885,228,228,9,3,122,77750,1
0,0,517648,168,168,6,0,41,514706,0
1,0,1709527,107,107,56,3,149,1707056,1
1,0,905310,38,38,42,3,123,902803,0
1,0,5025,155,155,124,3,30,2677,1
0,0,4613,116,116,5,0,142,1626,1
0,0,20670,138,138,122,0,118,18052,1
0,0,1434052,152,152,49,0,147,1432280,0
1,0,2327020,264,264,55,3,132,2324351,0
1,0,30617,148,148,63,3,108,28410,1
0,0,791878,120,120,33,0,55,790079,0
1,0,10460,77,77,108,3,2,8049,1
0,0,764760,201,201,27,0,7,762982,0
1,0,21822,317,317,11,3,26,18838,1
1,0,411543,243,243,27,3,99,408877,0
1,0,706189,15,15,25,3,44,704129,0
1,0,496021,27,27,1,3,186,493463,0
1,0,145152,315,315,11,3,26,142906,1
0,0,4421,32,32,73,0,172,3684,1
0,0,117865,208,208,2,0,102,115973,1
1,0,19013,45,45,32,3,28,16263,1
1,0,197559,194,194,8,3,43,195199,1
1,0,8963,174,174,128,3,4,6399,1
0,0,6840,285,285,143,0,165,3826,0
0,0,34372,2,2,47,0,151,33320,1
1,0,110366,248,248,61,3,140,107442,1
1,0,7278,95,95,113,3,41,4399,0
0,0,67475,297,297,53,0,178,65139,1
0,0,1140600,195,195,43,0,39,1138639,0
1,0,1174681,76,76,45,3,33,1172813,0
1,0,1443,20,20,68,3,49,1,1
0,0,7112,283,283,142,0,98,4374,1
1,0,1113039,296,296,55,3,13,1110685,1
1,0,7245,290,290,144,3,80,4687,1
1,0,12451,173,173,127,3,81,9695,1
0,0,2274,50,50,75,0,68,1,0
1,0,2194888,106,106,56,3,85,2192474,1
1,0,16715,186,186,43,3,136,14439,1
0,0,750304,206,206,33,0,182,747923,0
0,0,258722,216,216,8,0,119,256827,0
1,0,44770,26,26,47,3,13,42977,1
1,0,56555,323,323,39,3,22,54387,1
1,0,18751,109,109,81,3,78,16475,1
1,0,2149200,266,266,55,3,132,2146741,0
0,0,13820,29,29,21,0,64,12766,1
0,0,645301,276,276,9,0,8,642806,0
1,0,19819,122,122,0,3,81,16985,1
1,0,458839,17,17,9,3,157,457553,0
0,0,58458,114,114,14,0,24,55432,1
0,0,447897,286,286,43,1,117,446350,0
1,0,588116,3,3,7,3,12,586977,0
1,0,342240,151,151,56,3,149,339421,1
1,0,130785,104,104,16,3,177,128263,0
1,0,2892,66,66,103,3,126,97,0
1,0,596370,277,277,9,3,122,593812,0
1,0,46833,75,75,107,3,31,44356,0
1,0,670094,36,36,56,3,85,667467,0
0,0,2028848,177,177,53,2,145,2027736,0
1,0,68416,262,262,2,3,27,66416,1
1,0,4460,127,127,84,3,94,2295,0
0,1,655728,166,166,15,0,0,653962,0
1,0,201254,156,156,57,3,109,198909,0
1,0,4289,169,169,34,3,52,3018,1
1,0,3538,292,292,95,3,63,857,1
1,0,12394,304,304,147,3,148,9605,0
1,0,396132,244,244,27,3,6,393928,0
1,0,14564,60,60,78,3,130,12819,1
0,0,39476,269,269,140,0,186,36720,1
1,0,13956,212,212,87,3,101,10954,0
1,0,68621,190,190,54,3,87,67503,1
0,0,390438,237,237,10,0,96,389477,0
1,0,5678,128,128,119,3,5,4257,1
0,0,467624,170,170,9,0,68,464685,0
1,0,825842,311,311,36,3,69,823350,0
0,0,38223,31,31,39,0,111,36197,1
0,0,968,8,8,150,0,156,3,0
1,2,11541,325,325,39,3,102,8509,1
0,0,12865,289,289,35,0,182,9965,1
0,0,606712,236,236,10,0,12,603989,0
0,0,392186,222,222,9,0,8,389424,0
1,0,2982,70,70,106,3,152,445,1
1,0,22938,86,86,53,3,164,21226,1
1,0,1573917,164,164,55,3,132,1571158,0
1,0,59850,102,102,4,3,107,57439,1
0,0,4734,123,123,83,0,25,2191,0
0,0,729858,200,200,33,0,182,727477,0
0,0,367390,213,213,59,1,100,364778,0
0,0,966472,30,30,40,0,57,963723,0
0,0,18183,232,232,136,0,88,15433,0
1,0,4073,5,5,66,3,37,1218,0
1,0,15577,69,69,105,3,50,12521,1
1,0,2071578,162,162,55,3,13,2068987,0
1,0,27589,108,108,80,3,125,25172,0
1,0,22430,43,43,30,3,73,19944,1
1,0,181574,314,314,26,3,9,180063,1
1,0,801320,80,80,30,3,128,798915,0
0,0,11142,111,111,117,0,77,8839,1
1,0,16034,125,125,20,3,92,13233,0
1,0,10610,171,171,126,3,79,8169,1
0,0,553364,249,249,15,0,51,550602,0
1,0,16963,48,48,97,3,72,14936,0
0,0,1171911,146,146,46,0,151,1168945,0
1,0,585311,226,226,24,3,15,582390,0
1,0,1820,9,9,152,3,34,189,0
0,0,531490,33,33,3,0,42,528650,0
1,0,26744,324,324,39,3,22,24147,1
1,0,71684,295,295,13,3,111,69120,1
0,0,22871,4,4,21,0,64,21810,1
1,0,2325261,41,41,56,3,149,2323705,0
1,0,10910,89,89,110,3,70,8910,0
0,0,663320,259,259,20,0,127,660522,0
