Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,0,2159962,329,329,27,4,68,2159390,0
0,0,1411596,23,23,28,4,17,1410949,0
0,0,2152710,106,106,28,4,161,2152117,1
0,0,22912,60,60,58,2,130,22523,0
0,0,2442,290,290,48,4,29,1612,1
0,0,673589,189,189,27,4,12,672981,1
1,0,1671935,119,119,28,3,120,1671336,0
0,0,11230,375,375,49,4,125,10535,0
0,0,1875155,225,225,27,4,48,1874526,0
0,0,311313,422,422,4,4,135,310645,1
0,0,274287,176,176,14,4,98,273715,1
0,0,433446,210,210,23,4,5,432955,0
0,0,36542,385,385,89,4,150,35961,1
0,0,541203,104,104,6,4,63,540331,0
0,0,375081,122,122,12,4,25,374536,1
0,0,1134002,408,408,27,4,48,1133424,1
0,0,1473130,88,88,28,4,27,1472456,0
1,0,1261581,327,327,26,3,129,1260970,0
0,0,1121,3,3,32,4,163,531,0
0,0,405277,144,144,14,4,31,404699,0
0,0,1581481,220,220,26,4,83,1580900,1
0,0,1049,289,289,48,4,66,204,1
0,1,327963,424,424,4,4,97,327337,1
0,0,1392058,311,311,28,4,166,1391459,0
0,0,253089,181,181,17,4,21,252442,0
0,0,897457,278,278,27,4,60,896894,0
0,0,358436,283,283,14,2,56,358038,1
0,0,782,48,48,54,4,126,129,1
0,0,371048,282,282,14,4,98,370350,1
0,0,1932015,107,107,28,4,96,1931470,0
0,0,7470,274,274,78,4,126,6853,1
0,0,76266,285,285,14,4,46,75574,1
0,0,16265,14,14,37,4,143,15666,1
0,0,605996,244,244,10,4,6,605367,1
0,0,332148,411,411,14,4,98,331510,0
1,0,844685,369,369,22,3,112,844098,0
0,0,1790185,226,226,27,4,34,1789544,1
0,0,617680,239,239,10,4,15,617066,1
0,0,17055,50,50,56,4,41,16375,0
0,0,1591262,333,333,27,4,68,1590720,0
0,0,31626,358,358,84,4,22,31012,0
0,0,67780,415,415,14,4,31,67067,0
0,0,425359,254,254,16,4,23,424565,0
0,0,281837,182,182,17,4,99,281250,0
0,0,1169771,349,349,22,4,73,1169145,0
0,0,1192370,318,318,28,4,161,1191744,1
0,0,18926,390,390,93,4,152,18276,0
0,0,2103139,227,227,28,4,57,2102468,1
0,0,1094415,321,321,28,4,57,1093786,1
0,0,59685,51,51,56,4,75,58891,0
0,0,395098,43,43,28,4,161,394403,1
0,0,128464,416,416,14,2,7,128075,0
0,0,1132814,320,320,28,4,57,1132212,1
1,0,385637,22,22,22,3,55,384969,0
0,0,26079,168,168,67,4,130,25390,0
0,0,567879,382,382,20,2,88,567310,0
0,0,190891,67,67,14,4,98,190256,1
0,0,7816,172,172,68,4,126,6941,1
0,0,756041,100,100,28,4,96,755460,1
0,0,1653046,113,113,28,4,57,1652444,1
0,0,7200,138,138,45,4,24,6637,0
0,0,17644,350,350,81,4,156,17072,0
0,0,388432,199,199,29,2,72,388043,1
0,0,1001979,96,96,28,4,166,1001410,0
0,0,1611491,332,332,27,4,122,1610868,0
0,0,6125,12,12,36,4,71,5631,1
0,0,1806636,339,339,28,4,147,1806064,0
0,0,1150552,317,317,28,4,17,1149983,1
0,0,377041,364,364,12,4,25,376496,1
0,0,389569,255,255,16,4,109,388676,0
0,0,1212108,314,314,28,4,17,1211533,0
0,0,1793869,335,335,28,4,96,1793264,1
0,0,1559,53,53,57,4,41,987,1
0,0,421453,417,417,28,4,161,420860,0
0,0,410649,146,146,14,2,31,410251,0
1,0,2936,1,1,31,3,85,2637,1
1,0,690105,152,152,22,3,55,689434,0
0,0,7534,345,345,80,2,149,7151,0
0,0,8892,377,377,50,4,4,8245,0
0,0,237931,291,291,16,4,23,237338,0
0,0,615493,18,18,28,4,47,614912,0
0,0,253619,174,174,14,4,31,252897,0
0,0,244194,184,184,17,4,21,243160,0
0,0,1176204,399,399,23,4,5,1175530,0
0,0,668902,153,153,22,4,76,668282,1
0,0,22995,308,308,14,2,56,22609,1
0,0,47042,80,80,14,4,31,46335,1
0,0,3660,200,200,69,4,41,3085,1
0,0,462219,365,365,22,4,115,461563,1
0,0,10321,129,129,62,4,41,9749,0
1,0,1773473,336,336,28,3,120,1772775,1
0,0,1368555,312,312,28,4,74,1367977,1
0,0,170789,69,69,14,4,31,170208,1
1,0,44727,395,395,94,3,64,44119,1
0,0,917604,279,279,27,4,101,916954,0
0,0,7294,267,267,76,4,41,6638,0
0,0,6256,133,133,64,2,130,5888,0
0,0,633393,82,82,11,4,59,632488,1
1,0,1947,16,16,39,3,140,1330,1
0,0,1604078,116,116,28,4,74,1603452,0
0,0,219644,72,72,14,4,53,218985,1
0,0,1579,4,4,34,4,167,1004,1
0,0,462632,143,143,4,4,97,462006,0
0,0,1707,379,379,86,4,87,1054,0
0,0,555039,78,78,7,4,77,554104,0
1,0,891600,277,277,27,1,40,891058,1
0,0,522983,297,297,10,4,6,522417,1
0,0,897652,246,246,22,4,164,897068,0
0,0,445439,137,137,16,4,109,444747,0
0,0,5761,376,376,50,4,22,5141,0
0,0,407298,187,187,15,4,84,406639,0
0,0,95645,65,65,2,4,111,95094,1
0,0,296809,421,421,4,4,97,296102,1
0,0,438791,34,34,3,4,144,438168,1
0,0,296422,250,250,16,4,133,295724,0
0,0,311595,412,412,14,2,98,311224,1
0,0,39701,54,54,57,4,41,39237,1
1,0,22510,56,56,42,3,158,21845,0
0,0,262228,39,39,22,4,169,261515,0
0,0,603114,243,243,10,4,15,602248,1
0,0,610905,160,160,4,4,135,610333,0
1,0,862102,247,247,22,3,1,861431,0
0,0,8700,17,17,40,4,18,8095,0
0,0,1439745,91,91,28,4,57,1439215,1
0,0,9539,201,201,47,4,94,8904,1
0,0,367683,158,158,16,4,26,367096,0
0,0,11825,47,47,53,4,126,11139,0
0,0,406686,142,142,4,4,97,406078,0
0,0,32545,268,268,77,4,126,31979,0
0,0,2027,41,41,52,4,69,1341,0
0,0,465000,355,355,17,4,2,464038,0
1,0,874302,280,280,27,3,117,873739,1
0,0,1522297,87,87,28,4,17,1521722,0
0,0,456160,324,324,23,4,118,455483,0
0,0,9111,134,134,64,2,75,8734,0
0,0,478938,103,103,0,4,3,478315,0
0,0,494817,207,207,23,4,14,494134,1
0,0,21792,347,347,80,4,39,21193,0
0,0,649380,242,242,10,4,6,648745,1
1,0,499409,367,367,22,3,55,498789,0
0,0,21840,236,236,72,4,130,21079,0
0,0,551183,233,233,19,2,162,550740,0
0,0,53116,397,397,94,5,36,52718,0
0,0,302673,251,251,16,4,45,302005,0
0,0,633183,240,240,10,2,95,632827,1
0,0,1148872,410,410,27,4,34,1148204,0
0,0,548259,147,147,20,2,70,547909,0
0,0,627298,101,101,6,4,82,626603,1
0,0,555039,429,429,4,4,97,554545,1
0,0,269583,420,420,4,4,135,268954,0
0,0,1587490,217,217,26,4,91,1586741,0
0,0,1038285,195,195,28,4,96,1037734,1
0,0,266589,179,179,17,4,21,265723,0
0,0,21892,341,341,79,4,52,21179,0
0,0,400683,58,58,3,4,158,400036,1
0,0,1863,45,45,53,4,130,1279,0
0,0,564291,151,151,22,4,115,563632,1
0,0,1722444,340,340,25,4,21,1721857,1
0,0,1850809,110,110,28,4,28,1850192,1
0,0,1081012,406,406,27,4,170,1080440,1
0,0,217404,24,24,16,4,23,216745,0
0,0,2115566,27,27,28,4,96,2114982,1
0,0,5418,237,237,72,4,75,4696,1
0,0,266951,177,177,14,4,98,266226,0
0,0,643220,204,204,6,4,63,642618,0
0,0,238595,175,175,14,4,31,237978,1
0,0,174019,66,66,14,4,46,173294,1
0,0,33533,391,391,93,4,148,32910,1
0,0,66227,305,305,1,4,120,65685,0
0,0,1032696,196,196,28,4,57,1032121,1
0,0,1279824,192,192,28,4,17,1279111,1
0,0,549268,75,75,7,4,160,548651,0
1,0,1738968,29,29,27,3,40,1738420,0
0,0,110877,159,159,2,5,162,110344,1
1,0,44362,304,304,15,3,121,43754,1
0,0,375323,426,426,4,4,128,374682,1
0,0,1871216,109,109,28,4,17,1870641,0
0,0,48963,359,359,84,4,103,48349,0
0,0,57983,64,64,59,4,130,57381,1
0,0,559332,148,148,20,2,79,558976,0
0,0,21243,15,15,38,4,16,20602,1
1,0,807869,26,26,27,3,117,807330,1
0,0,17246,272,272,77,4,41,16593,0
0,0,11667,265,265,75,4,41,10975,1
0,0,1182146,316,316,28,4,57,1181541,1
0,0,777907,154,154,22,4,116,777242,0
0,0,474095,356,356,17,4,113,473496,0
0,0,548591,232,232,19,2,40,548190,0
0,0,1654543,32,32,27,4,151,1654004,1
0,0,15815,362,362,84,4,50,15231,0
0,0,417430,209,209,23,4,14,416753,1
0,0,50225,396,396,94,4,101,49587,0
0,0,23909,363,363,84,4,141,23259,0
0,0,1886263,224,224,27,4,101,1885670,0
0,0,1420673,92,92,28,4,161,1420101,0
0,0,1628056,218,218,26,4,105,1627475,0
0,0,5356,352,352,83,4,134,4736,1
0,0,272757,183,183,17,4,21,271798,0
0,0,422988,186,186,15,4,62,422386,0
0,0,431207,427,427,4,4,145,430704,0
0,0,563485,94,94,20,2,18,563114,0
0,0,1739,7,7,33,4,34,1236,1
0,0,488252,257,257,16,4,131,487683,0
0,0,2141017,330,330,27,4,48,2140400,0
0,0,305429,373,373,24,4,9,304515,0
1,0,210445,139,139,11,3,42,209840,1
0,0,636879,163,163,4,4,128,636250,1
0,0,2091750,38,38,28,4,57,2091055,1
0,0,211634,419,419,0,5,8,211245,0
0,0,34921,273,273,78,4,126,34262,1
0,0,1570983,121,121,28,4,96,1570405,1
0,0,596495,164,164,4,4,135,595866,0
0,0,3008,167,167,46,4,144,2760,1
0,0,491431,300,300,10,4,6,490859,1
0,0,458814,354,354,17,4,99,458125,0
0,0,283286,425,425,4,4,135,282588,0
1,0,11424,42,42,52,3,107,10828,0
0,0,1306828,214,214,26,4,91,1306226,1
0,0,14571,378,378,50,4,101,14272,0
0,0,9261,131,131,63,4,41,8539,0
0,0,70633,61,61,58,4,126,70109,0
0,0,1677970,118,118,28,4,136,1677395,0
0,0,566496,301,301,10,4,132,565864,1
0,0,1200244,315,315,28,4,57,1199621,0
0,0,8071,393,393,93,4,86,7124,1
0,0,631273,162,162,4,4,97,630704,1
0,0,1299223,190,190,28,4,96,1298663,0
1,0,1337715,216,216,26,3,30,1337152,0
1,0,893116,245,245,22,3,11,892445,1
0,0,102031,0,0,2,4,102,101630,1
0,0,452612,288,288,28,4,96,451995,0
0,0,542828,295,295,10,4,6,542232,1
0,0,2067976,37,37,28,4,161,2067425,0
0,0,632235,86,86,27,4,34,631654,1
0,0,253563,292,292,16,4,131,252895,0
0,0,1060193,194,194,28,4,57,1059636,1
0,0,54130,400,400,95,4,51,53294,1
1,0,225709,70,70,14,3,33,225092,1
0,0,2016292,331,331,27,4,61,2015537,0
0,0,55031,271,271,77,4,130,54300,0
0,0,42738,392,392,93,4,86,42403,1
0,0,683253,99,99,28,4,57,682675,0
0,0,930600,248,248,22,4,169,929947,1
0,0,510533,431,431,5,4,43,509916,0
0,0,1637787,114,114,28,4,57,1637185,1
0,0,602022,165,165,4,4,145,601444,0
0,0,9693,361,361,84,4,141,9067,0
0,0,325661,372,372,16,4,133,325122,0
0,0,85370,63,63,58,4,75,84681,0
0,0,482096,260,260,16,4,109,481446,0
0,0,152203,402,402,95,4,91,151562,0
0,0,1348,171,171,68,4,41,512,1
0,0,459742,256,256,16,4,26,459083,0
0,0,8984,262,262,73,4,75,8412,1
0,0,285006,252,252,16,4,133,284026,0
0,0,786,374,374,85,4,35,88,0
0,0,521226,213,213,6,4,112,520573,0
0,0,1896,261,261,73,4,75,1198,1
0,0,423275,208,208,23,4,5,422700,0
0,0,297265,230,230,3,4,158,296609,0
0,0,413954,418,418,28,4,17,413337,0
0,0,3185,166,166,66,4,126,2544,1
0,0,410431,185,185,15,4,62,409799,0
0,0,717564,275,275,27,4,122,716974,1
0,0,497547,258,258,16,4,23,496699,0
0,0,1973331,334,334,28,4,74,1972666,0
0,0,9993,35,35,41,4,127,9376,1
0,0,12963,343,343,79,4,52,12349,0
0,0,1274037,193,193,28,4,57,1273459,1
1,0,2090413,221,221,27,3,40,2089832,1
0,0,203566,71,71,14,2,56,203195,1
0,0,641268,241,241,10,4,132,640657,1
0,0,1749740,337,337,28,4,96,1749048,0
0,0,537100,296,296,10,4,6,536468,1
0,0,4555,135,135,65,4,130,3962,0
0,0,1078119,197,197,28,4,161,1077559,0
0,0,567898,125,125,19,2,61,567485,0
0,0,6670,234,234,70,4,41,6140,1
0,0,55203,81,81,14,4,31,54550,0
0,0,288418,229,229,3,4,110,287768,0
0,0,165971,20,20,9,4,1,165327,0
0,0,627125,85,85,11,4,171,626559,1
0,0,1646736,219,219,26,4,19,1646206,0
0,0,11470,49,49,55,2,126,11081,1
0,0,661517,2,2,10,4,6,660867,1
