Gene_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1150552,318,318,28,1149983,1
0,377041,365,365,12,376496,1
0,389569,256,256,16,388676,0
0,1212108,315,315,28,1211533,0
0,1793869,336,336,28,1793264,1
0,1559,53,53,57,987,1
0,421453,417,417,28,420860,0
0,410649,146,146,14,410251,0
1,2936,1,1,31,2637,1
1,690105,152,152,22,689434,0
0,21892,342,342,82,21179,0
0,8892,378,378,50,8245,0
0,237931,292,292,16,237338,0
0,615493,18,18,28,614912,0
0,253619,174,174,14,252897,0
0,244194,184,184,17,243160,0
0,1176204,399,399,23,1175530,0
0,668902,153,153,22,668282,1
0,22995,309,309,14,22609,1
0,47042,80,80,14,46335,1
0,3660,200,200,69,3085,1
0,462219,366,366,22,461563,1
0,10321,129,129,62,9749,0
1,1773473,337,337,28,1772775,1
0,1368555,313,313,28,1367977,1
0,170789,69,69,14,170208,1
0,25171,395,395,97,24581,0
0,917604,279,279,27,916954,0
0,17407,267,267,76,16820,0
0,6256,133,133,64,5888,0
0,633393,82,82,11,632488,1
1,1947,16,16,39,1330,1
0,1604078,116,116,28,1603452,0
0,219644,72,72,14,218985,1
0,1579,4,4,34,1004,1
0,462632,143,143,4,462006,0
0,786,375,375,88,88,0
0,555039,78,78,7,554104,0
1,891600,277,277,27,891058,1
0,522983,298,298,10,522417,1
0,897652,247,247,22,897068,0
0,445439,137,137,16,444747,0
0,5761,377,377,50,5141,0
0,407298,187,187,15,406639,0
0,95645,65,65,2,95094,1
0,296809,421,421,4,296102,1
0,438791,34,34,3,438168,1
0,296422,251,251,16,295724,0
0,311595,412,412,14,311224,1
0,39701,54,54,57,39237,1
1,22510,56,56,42,21845,0
0,262228,39,39,22,261515,0
0,603114,244,244,10,602248,1
0,610905,160,160,4,610333,0
1,862102,248,248,22,861431,0
0,8700,17,17,40,8095,0
0,1439745,91,91,28,1439215,1
0,9539,201,201,47,8904,1
0,367683,158,158,16,367096,0
0,11825,47,47,53,11139,0
0,406686,142,142,4,406078,0
0,17246,272,272,78,16593,0
0,2027,41,41,52,1341,0
0,465000,356,356,17,464038,0
1,874302,280,280,27,873739,1
0,1522297,87,87,28,1521722,0
0,456160,325,325,23,455483,0
0,9111,134,134,64,8734,0
0,478938,103,103,0,478315,0
0,494817,207,207,23,494134,1
0,15668,347,347,83,15015,0
0,649380,243,243,10,648745,1
1,499409,368,368,22,498789,0
0,13606,237,237,72,12851,1
0,551183,233,233,19,550740,0
0,50225,397,397,97,49587,0
0,302673,252,252,16,302005,0
0,633183,241,241,10,632827,1
0,1148872,410,410,27,1148204,0
0,548259,147,147,20,547909,0
0,627298,101,101,6,626603,1
0,555039,429,429,4,554545,1
0,269583,420,420,4,268954,0
0,1587490,217,217,26,1586741,0
0,1038285,195,195,28,1037734,1
0,266589,179,179,17,265723,0
0,16035,345,345,82,15472,0
0,400683,58,58,3,400036,1
0,1863,45,45,53,1279,0
0,564291,151,151,22,563632,1
0,1722444,341,341,25,1721857,1
0,1850809,110,110,28,1850192,1
0,1081012,406,406,27,1080440,1
0,217404,24,24,16,216745,0
0,2115566,27,27,28,2114982,1
0,10783,236,236,71,10139,0
0,266951,177,177,14,266226,0
0,643220,204,204,6,642618,0
0,238595,175,175,14,237978,1
0,174019,66,66,14,173294,1
0,18926,391,391,96,18276,0
0,66227,306,306,1,65685,0
0,1032696,196,196,28,1032121,1
0,1279824,192,192,28,1279111,1
0,549268,75,75,7,548651,0
1,1738968,29,29,27,1738420,0
0,110877,159,159,2,110344,1
1,44362,305,305,15,43754,1
0,375323,426,426,4,374682,1
0,1871216,109,109,28,1870641,0
0,31626,359,359,87,31012,0
0,57983,64,64,59,57381,1
0,559332,148,148,20,558976,0
0,21243,15,15,38,20602,1
1,807869,26,26,27,807330,1
0,2682,270,270,78,1954,0
0,4829,264,264,75,4128,0
0,1182146,317,317,28,1181541,1
0,777907,154,154,22,777242,0
0,474095,357,357,17,473496,0
0,548591,232,232,19,548190,0
0,1654543,32,32,27,1654004,1
0,9693,362,362,87,9067,0
0,417430,209,209,23,416753,1
1,44727,396,396,97,44119,1
0,15815,363,363,87,15231,0
0,1886263,224,224,27,1885670,0
0,1420673,92,92,28,1420101,0
0,1628056,218,218,26,1627475,0
1,13194,352,352,85,12661,1
0,272757,183,183,17,271798,0
0,422988,186,186,15,422386,0
0,431207,427,427,4,430704,0
0,563485,94,94,20,563114,0
0,1739,7,7,33,1236,1
0,488252,258,258,16,487683,0
0,2141017,331,331,27,2140400,0
0,305429,374,374,24,304515,0
1,210445,139,139,11,209840,1
0,636879,163,163,4,636250,1
0,2091750,38,38,28,2091055,1
0,211634,419,419,0,211245,0
0,29116,274,274,80,28535,1
0,1570983,121,121,28,1570405,1
0,596495,164,164,4,595866,0
0,3008,167,167,46,2760,1
0,491431,301,301,10,490859,1
0,458814,355,355,17,458125,0
0,283286,425,425,4,282588,0
1,11424,42,42,52,10828,0
0,1306828,214,214,26,1306226,1
0,14571,379,379,50,14272,0
0,9261,131,131,63,8539,0
0,70633,61,61,58,70109,0
0,1677970,118,118,28,1677395,0
0,566496,302,302,10,565864,1
0,1200244,316,316,28,1199621,0
0,1845,390,390,95,1489,1
0,631273,162,162,4,630704,1
0,1299223,190,190,28,1298663,0
1,1337715,216,216,26,1337152,0
1,893116,246,246,22,892445,1
0,102031,0,0,2,101630,1
0,452612,288,288,28,451995,0
0,542828,296,296,10,542232,1
0,2067976,37,37,28,2067425,0
0,632235,86,86,27,631654,1
0,253563,293,293,16,252895,0
0,1060193,194,194,28,1059636,1
0,18861,403,403,98,18217,1
1,225709,70,70,14,225092,1
0,2016292,332,332,27,2015537,0
0,52129,271,271,78,51491,0
0,40153,392,392,96,39509,1
0,683253,99,99,28,682675,0
0,930600,249,249,22,929947,1
0,510533,431,431,5,509916,0
0,1637787,114,114,28,1637185,1
0,602022,165,165,4,601444,0
0,1645,358,358,87,1004,0
0,325661,373,373,16,325122,0
0,85370,63,63,58,84681,0
0,482096,261,261,16,481446,0
1,112468,401,401,98,111971,0
0,1348,171,171,68,512,1
0,459742,257,257,16,459083,0
0,1896,262,262,74,1198,1
0,285006,253,253,16,284026,0
0,55025,361,361,87,54438,0
0,521226,213,213,6,520573,0
0,4012,238,238,73,3386,0
0,423275,208,208,23,422700,0
0,297265,230,230,3,296609,0
0,413954,418,418,28,413337,0
0,3185,166,166,66,2544,1
0,410431,185,185,15,409799,0
0,717564,275,275,27,716974,1
0,497547,259,259,16,496699,0
0,1973331,335,335,28,1972666,0
0,9993,35,35,41,9376,1
0,4870,343,343,82,4217,0
0,1274037,193,193,28,1273459,1
1,2090413,221,221,27,2089832,1
0,203566,71,71,14,203195,1
0,641268,242,242,10,640657,1
0,1749740,338,338,28,1749048,0
0,537100,297,297,10,536468,1
0,4555,135,135,65,3962,0
0,1078119,197,197,28,1077559,0
0,567898,125,125,19,567485,0
0,6670,234,234,70,6140,1
0,55203,81,81,14,54550,0
0,288418,229,229,3,287768,0
0,165971,20,20,9,165327,0
0,627125,85,85,11,626559,1
0,1646736,219,219,26,1646206,0
0,11470,49,49,55,11081,1
0,661517,2,2,10,660867,1
