Gene_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,53099,223,1,39,50910,1
0,2191081,86,1,54,2188577,1
1,52834,184,0,0,50840,0
1,13918,123,0,106,11750,1
1,18062,135,0,109,16122,1
1,436942,177,0,24,434816,0
1,34512,89,0,98,32440,1
0,5683,55,3,93,3845,0
1,1835456,208,0,49,1833030,0
1,731499,29,0,23,729406,0
1,562476,173,0,10,560179,0
0,560608,181,1,16,558551,0
0,92121,141,1,41,90979,1
0,7735,186,1,80,5258,1
0,2352753,132,2,54,2351474,0
1,5117,217,0,82,2943,0
0,120751,187,3,3,119534,1
0,9642,214,1,125,7252,0
0,28514,111,1,105,26043,0
0,1699,84,3,8,101,1
1,3774,17,0,66,1570,0
1,468090,37,0,2,465892,0
0,3637,163,2,34,1680,1
1,22349,97,0,10,20226,1
0,369971,59,1,56,367785,0
1,10067,25,0,46,8418,1
1,1108,161,0,77,1,0
0,3468,69,1,96,1171,0
0,1009265,76,1,38,1006986,0
1,609450,134,0,16,607396,0
0,28523,79,1,38,26538,1
0,2650,24,1,35,386,1
0,6868,185,1,121,4559,1
0,50074,190,1,3,47909,1
1,669243,188,0,18,667156,0
1,17178,108,0,103,14941,1
0,4593,1,1,17,2230,1
0,161779,93,1,12,159506,1
0,798,167,3,79,1,1
1,1167843,146,0,42,1165567,0
1,299939,227,0,11,297915,1
1,18493,44,0,34,16673,1
0,5471,139,1,112,3207,1
0,5333,20,1,67,3093,1
0,59387,92,3,42,57738,1
0,477141,199,2,7,476586,0
0,5583,99,1,100,3223,0
1,40877,204,0,29,40377,1
1,175988,212,0,21,173664,0
0,180595,120,1,60,178343,0
0,827,12,2,63,3,0
0,140815,228,2,11,140096,1
0,16433,194,2,81,14709,1
1,35613,196,0,122,33460,1
1,16106,72,0,97,14127,0
0,194620,126,1,55,192110,0
0,85349,64,2,4,84366,1
0,311650,215,1,12,309482,1
0,703891,71,2,23,701787,0
0,7225,106,1,102,4853,0
0,3201,58,2,75,2560,1
0,17152,138,1,111,14774,1
0,43304,158,1,57,40902,1
0,52112,104,1,45,49749,1
0,2335,170,3,12,101,1
0,3704,21,1,68,1446,1
1,12933,114,0,40,10912,1
1,60946,148,0,54,58898,1
1,1287,18,0,70,1,0
0,3133,50,1,90,824,1
0,23314,236,1,2,21104,0
0,18709,32,1,27,16532,1
1,399311,90,0,14,397290,0
0,66424,233,1,36,64094,1
1,469090,31,0,1,466913,0
0,4184,235,1,36,1923,1
0,754574,175,1,26,752403,0
0,646569,183,2,12,644707,0
1,480279,207,0,46,478171,0
1,636865,78,0,20,634829,0
0,377705,98,1,59,375522,0
1,459000,174,0,10,456733,0
0,703107,150,2,22,702547,0
1,411395,34,0,13,410220,0
0,5540,41,2,85,3963,1
0,526037,36,3,3,525222,0
0,115059,160,1,22,112891,1
1,28472,221,0,47,26358,1
1,3258,211,0,124,754,1
1,961848,156,0,37,959689,0
1,16197,179,0,120,13717,1
0,1669,45,3,87,2,1
1,113111,168,0,15,111105,1
0,81116,4,2,13,80040,1
1,27218,66,0,51,24993,1
0,2152465,191,1,53,2150273,0
1,5726,0,0,126,3723,0
1,1909430,131,0,53,1907460,1
0,1835184,65,1,48,1832923,0
1,67187,210,0,16,64983,1
0,315631,216,1,12,313523,1
0,6765,193,1,81,4204,1
0,1518,57,3,94,1,1
1,477984,153,0,5,475453,0
1,19107,105,0,45,16912,1
1,2336,151,0,115,3,1
1,468765,82,0,54,466540,0
0,4334,95,1,99,1968,1
0,71096,140,1,41,68619,1
0,909502,73,1,35,907241,0
1,1116077,155,0,41,1113876,0
1,62927,152,0,24,60651,1
0,57522,127,1,22,55348,1
0,1333,14,2,65,3,0
1,811009,213,0,33,808763,0
0,1475,2,3,127,3,0
0,471716,220,2,5,470270,0
0,2123600,85,1,53,2121408,0
0,4215,70,1,19,1969,1
1,252998,133,0,28,250869,0
0,6479,137,2,110,5838,1
0,68193,149,1,25,66007,1
