Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,684782,58,58,30,19,683826,0
0,914563,158,158,26,18,913814,0
0,31139,62,62,22,48,29922,0
1,1247221,181,181,2,17,1246121,0
0,1222996,108,108,16,19,1222181,1
1,290434,82,82,2,14,289571,0
0,1049347,135,135,15,14,1048619,0
0,36628,46,46,23,28,35402,1
1,1131697,172,172,2,19,1130438,1
0,31870,222,222,11,37,31118,0
1,295086,102,102,2,12,293887,1
0,946792,6,6,22,14,945539,1
1,2901,221,221,2,36,1762,0
0,1639752,125,125,19,17,1638709,0
0,644758,119,119,25,6,643769,0
0,17814,236,236,28,80,16873,1
0,826530,13,13,18,18,825718,1
0,335,10,10,0,25,3,0
1,7239,185,185,2,0,5971,1
1,41030,154,154,2,68,39978,0
0,19059,169,169,11,72,18244,0
0,1188618,195,195,31,14,1187623,0
0,1745136,193,193,16,19,1744339,0
1,2521,110,110,2,58,1283,1
0,250812,147,147,22,15,249592,0
0,731234,57,57,11,19,730422,0
0,1075329,3,3,1,14,1075195,1
1,137805,161,161,2,12,136807,0
0,461022,202,202,29,14,460051,1
0,1604402,190,190,17,18,1603254,0
0,11189,50,50,23,46,10047,1
1,13960,14,14,2,26,13361,1
0,39296,63,63,22,48,38151,0
0,375903,35,35,20,4,374896,1
0,12268,237,237,22,81,10958,0
0,2097143,192,192,11,19,2096334,1
0,13009,155,155,23,68,11804,0
0,550504,49,49,11,7,549704,0
0,11743,224,224,11,37,10985,1
1,556235,174,174,2,1,555144,0
0,1165493,230,230,11,15,1164663,0
1,381597,15,15,2,10,380962,0
0,9178,76,76,11,29,8375,1
0,2165485,187,187,24,18,2164835,1
1,41345,80,80,33,30,40839,0
1,29968,167,167,2,72,28721,0
0,358168,104,104,24,18,357524,0
0,492438,203,203,22,14,491209,0
0,37518,31,31,11,27,36670,0
0,1588977,124,124,31,17,1588012,0
0,1147481,178,178,7,17,1146423,1
0,15379,219,219,11,78,14528,0
0,77977,41,41,11,3,77144,0
0,658646,92,92,11,14,657867,0
0,3650,151,151,6,65,2478,1
0,537352,90,90,22,14,536177,1
1,35179,44,44,2,13,34406,1
0,614,51,51,0,46,222,1
1,1921338,128,128,2,18,1920505,1
1,287088,101,101,2,12,285889,1
0,1173402,231,231,18,15,1172566,0
0,37248,168,168,23,72,35989,1
1,55904,32,32,2,27,55386,1
1,1887968,130,130,2,18,1886823,0
0,432927,247,247,14,5,431740,0
0,13082,114,114,0,60,12327,1
0,386514,176,176,22,15,385279,0
0,832741,210,210,22,14,831566,0
0,28969,25,25,1,40,28568,0
0,738,2,2,0,22,1,0
0,5008,9,9,11,25,4142,0
0,227094,19,19,1,12,226831,1
0,14090,64,64,22,48,12945,0
0,1026,225,225,0,79,841,1
0,1863,105,105,18,57,1015,0
0,2029082,20,20,22,19,2027874,1
1,445921,18,18,2,4,445157,0
0,247162,12,12,11,14,246347,0
0,1022329,213,213,18,14,1021526,1
0,23025,137,137,0,63,22318,0
0,1675,215,215,11,34,854,1
1,26635,166,166,34,72,25832,0
0,2151652,67,67,9,19,2150759,1
0,2155792,188,188,24,18,2155145,0
0,392050,88,88,0,12,391007,0
0,19523,47,47,23,28,18321,1
0,1687805,71,71,4,19,1687044,0
0,10624,97,97,32,52,9845,0
0,266241,145,145,11,15,265438,0
0,305564,86,86,8,14,304740,0
0,486743,59,59,14,1,485586,0
0,277578,84,84,11,14,276769,0
1,827468,209,209,2,14,826311,1
0,1047,1,1,25,21,259,0
0,265814,201,201,25,11,265029,1
0,18784,100,100,18,55,18002,0
0,997273,212,212,11,14,996476,1
0,297062,81,81,22,14,295851,0
1,13592,103,103,2,56,12324,1
0,30765,28,28,11,42,29968,1
0,422034,17,17,14,4,420934,0
0,941707,7,7,11,14,940901,1
0,12388,139,139,0,64,11468,0
1,269718,150,150,2,19,269074,1
0,65754,234,234,28,80,64810,1
0,1522877,183,183,25,17,1521903,1
0,17173,217,217,23,77,16040,1
0,13948,30,30,10,43,13148,0
0,313431,85,85,11,14,312547,0
0,285745,83,83,11,14,284939,0
0,975187,118,118,30,19,974237,1
0,1679298,73,73,25,19,1678525,0
1,6002,241,241,2,82,5043,0
1,1592913,75,75,34,19,1591840,1
1,663114,16,16,2,19,662260,0
0,407549,140,140,11,14,406749,1
0,251858,21,21,0,14,251211,0
1,4723,24,24,2,39,4340,1
0,23810,60,60,22,47,22572,1
0,231201,246,246,27,5,230431,0
0,2142542,189,189,25,18,2141583,0
0,13418,153,153,16,67,12669,0
0,1694274,70,70,24,19,1693627,0
1,25842,200,200,2,75,24370,0
1,9998,78,78,2,50,9753,0
0,1577124,191,191,12,18,1576114,0
0,1229889,180,180,20,17,1228786,0
0,1778534,132,132,13,18,1777443,0
1,1152958,196,196,2,14,1151783,1
0,907521,143,143,22,14,906301,0
1,23852,33,33,34,27,23046,0
0,1148502,229,229,11,15,1147669,0
1,655,0,0,2,83,2,1
1,223492,245,245,34,5,222386,0
0,1631767,72,72,24,19,1631120,0
1,667923,95,95,2,14,666610,1
0,272963,214,214,16,15,272211,0
1,11872,133,133,2,61,11348,0
0,247509,146,146,11,15,246700,0
