Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,63306,44,43,9,1,37,35,61772,0
0,1057855,82,81,8,0,50,4,1056242,1
0,4658068,89,88,7,0,52,16,4656557,0
1,4871690,96,95,1,1,38,16,4870365,1
1,501101,110,109,9,1,22,14,499566,1
1,4907622,98,97,3,1,45,16,4906250,1
1,2769881,145,144,9,1,42,12,2769468,1
1,268059,141,140,9,1,42,12,266604,0
1,4067975,84,83,9,1,37,13,4066581,0
1,1589097,133,132,9,1,6,9,1587573,1
1,1182456,119,118,9,1,21,5,1180816,1
1,147206,101,100,9,1,1,14,145692,1
1,16687,55,54,9,1,32,45,14902,1
0,237565,105,104,7,0,11,14,236150,1
1,34585,40,39,9,1,52,34,33074,1
1,10341,9,9,9,1,60,2,9201,0
1,2794118,148,147,9,1,42,12,2793789,0
0,2972153,154,153,7,0,27,12,2970543,0
1,70716,138,137,9,1,50,11,69197,0
1,16196,26,26,9,1,14,26,14732,0
1,2653794,144,143,9,1,13,12,2652725,1
