Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
1,0,641578,83,4,11,640880
1,0,320021,423,4,4,319437
0,0,70385,303,4,15,69732
0,0,2893,384,4,88,2228
1,0,36160,21,4,14,35462
1,0,628319,187,3,13,627354
0,0,978860,281,1,27,978390
0,0,288480,177,4,17,287506
0,0,331967,157,4,16,331098
0,0,467996,366,4,22,467418
0,0,1344856,202,4,21,1344239
0,1,340144,413,4,14,339536
0,0,218124,169,4,17,217234
1,0,11303,52,4,56,10641
1,0,12594,201,4,47,11959
1,0,789660,155,4,22,789061
1,0,855201,25,4,27,854569
1,0,873,6,4,35,262
0,0,16035,344,4,79,15472
1,0,301818,284,4,14,301183
1,0,281,11,5,36,3
0,0,578960,77,4,7,578253
0,0,1665163,31,4,27,1664528
1,0,538452,149,4,22,537880
0,0,278450,249,4,16,277617
0,0,473006,259,4,16,472107
0,0,16573,168,4,67,15977
0,0,15631,124,1,43,14972
1,0,2130876,105,4,28,2130250
0,0,750998,204,4,16,750414
1,0,497850,299,4,10,497083
1,0,653543,84,4,11,652923
1,0,698962,98,4,28,698387
1,0,350824,414,2,14,350453
1,0,584282,136,4,10,583626
0,0,425782,145,2,14,425384
0,0,1183104,328,4,26,1182499
0,0,160801,403,4,95,160181
1,0,6106,95,4,60,5495
0,0,393310,287,4,30,392783
1,0,514088,298,4,10,513441
1,0,667099,5,4,10,666332
0,0,244449,293,4,16,243556
0,0,223254,294,4,16,222562
0,0,260483,179,4,17,259935
0,0,1069989,197,4,28,1069351
1,0,198335,44,4,10,197730
1,0,1235855,190,2,28,1235211
0,0,1109266,398,4,23,1108595
0,0,6197,387,4,90,5628
1,0,38888,79,4,14,38181
0,0,2159962,329,4,27,2159390
0,0,1411596,23,4,28,1410949
1,0,2152710,106,4,28,2152117
0,0,22912,60,2,58,22523
1,0,2442,290,4,48,1612
1,0,673589,188,4,27,672981
0,0,1671935,119,3,28,1671336
0,0,11230,375,4,49,10535
0,0,1875155,224,4,27,1874526
1,0,311313,422,4,4,310645
1,0,274287,175,4,14,273715
0,0,433446,209,4,23,432955
1,0,36542,385,4,89,35961
0,0,541203,104,4,6,540331
1,0,375081,122,4,12,374536
1,0,1134002,408,4,27,1133424
0,0,1473130,88,4,28,1472456
0,0,1261581,327,3,26,1260970
0,0,1121,3,4,32,531
0,0,405277,144,4,14,404699
1,0,1581481,219,4,26,1580900
1,0,1049,289,4,48,204
1,1,327963,424,4,4,327337
0,0,1392058,311,4,28,1391459
0,0,253089,180,4,17,252442
0,0,897457,278,4,27,896894
1,0,358436,283,2,14,358038
1,0,782,48,4,54,129
1,0,371048,282,4,14,370350
0,0,1932015,107,4,28,1931470
1,0,7470,274,4,78,6853
1,0,76266,285,4,14,75574
1,0,16265,14,4,37,15666
1,0,605996,244,4,10,605367
0,0,332148,411,4,14,331510
0,0,844685,369,3,22,844098
1,0,1790185,225,4,27,1789544
1,0,617680,239,4,10,617066
0,0,17055,50,4,56,16375
0,0,1591262,333,4,27,1590720
0,0,31626,358,4,84,31012
0,0,67780,415,4,14,67067
0,0,425359,254,4,16,424565
0,0,281837,181,4,17,281250
0,0,1169771,349,4,22,1169145
1,0,1192370,318,4,28,1191744
0,0,18926,390,4,93,18276
1,0,2103139,226,4,28,2102468
1,0,1094415,321,4,28,1093786
0,0,59685,51,4,56,58891
1,0,395098,43,4,28,394403
0,0,128464,416,2,14,128075
1,0,1132814,320,4,28,1132212
0,0,385637,22,3,22,384969
1,0,1348,170,4,68,512
0,0,567879,382,2,20,567310
1,0,190891,67,4,14,190256
1,0,3660,199,4,69,3085
1,0,756041,100,4,28,755460
1,0,1653046,113,4,28,1652444
0,0,7200,138,4,45,6637
0,0,17644,350,4,81,17072
1,0,388432,198,2,29,388043
0,0,1001979,96,4,28,1001410
0,0,1611491,332,4,27,1610868
1,0,6125,12,4,36,5631
0,0,1806636,339,4,28,1806064
1,0,1150552,317,4,28,1149983
1,0,377041,364,4,12,376496
0,0,389569,255,4,16,388676
0,0,1212108,314,4,28,1211533
1,0,1793869,335,4,28,1793264
1,0,1559,53,4,57,987
0,0,421453,417,4,28,420860
0,0,410649,146,2,14,410251
1,0,2936,1,3,31,2637
0,0,690105,152,3,22,689434
0,0,7534,345,2,80,7151
0,0,8892,377,4,50,8245
0,0,237931,291,4,16,237338
0,0,615493,18,4,28,614912
0,0,253619,173,4,14,252897
0,0,244194,183,4,17,243160
0,0,1176204,399,4,23,1175530
1,0,668902,153,4,22,668282
1,0,22995,308,2,14,22609
1,0,47042,80,4,14,46335
1,0,6670,233,4,70,6140
1,0,462219,365,4,22,461563
0,0,10321,129,4,62,9749
1,0,1773473,336,3,28,1772775
1,0,1368555,312,4,28,1367977
1,0,170789,69,4,14,170208
1,0,44727,395,3,94,44119
0,0,917604,279,4,27,916954
0,0,7294,267,4,76,6638
0,0,6256,133,2,64,5888
1,0,633393,82,4,11,632488
1,0,1947,16,3,39,1330
0,0,1604078,116,4,28,1603452
1,0,219644,72,4,14,218985
1,0,1579,4,4,34,1004
0,0,462632,143,4,4,462006
0,0,1707,379,4,86,1054
0,0,555039,78,4,7,554104
1,0,891600,277,1,27,891058
1,0,522983,297,4,10,522417
0,0,897652,246,4,22,897068
0,0,445439,137,4,16,444747
0,0,5761,376,4,50,5141
0,0,407298,186,4,15,406639
1,0,95645,65,4,2,95094
1,0,296809,421,4,4,296102
1,0,438791,34,4,3,438168
0,0,296422,250,4,16,295724
1,0,311595,412,2,14,311224
1,0,39701,54,4,57,39237
0,0,22510,56,3,42,21845
0,0,262228,39,4,22,261515
1,0,603114,243,4,10,602248
0,0,610905,160,4,4,610333
0,0,862102,247,3,22,861431
0,0,8700,17,4,40,8095
1,0,1439745,91,4,28,1439215
1,0,9539,200,4,47,8904
0,0,367683,158,4,16,367096
0,0,11825,47,4,53,11139
0,0,406686,142,4,4,406078
0,0,32545,268,4,77,31979
0,0,2027,41,4,52,1341
0,0,465000,355,4,17,464038
1,0,874302,280,3,27,873739
0,0,1522297,87,4,28,1521722
0,0,456160,324,4,23,455483
0,0,9111,134,2,64,8734
0,0,478938,103,4,0,478315
1,0,494817,206,4,23,494134
0,0,21792,347,4,80,21193
1,0,649380,242,4,10,648745
0,0,499409,367,3,22,498789
0,0,21840,236,4,72,21079
0,0,551183,232,2,19,550740
0,0,53116,397,5,94,52718
0,0,302673,251,4,16,302005
1,0,633183,240,2,10,632827
0,0,1148872,410,4,27,1148204
0,0,548259,147,2,20,547909
1,0,627298,101,4,6,626603
1,0,555039,429,4,4,554545
0,0,269583,420,4,4,268954
0,0,1587490,216,4,26,1586741
1,0,1038285,194,4,28,1037734
0,0,266589,178,4,17,265723
0,0,21892,341,4,79,21179
1,0,400683,58,4,3,400036
0,0,1863,45,4,53,1279
1,0,564291,151,4,22,563632
1,0,1722444,340,4,25,1721857
1,0,1850809,110,4,28,1850192
1,0,1081012,406,4,27,1080440
0,0,217404,24,4,16,216745
1,0,2115566,27,4,28,2114982
1,0,5418,237,4,72,4696
0,0,266951,176,4,14,266226
0,0,643220,203,4,6,642618
1,0,238595,174,4,14,237978
1,0,174019,66,4,14,173294
1,0,33533,391,4,93,32910
0,0,66227,305,4,1,65685
1,0,1032696,195,4,28,1032121
1,0,1279824,191,4,28,1279111
0,0,549268,75,4,7,548651
0,0,1738968,29,3,27,1738420
1,0,110877,159,5,2,110344
1,0,44362,304,3,15,43754
1,0,375323,426,4,4,374682
0,0,1871216,109,4,28,1870641
0,0,48963,359,4,84,48349
1,0,57983,64,4,59,57381
0,0,559332,148,2,20,558976
1,0,21243,15,4,38,20602
1,0,807869,26,3,27,807330
0,0,17246,272,4,77,16593
1,0,11667,265,4,75,10975
1,0,1182146,316,4,28,1181541
0,0,777907,154,4,22,777242
0,0,474095,356,4,17,473496
0,0,548591,231,2,19,548190
1,0,1654543,32,4,27,1654004
0,0,15815,362,4,84,15231
1,0,417430,208,4,23,416753
0,0,50225,396,4,94,49587
0,0,23909,363,4,84,23259
0,0,1886263,223,4,27,1885670
0,0,1420673,92,4,28,1420101
0,0,1628056,217,4,26,1627475
1,0,5356,352,4,83,4736
0,0,272757,182,4,17,271798
0,0,422988,185,4,15,422386
0,0,431207,427,4,4,430704
0,0,563485,94,2,20,563114
1,0,1739,7,4,33,1236
0,0,488252,257,4,16,487683
0,0,2141017,330,4,27,2140400
0,0,305429,373,4,24,304515
1,0,210445,139,3,11,209840
1,0,636879,163,4,4,636250
1,0,2091750,38,4,28,2091055
0,0,211634,419,5,0,211245
1,0,34921,273,4,78,34262
1,0,1570983,121,4,28,1570405
0,0,596495,164,4,4,595866
1,0,3008,167,4,46,2760
1,0,491431,300,4,10,490859
0,0,458814,354,4,17,458125
0,0,283286,425,4,4,282588
0,0,11424,42,3,52,10828
1,0,1306828,213,4,26,1306226
0,0,14571,378,4,50,14272
0,0,9261,131,4,63,8539
0,0,70633,61,4,58,70109
0,0,1677970,118,4,28,1677395
1,0,566496,301,4,10,565864
0,0,1200244,315,4,28,1199621
1,0,8071,393,4,93,7124
1,0,631273,162,4,4,630704
0,0,1299223,189,4,28,1298663
0,0,1337715,215,3,26,1337152
1,0,893116,245,3,22,892445
1,0,102031,0,4,2,101630
0,0,452612,288,4,28,451995
1,0,542828,295,4,10,542232
0,0,2067976,37,4,28,2067425
1,0,632235,86,4,27,631654
0,0,253563,292,4,16,252895
1,0,1060193,193,4,28,1059636
1,0,54130,400,4,95,53294
1,0,225709,70,3,14,225092
0,0,2016292,331,4,27,2015537
0,0,55031,271,4,77,54300
1,0,42738,392,4,93,42403
0,0,683253,99,4,28,682675
1,0,930600,248,4,22,929947
0,0,510533,431,4,5,509916
1,0,1637787,114,4,28,1637185
0,0,602022,165,4,4,601444
0,0,9693,361,4,84,9067
0,0,325661,372,4,16,325122
0,0,85370,63,4,58,84681
0,0,482096,260,4,16,481446
0,0,152203,402,4,95,151562
1,0,7816,171,4,68,6941
0,0,459742,256,4,16,459083
1,0,8984,262,4,73,8412
0,0,285006,252,4,16,284026
0,0,786,374,4,85,88
0,0,521226,212,4,6,520573
1,0,1896,261,4,73,1198
0,0,423275,207,4,23,422700
0,0,297265,229,4,3,296609
0,0,413954,418,4,28,413337
1,0,3185,166,4,66,2544
0,0,410431,184,4,15,409799
1,0,717564,275,4,27,716974
0,0,497547,258,4,16,496699
0,0,1973331,334,4,28,1972666
1,0,9993,35,4,41,9376
0,0,12963,343,4,79,12349
1,0,1274037,192,4,28,1273459
1,0,2090413,220,3,27,2089832
1,0,203566,71,2,14,203195
1,0,641268,241,4,10,640657
0,0,1749740,337,4,28,1749048
1,0,537100,296,4,10,536468
0,0,4555,135,4,65,3962
0,0,1078119,196,4,28,1077559
0,0,567898,125,2,19,567485
0,0,4704,234,4,71,4066
0,0,55203,81,4,14,54550
0,0,288418,228,4,3,287768
0,0,165971,20,4,9,165327
1,0,627125,85,4,11,626559
0,0,1646736,218,4,26,1646206
1,0,11470,49,2,55,11081
1,0,661517,2,4,10,660867
