Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
0,0,20976,59,2,46,18310
0,0,5331,150,2,75,2932
1,0,204433,64,2,14,201761
0,0,1825289,189,2,32,1822929
0,0,700388,14,2,15,697620
1,0,6553,119,2,68,4166
0,0,1169591,223,3,24,1166769
1,0,13678,156,2,3,10931
1,0,565683,139,2,6,563344
0,0,262330,243,2,6,259847
0,0,1251196,182,2,30,1248512
1,0,1015945,209,2,23,1013150
1,0,1147282,168,2,32,1144757
1,0,721934,76,2,23,719244
0,0,1582479,187,1,31,1579936
1,0,237391,72,2,9,234584
1,0,218715,57,2,17,215884
0,0,11062,4,2,39,8450
1,0,1570228,98,4,30,1568267
0,0,308185,67,1,23,306188
0,0,561205,47,2,8,558770
0,0,410579,135,2,16,407808
0,0,57145,58,3,46,54284
0,0,849988,206,2,23,847319
1,0,456596,15,2,5,453903
1,0,60414,227,2,87,57859
1,0,1007699,207,2,23,1005114
1,0,7898,9,2,42,5274
0,0,245264,50,2,0,242583
0,0,4732,122,2,71,2051
0,0,21506,60,2,62,18858
1,0,23129,125,3,73,20358
0,0,472189,71,2,18,469499
0,0,1014233,133,1,31,1011738
0,0,34218,61,2,62,31414
1,0,2102129,101,2,31,2099463
1,0,82609,137,3,19,79808
0,0,1317329,97,2,30,1314768
1,0,396615,252,1,18,394090
1,0,585607,83,2,6,583331
1,0,10603,6,3,40,7772
1,0,460231,148,2,13,457457
0,0,276688,211,1,24,274223
1,0,187696,249,2,9,185057
1,0,10893,92,2,33,8359
1,0,4709,30,2,57,2067
0,0,119436,257,2,2,116878
1,0,14331,230,2,88,11776
1,0,1650945,11,2,31,1648582
0,0,7054,121,2,70,4541
0,0,476059,149,1,5,473501
1,0,3590,212,2,82,942
0,0,1816759,191,2,32,1814429
1,0,2010450,108,2,32,2008033
1,0,529696,177,2,1,526820
0,0,280853,65,2,23,278046
0,0,436968,246,1,6,434224
1,0,408724,138,1,35,406415
0,0,1036042,116,2,25,1033382
0,0,25731,8,3,41,22858
0,0,35248,53,2,61,32438
1,0,2099,2,4,37,3
0,0,903444,114,1,23,900637
1,0,559805,147,1,13,557001
1,0,2171498,184,2,31,2169063
0,0,817323,79,2,23,814468
1,0,35322,193,2,77,32611
0,0,585177,205,3,23,582301
1,0,41459,219,3,86,38613
0,0,584285,176,0,1,581721
0,0,421319,161,2,15,418704
0,0,16042,110,3,67,13142
1,0,629809,112,3,13,627020
1,0,620072,45,2,8,617640
1,0,86749,154,1,3,84020
0,0,1115182,220,2,24,1112378
0,0,546370,48,2,8,543824
0,0,22835,146,2,74,20457
0,0,65602,23,2,54,62846
0,0,321121,172,2,32,318503
1,0,3099,86,2,65,313
1,0,2201057,56,2,32,2198634
0,0,1882048,103,1,31,1879670
0,0,2065088,100,1,31,2062416
1,0,8030,144,2,74,5538
1,0,54570,26,3,44,51787
1,0,12466,229,2,87,9926
0,0,1745786,12,2,31,1743231
0,0,1189938,225,2,24,1187140
1,0,596823,95,2,8,594229
1,0,565358,84,2,32,563163
1,0,935144,130,2,31,932427
1,0,7331,93,3,48,4482
1,0,167573,36,3,19,164778
1,0,191757,113,2,10,188965
1,0,344245,13,2,0,341906
1,0,205713,248,2,9,202903
0,0,546874,142,2,15,544250
0,0,1851640,105,2,31,1848668
0,0,468388,69,3,6,465485
0,0,14547,19,2,52,12235
0,0,425184,136,2,16,422410
1,0,249052,73,2,9,246272
0,0,7271,21,2,53,4884
0,0,3982,1,2,36,1541
0,0,71558,155,1,3,69066
0,0,399549,238,2,16,396772
0,0,11601,40,2,59,9187
1,0,175571,94,2,28,172800
0,0,110238,228,3,87,107374
0,0,783613,78,2,23,780839
1,0,8573,215,2,84,6039
1,0,7513,3,2,38,4757
1,0,171781,0,4,11,169685
1,0,221070,140,2,9,218443
1,0,1484951,183,3,30,1482129
1,0,880730,132,2,31,877992
1,0,12861,240,2,89,10087
0,0,763632,128,2,31,761305
1,0,1152001,181,1,30,1149578
0,0,184674,5,2,12,182293
1,0,194602,250,3,9,191840
1,0,2180588,55,2,32,2178147
1,0,17047,37,2,45,14579
0,0,256062,180,2,5,253732
0,0,1181628,224,2,24,1179322
1,0,2776,51,1,61,113
1,0,950785,131,2,31,948302
0,0,8596,124,2,72,5819
0,0,24923,63,2,47,22032
0,0,42017,201,1,81,39222
0,0,1200167,195,2,23,1197396
0,0,696919,74,2,23,694046
0,0,316755,118,1,24,314314
0,0,428401,70,2,18,425663
0,0,388287,239,2,16,385492
0,0,2113696,54,1,31,2111357
0,0,272153,66,2,23,269451
1,0,22052,241,2,90,19278
0,0,222070,179,2,5,219359
1,0,775880,129,2,31,773208
0,0,432436,159,1,15,429818
1,0,180486,34,2,19,177754
1,0,11536,32,2,58,9554
0,0,15093,157,3,19,12226
