Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
0,110,6765,194,80,4204,1,1
0,123,1518,59,93,1,3,1
1,25,477984,152,5,475453,0,0
1,71,19107,106,44,16912,0,1
1,135,2336,150,114,3,0,1
1,19,468765,85,53,466540,0,0
0,123,4334,97,98,1968,1,1
0,44,71096,140,40,68619,1,1
1,38,224206,203,34,222371,0,1
1,38,1116077,154,40,1113876,0,0
1,20,731499,33,23,729406,0,0
0,123,7491,128,22,5182,1,1
0,116,1333,16,64,3,2,0
0,46,14203,58,32,11819,1,1
0,78,1475,2,126,3,3,0
0,72,471716,220,5,470270,2,0
0,69,2123600,88,52,2121408,1,0
1,63,669243,189,18,667156,0,0
0,131,18709,36,27,16532,1,1
0,123,6479,137,109,5838,2,1
0,100,668634,158,24,666520,1,0
