Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,571102,14,14,1,0,39,563645,0
0,69531,217,217,1,0,13,59128,1
0,13163,67,67,1,0,87,2601,0
0,5956,21,21,1,0,74,733,0
1,12287,133,133,3,1,101,1776,1
0,7614,0,2,0,0,61,1030,1
0,54831,125,125,1,0,52,44338,1
0,2370774,164,164,1,0,51,2360422,0
0,40663,197,197,1,0,119,30197,1
0,24830,102,102,1,0,27,14646,1
1,79790,207,207,3,1,51,69342,1
0,64484,127,127,2,0,30,55971,1
1,127990,148,148,3,1,54,117557,1
0,32850,186,186,1,0,9,28143,1
0,207695,54,54,1,0,15,204667,0
0,36235,216,216,1,0,13,25871,1
0,11492,32,32,1,0,79,5925,1
1,1233807,177,177,3,1,46,1224493,1
0,30892,75,75,1,0,22,20468,0
0,54812,6,6,1,0,32,50482,1
0,311779,49,49,1,0,52,306168,0
0,53674,203,203,1,0,59,43286,1
0,21015,77,77,1,0,18,14486,1
0,25969,153,153,1,0,108,15590,1
1,9243,23,23,3,1,66,3028,1
0,89016,117,117,1,0,42,78604,1
1,574518,142,142,3,1,12,565420,0
1,27113,193,193,3,1,117,16665,1
0,71128,82,82,1,0,45,60752,1
0,347622,84,84,1,0,51,337195,0
0,65194,22,22,1,0,0,54806,0
1,15047,121,121,3,1,99,4680,1
0,243214,168,168,1,0,33,232769,0
0,42086,37,37,1,0,82,31758,0
0,11147,33,33,2,0,80,4143,0
0,22103,170,170,1,0,33,14689,1
0,239506,160,160,2,0,15,231410,0
1,217558,3,3,3,1,25,208664,0
0,1049310,61,61,1,0,48,1038856,0
0,8611,116,116,1,0,69,3,0
0,62219,38,38,1,0,82,51870,0
0,11755,17,17,1,0,73,1460,0
0,586972,45,45,1,0,8,576509,0
0,88568,198,198,1,0,119,78117,1
1,11231,99,99,3,1,96,2115,1
0,623676,90,90,1,0,12,613279,0
0,63253,174,174,1,0,110,52823,1
0,505288,11,11,1,0,4,494840,0
0,780586,126,126,1,0,36,770171,0
0,158064,214,214,1,0,13,147781,1
0,12312,195,195,2,0,52,7990,1
0,1352921,106,106,1,0,50,1342479,0
0,353296,97,97,2,0,52,348857,1
0,13465,34,34,1,0,81,4539,0
0,1147531,122,122,1,0,43,1137248,0
1,595061,50,50,3,1,25,584655,0
0,1048694,138,138,1,0,41,1038261,0
1,214744,9,9,3,1,38,206012,1
0,3341,189,189,2,0,114,3,0
0,7213,73,73,1,0,90,1,1
0,225073,35,35,1,0,27,217409,1
0,5392,79,79,1,0,92,2,0
0,610602,141,141,1,0,26,600223,0
0,548110,151,151,1,0,18,541838,0
1,47046,60,60,3,1,68,36631,0
0,2017022,5,5,2,0,49,2011656,0
1,566844,202,202,3,1,17,556376,0
0,39653,24,24,1,0,37,33702,1
0,5905,55,55,1,0,84,1,1
1,1020605,200,200,3,1,49,1014285,0
0,17336,69,69,1,0,12,6891,1
0,18048,70,70,1,0,88,7666,0
0,19647,57,57,1,0,85,9304,1
0,796416,187,187,1,0,29,789632,0
0,252780,210,210,1,0,16,242332,0
0,18102,16,16,1,0,72,7759,0
1,8750,10,10,3,1,65,352,0
0,230403,209,209,1,0,10,222871,0
0,638425,173,173,1,0,18,628055,0
0,34341,15,15,2,0,32,26002,1
0,5467,74,74,2,0,91,2,0
1,14711,135,135,3,1,103,4479,1
0,5231,26,26,1,0,67,1,1
0,1301475,104,104,1,0,50,1291027,1
0,536745,47,47,1,0,18,531839,0
1,1351353,152,152,3,1,46,1340908,0
0,107347,18,18,1,0,57,100946,1
0,5029,28,28,2,0,77,2,1
0,82139,163,163,1,0,3,71676,1
0,534898,113,113,2,0,33,529028,1
0,97751,81,81,2,0,23,91272,1
0,1028641,20,20,1,0,40,1018586,0
0,64329,98,98,1,0,1,53935,0
0,6046,80,80,2,0,93,2,1
0,364064,59,59,1,0,33,353619,1
0,501262,103,103,1,0,20,494255,0
0,1392969,105,105,1,0,50,1382515,1
1,736142,224,224,3,1,29,726108,0
0,13390,159,159,1,0,71,2987,0
0,635740,96,96,1,0,14,625292,0
0,6239,136,136,2,0,104,3,1
0,510863,220,220,1,0,6,500484,0
0,288082,208,208,1,0,51,277652,0
0,12200,8,8,1,0,64,1905,1
0,7785,140,140,2,0,105,1726,0
0,775910,132,132,1,0,33,765552,0
0,424985,124,124,1,0,31,418893,0
1,11317,87,87,3,1,30,5433,1
0,487135,86,86,1,0,38,478468,1
0,656937,155,155,1,0,22,646543,0
0,400877,72,72,2,0,31,396354,0
0,490459,110,110,1,0,7,480062,0
0,188433,129,129,1,0,10,178087,1
0,34480,144,144,1,0,24,24017,1
0,76316,29,29,2,0,31,71757,1
0,22220,223,223,1,0,39,11901,1
0,508446,158,158,1,0,10,497998,0
0,1684949,56,56,1,0,50,1674489,1
0,72152,147,147,1,0,28,61794,1
0,7036,194,194,1,0,118,1,1
1,40882,92,92,3,1,41,30431,1
1,12411,134,134,3,1,102,1858,1
0,6131,48,48,1,0,83,890,0
1,8139,178,178,3,1,112,1,1
0,3514,111,111,1,0,98,3,0
0,563694,143,143,1,0,26,556752,1
0,3034,91,91,2,0,95,2,0
0,138943,51,51,2,0,23,131411,0
0,600090,181,181,1,0,33,589645,1
0,656716,88,88,1,0,21,646334,0
0,11537,176,176,1,0,111,1098,1
0,2345983,165,165,1,0,51,2335691,0
0,19621,53,53,1,0,57,13649,1
1,25728,93,93,3,1,56,21774,1
0,60872,206,206,1,0,51,50520,1
0,698669,83,83,1,0,23,688299,0
0,545365,221,221,1,0,19,535076,0
1,6309,71,71,3,1,89,1,1
1,7511,128,128,3,1,100,3,0
0,572820,182,182,1,0,11,566630,0
0,1211309,162,162,1,0,50,1200861,0
0,53597,30,30,1,0,58,43140,1
0,29124,137,137,1,0,104,18715,1
0,1848415,41,41,1,0,47,1838054,0
0,902706,95,95,1,0,38,892584,0
1,52443,43,43,3,1,49,42064,1
0,34912,169,169,1,0,33,27714,1
0,685626,118,118,1,0,30,675331,0
1,11957,27,27,3,1,76,1581,1
0,31572,76,76,1,0,36,21127,1
0,12152,204,204,1,0,121,4158,1
0,102066,44,44,1,0,11,91621,1
1,364951,62,62,3,1,56,356759,1
0,6015,146,146,2,0,28,103,1
1,571446,180,180,3,1,33,561022,1
1,9497,185,185,3,1,113,3,0
0,332104,167,167,1,0,33,321641,0
