Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,119436,255,2,2,116878,0
0,0,14331,230,2,88,11776,1
0,0,1650945,12,2,31,1648582,1
0,0,7054,123,2,70,4541,0
0,0,456596,16,2,5,453903,1
0,0,3590,211,2,82,942,1
0,0,1816759,190,2,32,1814429,0
0,0,2010450,109,2,32,2008033,1
0,0,529696,176,2,1,526820,1
0,0,272153,64,2,23,269451,0
0,0,423886,65,2,6,421607,1
1,0,408724,139,1,35,406415,1
0,0,1036042,117,2,25,1033382,0
0,0,25731,9,3,41,22858,0
0,0,35248,51,2,61,32438,0
0,0,2099,3,5,37,3,1
0,0,867065,115,2,23,864531,0
0,0,460231,148,2,13,457457,1
0,0,2171498,183,2,31,2169063,1
0,0,783613,76,2,23,780839,0
0,0,35322,192,2,77,32611,1
0,0,506933,19,3,23,504105,0
0,0,41459,219,3,86,38613,1
0,0,584285,175,0,1,581721,0
0,0,404953,161,2,15,402317,0
0,0,16042,111,3,67,13142,0
1,0,574686,147,1,13,571897,1
0,0,596823,94,2,8,594229,1
1,0,71558,154,1,3,69066,0
0,0,1115182,220,2,24,1112378,0
0,0,556640,252,2,7,553878,0
0,0,22835,146,2,74,20457,0
0,0,65602,25,2,54,62846,0
0,0,321121,171,2,32,318503,0
0,0,3099,84,2,65,313,1
0,0,2201057,54,2,32,2198634,1
1,0,1882048,104,1,31,1879670,0
1,0,2065088,101,1,31,2062416,0
0,0,8030,144,2,74,5538,1
0,0,54570,28,3,44,51787,1
0,0,12466,229,2,87,9926,1
0,0,1745786,13,2,31,1743231,0
0,0,1189938,225,2,24,1187140,0
0,0,580806,93,5,8,578836,1
0,0,565358,82,2,32,563163,1
0,0,935144,132,2,31,932427,1
0,0,7331,91,3,48,4482,1
0,0,156435,34,3,19,153649,1
0,0,249052,71,2,9,246272,1
0,0,344245,14,2,0,341906,1
0,0,194602,248,3,9,191840,1
0,0,536061,256,2,15,533287,0
0,0,1851640,106,2,31,1848668,0
0,0,450835,66,2,6,448496,1
0,0,14547,21,2,52,12235,0
0,0,417885,137,2,16,415123,0
0,0,237391,70,2,9,234584,1
0,0,7271,23,2,53,4884,0
0,0,3982,2,2,36,1541,0
0,0,21057,155,2,3,18763,1
0,0,388287,239,2,16,385492,0
0,0,11601,40,2,59,9187,0
0,0,175571,92,2,28,172800,1
0,0,110238,228,3,87,107374,0
0,0,768058,75,2,23,765323,0
0,0,8573,215,2,84,6039,1
0,0,7513,4,2,38,4757,1
0,0,191757,114,2,10,188965,1
0,0,205713,246,2,9,202903,1
0,0,1484951,182,3,30,1482129,1
0,0,880730,134,2,31,877992,1
0,0,12861,240,2,89,10087,1
0,0,763632,130,2,31,761305,0
1,0,1152001,180,1,30,1149578,1
0,0,171302,231,4,12,169443,0
0,0,187696,247,2,9,185057,1
0,0,2180588,53,2,32,2178147,1
0,0,17047,38,2,45,14579,1
0,0,222070,178,2,5,219359,0
0,0,1181628,224,2,24,1179322,0
1,0,2776,49,1,61,113,1
0,0,950785,133,2,31,948302,1
0,0,8596,126,2,72,5819,0
0,0,24923,61,2,47,22032,0
1,0,42017,200,1,81,39222,0
0,0,1200167,194,2,23,1197396,0
0,0,665447,73,3,23,662586,1
1,0,316755,120,1,24,314314,0
1,0,396615,250,1,18,394090,1
0,0,381075,237,2,16,378301,0
1,0,2113696,52,1,31,2111357,0
1,0,255561,18,1,23,253126,0
0,0,22052,241,2,90,19278,1
0,0,198843,128,2,5,196225,0
0,0,775880,131,2,31,773208,1
0,0,421319,160,2,15,418704,0
0,0,167573,37,3,19,164778,1
0,0,11536,33,2,58,9554,1
1,0,597333,1,1,18,595705,1
