Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,2650,25,35,386,1
0,0,6868,185,121,4559,1
0,0,50074,190,3,47909,1
0,0,487691,30,18,485538,0
1,0,17178,108,103,14941,1
0,0,669010,134,16,666635,0
0,0,2335,171,12,101,1
0,0,798,168,79,1,1
1,0,1167843,146,42,1165567,0
0,0,140815,228,11,140096,1
1,0,18493,46,34,16673,1
0,0,5471,139,112,3207,1
0,0,5333,21,67,3093,1
0,0,59387,95,42,57738,1
0,0,477141,199,7,476586,0
0,0,5583,99,100,3223,0
1,0,40877,204,29,40377,1
1,0,636865,80,20,634829,0
0,0,180595,120,60,178343,0
0,0,827,13,63,3,0
1,0,122003,229,11,119982,1
0,0,16433,194,81,14709,1
1,0,35613,196,122,33460,1
1,0,16106,74,97,14127,0
0,0,194620,126,55,192110,0
0,0,85349,66,4,84366,1
0,0,303473,216,12,301437,1
0,0,703891,73,23,701787,0
0,0,7225,106,102,4853,0
0,0,3201,60,75,2560,1
0,0,17152,138,111,14774,1
0,0,43304,158,57,40902,1
0,0,52112,104,45,49749,1
0,0,316113,226,11,313945,1
0,0,3704,22,68,1446,1
1,0,12933,114,40,10912,1
1,0,60946,148,54,58898,1
1,0,1287,19,70,1,0
0,0,3133,52,90,824,1
0,0,23314,236,2,21104,0
0,0,18709,34,27,16532,1
1,0,411395,36,13,410220,0
0,0,66424,233,36,64094,1
1,0,469090,33,1,466913,0
0,0,4184,235,36,1923,1
0,0,754574,175,26,752403,0
0,0,315631,215,12,313523,1
1,0,480279,207,46,478171,0
1,0,609383,79,20,607077,0
0,0,377705,98,59,375522,0
0,0,400277,26,10,398004,0
0,0,703107,150,22,702547,0
1,0,369509,62,13,367296,1
0,0,5540,43,85,3963,1
0,0,526037,38,3,525222,0
0,0,115059,161,22,112891,1
1,0,28472,221,47,26358,1
1,0,3258,211,124,754,1
1,0,961848,156,37,959689,0
1,0,16197,179,120,13717,1
0,0,1669,47,87,2,1
1,0,399311,93,14,397290,0
0,0,646569,183,12,644707,0
1,0,27218,68,51,24993,1
0,0,2152465,191,53,2150273,0
1,0,5726,0,126,3723,0
1,0,1909430,131,53,1907460,1
0,0,1835184,67,48,1832923,0
0,0,27070,142,16,24536,1
0,0,311650,214,12,309482,1
0,0,6765,193,81,4204,1
0,2,1518,59,94,1,1
1,0,477984,153,5,475453,0
1,0,19107,105,45,16912,1
1,0,2336,151,115,3,1
1,0,468765,85,54,466540,0
0,0,4334,97,99,1968,1
0,0,71096,140,41,68619,1
0,0,909502,75,35,907241,0
1,0,1116077,155,41,1113876,0
1,0,62927,152,24,60651,1
0,0,57522,127,22,55348,1
0,0,1333,15,65,3,0
1,0,811009,212,33,808763,0
0,0,1475,2,127,3,0
0,0,471716,220,5,470270,0
0,0,2123600,88,53,2121408,0
1,0,669243,188,18,667156,0
1,0,252998,133,28,250869,0
0,0,6479,137,110,5838,1
0,0,68193,149,25,66007,1
