Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,7,71222,124,1,25,69540,1
1,12,18217,114,1,112,15659,0
1,63,57820,32,1,24,56951,0
1,77,73875,207,1,17,71692,1
1,126,5666,165,1,125,3972,0
1,76,33980,160,1,53,31590,1
1,29,578251,159,1,16,576644,0
1,121,475584,91,1,42,473026,0
1,106,583,155,1,122,2,0
1,98,2783,37,1,78,909,1
1,74,56560,220,1,52,55610,1
1,16,453362,127,1,11,452610,0
1,28,11981,99,1,109,9216,0
1,100,915785,187,1,36,913926,0
1,131,772241,46,1,26,769332,0
1,48,228,17,1,72,1,0
0,34,2248,19,0,75,1520,1
1,30,74451,228,1,15,72187,1
1,127,3080,51,1,91,735,1
1,97,45115,199,1,132,42281,0
1,56,2190,93,1,106,1,1
1,10,147,9,1,66,1,0
1,126,521339,130,1,6,518895,0
1,134,612431,128,1,17,611934,0
1,1,750468,63,1,29,747616,0
1,80,24991,110,1,111,22313,0
0,75,1238,209,0,85,288,1
1,13,4197,144,1,120,3526,1
1,36,6226,10,1,67,4295,0
1,4,1020701,158,1,53,1018377,0
1,134,63967,206,1,17,63425,1
1,15,8168,47,1,79,5343,0
1,125,1852084,64,1,48,1850486,0
1,50,382722,96,1,61,380155,0
1,25,9729,84,1,80,7402,1
1,2,17064,73,1,99,15238,0
1,58,521580,38,1,2,519241,0
1,104,814312,217,1,34,811961,0
1,66,34273,6,1,20,33176,1
1,106,58454,108,1,45,55821,1
1,29,504842,69,1,1,502038,0
1,106,26773,106,1,45,26201,1
1,17,856711,126,1,33,855554,0
1,141,112160,80,1,18,109194,0
1,131,752571,45,1,26,750136,0
1,117,6087,14,1,70,4936,1
1,84,630925,167,1,13,630173,0
0,120,795045,186,0,28,794215,0
0,71,587282,66,0,19,586959,0
1,5,617,52,1,92,1,0
1,126,478396,131,1,6,477242,0
1,120,822273,208,1,27,821002,0
1,76,2334536,193,1,53,2334039,0
1,122,4194,214,1,135,3232,0
1,21,957,164,1,46,103,1
1,88,13228,190,1,130,10472,1
1,47,1874,54,1,94,3,1
1,95,640440,111,1,20,637990,0
1,112,963,71,1,19,103,1
1,139,216862,121,1,55,214952,0
1,50,360854,44,1,61,358083,1
1,31,9773,226,1,137,7086,0
0,86,346850,200,0,60,346512,1
1,1,56420,153,1,54,55923,1
1,18,23155,181,1,22,22973,1
1,134,663276,129,1,17,662509,0
1,140,563,42,1,89,3,1
1,134,8610,74,1,100,7165,0
1,78,250640,169,1,9,247890,0
1,76,944659,157,1,53,941918,1
1,111,23344,161,1,123,21104,0
1,107,40883,49,1,62,38052,1
1,124,7904,92,1,105,5580,1
1,53,1132750,112,1,51,1130948,0
0,56,45867,20,0,44,45670,1
0,82,2029693,136,0,51,2028950,0
1,6,821170,94,1,30,818471,0
1,118,805101,138,1,27,802591,0
1,70,16756,27,1,77,15296,0
1,121,66037,89,1,42,63011,1
1,75,7310,233,1,138,4494,0
0,68,586872,175,0,8,586129,0
1,50,10829,76,1,61,8487,1
1,7,182518,41,1,25,180932,1
1,79,207218,116,1,35,204852,1
1,76,26957,133,1,117,26184,0
0,30,870832,50,0,32,869711,0
