Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Chromosome_Location,Encoded_Protein,Genomic_Start_Position
0,1578872,118,27,4,1578312
0,602022,158,4,4,601444
1,9539,194,46,4,8904
1,497850,293,9,4,497083
0,465000,351,16,4,464038
0,283286,423,4,4,282588
0,1863,41,52,4,1279
0,1337715,207,25,3,1337152
1,10499,37,50,2,10110
0,6256,128,62,2,5888
0,77237,58,57,4,76545
0,1685667,115,27,0,1685527
1,584282,131,9,4,583626
0,1212108,309,27,4,1211533
1,8071,391,91,4,7124
1,636879,156,4,4,636250
1,1357417,308,27,4,1356881
1,1413348,206,25,4,1412725
0,897652,238,21,4,897068
1,102031,0,2,4,101630
0,460277,280,27,4,459570
1,550961,288,9,4,550314
1,2082607,34,27,4,2081918
1,673589,182,26,4,672981
0,262590,284,15,4,261997
0,1069989,191,27,4,1069351
1,54130,398,93,4,53294
1,238595,169,13,4,237978
1,2039757,326,26,4,2039173
0,55031,263,75,4,54300
1,42738,390,91,4,42403
1,698962,95,27,4,698387
1,1037760,367,21,4,1037092
0,522585,431,5,4,522157
1,1653046,111,27,4,1652444
0,610905,153,4,4,610333
0,9693,358,82,4,9067
0,331967,150,15,4,331098
1,57983,60,58,4,57381
0,488252,248,15,4,487683
0,152203,400,93,4,151562
1,7816,166,66,4,6941
0,473006,250,15,4,472107
1,8984,253,71,4,8412
0,296422,241,15,4,295724
0,786,371,83,4,88
0,541203,101,6,4,540331
1,1896,252,71,4,1198
0,433446,202,22,4,432955
0,297265,220,3,4,296609
0,421453,415,27,4,420860
1,10738,161,65,4,10142
0,422988,180,14,4,422386
0,739582,268,26,4,738989
0,741926,198,15,4,741234
1,2021354,35,27,4,2020752
0,22510,52,41,3,21845
0,12963,339,77,4,12349
1,1279824,186,27,4,1279111
0,2141017,325,26,4,2140400
1,213605,69,13,4,212727
1,649380,233,9,4,648745
1,1773473,332,27,3,1772775
1,542828,289,9,4,542232
1,3185,159,64,4,2544
1,1094415,316,27,4,1093786
0,548259,140,19,2,547909
0,4704,225,69,4,4066
0,67780,413,13,4,67067
0,288418,219,3,4,287768
1,498188,427,8,4,497556
1,633393,80,10,4,632488
0,606832,84,26,4,606242
1,11303,48,55,4,10641
1,667099,3,9,4,666332
