Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Chromosome_Location,Encoded_Protein,Genomic_Start_Position
1,35770,43,83,3,25298
0,5956,20,73,1,733
0,586972,47,8,1,576509
1,88568,200,120,1,78117
0,13525,109,97,3,3143
0,623676,91,12,1,613279
1,11537,177,112,1,1098
0,505288,11,4,1,494840
1,39653,24,37,1,33702
1,158064,215,13,1,147781
1,54831,126,51,1,44338
1,1392969,106,49,1,1382515
0,2345195,168,51,1,2334792
0,5893,36,81,1,1
0,1174010,190,43,2,1168695
1,563694,144,26,1,556752
1,89016,119,42,1,78604
1,487135,86,38,1,478468
0,3341,191,115,2,3
0,5467,74,91,2,2
1,6015,149,28,2,103
1,6046,80,93,2,2
1,24830,103,27,1,14646
0,548110,155,18,1,541838
0,8611,118,68,1,3
1,940675,90,49,1,930293
0,566844,204,17,3,556376
1,94486,148,37,1,84056
1,19647,55,85,1,9304
1,1142692,89,48,2,1136952
1,17336,68,12,1,6891
1,6309,71,89,3,1
0,6144,63,86,1,3
0,818767,121,29,1,810066
0,252780,212,16,1,242332
0,6275,17,72,3,3
1,9243,23,65,3,3028
0,230403,211,10,1,222871
0,638425,174,18,1,628055
1,54812,5,32,1,50482
0,5690,79,92,3,3
1,6239,136,104,2,3
0,47046,58,67,3,36631
0,1352921,108,49,1,1342479
0,536745,48,18,1,531839
0,1415129,7,46,3,1406220
1,53597,31,57,1,43140
0,6877,30,77,1,2
1,82139,165,3,1,71676
1,571446,183,33,3,561022
1,97751,81,23,2,91272
1,40882,93,41,3,30431
0,64329,99,1,1,53935
0,19778,84,94,1,9420
1,409474,182,33,1,399029
0,501262,104,20,1,494255
0,1441553,107,49,1,1431102
0,796416,189,29,1,789632
0,18102,16,71,1,7759
0,635740,97,14,1,625292
1,29124,137,104,1,18715
0,510863,221,6,1,500484
0,347622,85,50,1,337195
0,8750,10,64,3,352
1,12299,147,106,3,2049
0,816094,67,33,1,805796
0,746001,146,31,1,735628
1,18044,37,30,1,13358
0,902706,96,38,1,892584
0,656937,158,22,1,646543
0,406298,26,31,1,400980
0,490459,112,7,1,480062
1,188433,129,10,1,178087
0,191125,46,24,1,180626
0,400877,72,31,2,396354
0,571102,15,39,1,563645
0,508446,161,10,1,497998
1,22907,1,50,2,17262
1,192236,130,28,3,185259
1,7036,196,119,1,1
0,1048694,138,41,1,1038261
1,14711,135,103,3,4479
1,5905,54,84,1,1
1,8139,180,113,3,1
1,15047,123,99,3,4680
0,610602,141,26,1,600223
1,46671,100,96,1,36289
0,138943,50,23,2,131411
0,682115,115,33,1,675892
0,656716,88,21,1,646334
0,56068,178,112,1,45617
0,2370774,166,50,1,2360422
1,107347,18,56,1,100946
1,364951,60,55,3,356759
1,79790,209,50,3,69342
1,34480,145,24,1,24017
0,545365,222,19,1,535076
1,7213,73,90,1,1
1,12287,133,101,3,1776
0,572820,185,11,1,566630
1,1301475,105,49,1,1291027
1,53674,205,58,1,43286
0,7785,140,105,2,1726
0,1049310,59,47,1,1038856
1,22220,224,39,1,11901
1,934030,203,48,3,926063
0,243214,170,33,1,232769
1,76316,29,31,2,71757
1,5029,28,76,2,2
0,780586,127,36,1,770171
1,12152,206,122,1,4158
1,102066,45,11,1,91621
1,19621,52,56,1,13649
1,72152,150,28,1,61794
1,600090,184,33,1,589645
0,9497,187,114,3,3
1,364064,57,33,1,353619
