Entity_Type,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,67,11060,143,1,32,8994,1
1,0,120,2096,147,1,114,747,1
0,0,126,1138,5,0,108,2,0
1,0,31,8253,103,1,42,6340,1
1,0,74,1189025,189,1,52,1186812,0
1,0,127,496899,102,1,1,495853,0
0,0,101,1474,14,0,31,101,1
0,0,133,1039862,74,0,38,1037046,0
0,0,50,20107,66,0,51,17801,1
0,0,46,14203,55,0,33,11819,1
0,0,3,391932,7,0,59,389746,1
0,0,79,3932,162,0,119,1401,0
0,0,69,915393,60,0,34,914149,0
0,0,92,682195,67,0,19,679628,0
1,0,40,457048,88,1,9,454787,0
0,0,34,580782,169,0,21,579763,0
1,0,13,4883,38,1,83,2628,1
1,0,45,519612,205,1,28,517492,1
0,0,75,2976,164,0,78,781,0
0,0,134,1159648,145,0,42,1157084,0
0,0,126,7454,50,0,90,5259,1
1,0,29,654471,73,1,53,652312,1
0,0,98,2907,32,0,73,667,0
0,0,91,27924,6,0,17,26149,1
0,0,113,1705791,87,0,54,1703299,1
0,0,55,3230,129,0,22,921,1
0,0,53,2152,8,0,61,38,0
0,0,41,526037,35,0,3,525222,0
0,0,30,482055,113,0,10,479794,0
0,0,133,394758,18,0,9,393970,0
1,0,43,805063,180,1,39,803291,0
0,0,77,3147,39,0,84,535,1
0,0,126,7548,52,0,92,5362,0
0,0,126,11573,110,0,104,9210,0
1,0,28,369509,59,1,13,367296,1
0,0,121,707127,45,0,23,704929,0
0,0,5,351915,201,0,58,350539,1
0,0,9,6111,21,0,69,4843,1
0,0,78,307939,226,0,11,306221,1
1,0,60,464804,166,1,22,462621,1
0,0,54,1036,12,0,64,2,1
1,0,114,763015,80,1,38,760970,0
0,0,60,1699,84,0,8,101,1
0,0,119,19404,200,0,123,17227,0
0,0,123,53099,223,0,39,50910,1
0,0,130,2191081,86,0,54,2188577,1
1,0,27,52834,184,1,0,50840,0
1,0,8,13918,123,1,106,11750,1
1,0,32,18062,135,1,109,16122,1
1,0,116,436942,177,1,24,434816,0
1,0,118,34512,89,1,98,32440,1
0,0,126,5683,54,0,93,3845,0
1,0,23,1835456,208,1,49,1833030,0
1,0,20,731499,28,1,23,729406,0
1,0,69,562476,173,1,10,560179,0
0,0,86,560608,181,0,16,558551,0
0,0,27,92121,141,0,41,90979,1
0,0,100,7735,186,0,80,5258,1
0,0,27,2352753,132,0,54,2351474,0
1,0,103,5117,217,1,82,2943,0
0,0,31,507624,192,0,3,505363,0
0,0,17,9642,214,0,125,7252,0
0,0,126,28514,111,0,105,26043,0
1,0,59,123424,232,1,8,121439,0
1,0,17,3774,16,1,66,1570,0
1,0,133,468090,36,1,2,465892,0
0,0,63,3637,163,0,34,1680,1
1,0,11,22349,97,1,10,20226,1
0,0,33,369971,58,0,56,367785,0
1,0,66,10067,24,1,46,8418,1
1,0,106,1108,161,1,77,1,0
0,0,126,3468,68,0,96,1171,0
0,0,133,1009265,75,0,38,1006986,0
1,0,96,609450,134,1,16,607396,0
0,0,133,28523,78,0,38,26538,1
0,0,41,2650,23,0,35,386,1
0,0,115,6868,185,0,121,4559,1
1,0,109,59968,190,1,3,57773,1
1,0,65,669243,188,1,18,667156,0
1,0,129,17178,108,1,103,14941,1
0,0,44,4593,1,0,17,2230,1
0,0,108,161779,93,0,12,159506,1
0,0,95,798,167,0,79,1,1
1,0,113,1167843,146,1,42,1165567,0
1,0,80,299939,227,1,11,297915,1
1,0,47,18493,43,1,34,16673,1
0,0,126,5471,139,0,112,3207,1
0,0,50,5333,19,0,67,3093,1
0,0,57,59387,92,0,42,57738,1
1,0,9,503101,136,1,7,500945,0
0,0,126,5583,99,0,100,3223,0
1,0,10,40877,204,1,29,40377,1
1,0,4,175988,212,1,21,173664,0
0,0,81,180595,120,0,60,178343,0
0,0,119,827,11,0,63,3,0
0,0,68,140815,228,0,11,140096,1
0,0,106,16433,194,0,81,14709,1
1,0,24,35613,196,1,122,33460,1
1,0,134,16106,71,1,97,14127,0
0,0,39,194620,126,0,55,192110,0
0,0,89,480713,34,0,4,478230,0
0,0,108,311650,215,0,12,309482,1
0,0,21,703891,70,0,23,701787,0
0,0,126,7225,106,0,102,4853,0
0,0,37,3201,57,0,75,2560,1
0,0,126,17152,138,0,111,14774,1
0,0,97,43304,158,0,57,40902,1
0,0,35,52112,104,0,45,49749,1
0,0,15,2335,170,0,12,101,1
0,0,135,3704,20,0,68,1446,1
1,0,36,12933,114,1,40,10912,1
1,0,106,60946,148,1,54,58898,1
1,0,6,1287,17,1,70,1,0
0,0,126,3133,49,0,90,824,1
0,0,84,23314,236,0,2,21104,0
0,0,133,18709,31,0,27,16532,1
1,0,0,399311,90,1,14,397290,0
0,0,125,66424,233,0,36,64094,1
1,0,127,469090,30,1,1,466913,0
0,0,125,4184,235,0,36,1923,1
0,0,0,754574,175,0,26,752403,0
0,0,45,646569,183,0,12,644707,0
1,0,66,480279,207,1,46,478171,0
1,0,49,636865,77,1,20,634829,0
0,0,122,377705,98,0,59,375522,0
1,0,69,459000,174,1,10,456733,0
0,0,105,703107,150,0,22,702547,0
1,0,83,411395,33,1,13,410220,0
0,0,104,5540,40,0,85,3963,1
0,0,42,85349,63,0,4,84366,1
0,0,117,115059,160,0,22,112891,1
1,0,13,28472,221,1,47,26358,1
1,0,20,3258,211,1,124,754,1
1,0,18,961848,156,1,37,959689,0
1,0,67,16197,179,1,120,13717,1
0,0,126,1669,44,0,87,2,1
1,0,51,113111,168,1,15,111105,1
0,0,61,81116,4,0,13,80040,1
1,0,66,27218,65,1,51,24993,1
0,0,16,2152465,191,0,53,2150273,0
1,0,36,5726,0,1,126,3723,0
1,0,29,1909430,131,1,53,1907460,1
0,0,110,1835184,64,0,48,1832923,0
1,0,96,67187,210,1,16,64983,1
0,0,108,315631,216,0,12,313523,1
0,0,112,6765,193,0,81,4204,1
0,1,126,1518,56,0,94,1,1
0,0,137,478833,231,0,6,476677,0
1,0,72,19107,105,1,45,16912,1
1,0,136,2336,151,1,115,3,1
1,0,19,468765,81,1,54,466540,0
0,0,126,4334,95,0,99,1968,1
0,0,44,71096,140,0,41,68619,1
0,0,128,909502,72,0,35,907241,0
1,0,38,1116077,155,1,41,1113876,0
1,0,107,62927,152,1,24,60651,1
0,0,26,57522,127,0,22,55348,1
0,0,119,1333,13,0,65,3,0
1,0,76,811009,213,1,33,808763,0
0,0,80,1475,2,0,127,3,0
1,0,25,477984,153,1,5,475453,0
0,0,70,2123600,85,0,53,2121408,0
0,0,50,4215,69,0,19,1969,1
1,0,124,252998,133,1,28,250869,0
0,0,126,6479,137,0,110,5838,1
0,0,85,68193,149,0,25,66007,1
