Entity_Type,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,149,36542,385,0,88,35961,1
0,0,65,541203,104,0,6,540331,0
0,0,25,375081,123,0,12,374536,1
0,0,48,1142859,409,0,27,1142287,1
0,0,75,1481322,94,0,28,1480762,1
0,0,91,1306828,210,0,26,1306226,1
0,0,34,1739,6,0,33,1236,1
0,0,31,405277,141,0,14,404699,0
0,0,91,1587490,213,0,26,1586741,0
0,0,29,2442,287,0,48,1612,1
0,1,97,327963,424,0,4,327337,1
0,0,17,1411596,22,0,28,1410949,0
0,0,99,260483,178,0,17,259935,0
0,0,101,917604,275,0,27,916954,0
0,0,57,358436,279,0,14,358038,1
0,0,126,11470,48,0,55,11081,1
0,0,98,371048,278,0,14,370350,1
0,0,58,1943209,9,0,28,1942577,0
0,0,126,7470,270,0,77,6853,1
0,0,47,76266,281,0,14,75574,1
0,0,16,21243,15,0,38,20602,1
0,0,6,605996,240,0,10,605367,1
0,0,98,332148,411,0,14,331510,0
1,0,1,862102,243,1,22,861431,0
0,0,48,1875155,220,0,27,1874526,0
0,0,15,617680,235,0,10,617066,1
0,0,76,59685,50,0,56,58891,0
0,0,122,1611491,330,0,27,1610868,0
0,0,22,31626,357,0,83,31012,0
0,0,31,67780,415,0,14,67067,0
0,0,133,430625,13,0,16,430509,0
0,0,99,288480,176,0,17,287506,0
0,0,168,1187163,346,0,22,1186465,0
0,0,58,1200244,312,0,28,1199621,0
0,0,151,18926,390,0,92,18276,0
0,0,96,2115566,26,0,28,2114982,1
0,0,96,1109679,316,0,28,1109041,1
0,0,42,1559,52,0,57,987,1
0,0,17,413954,418,0,28,413337,0
0,0,7,128464,416,0,14,128075,0
0,0,58,1139142,315,0,28,1138561,1
0,0,115,462219,364,0,22,461563,1
0,0,42,1348,169,0,67,512,1
0,0,123,1344856,200,0,21,1344239,0
0,0,98,190891,67,0,14,190256,1
0,0,42,3660,197,0,68,3085,1
0,0,165,1001979,96,0,28,1001410,0
1,0,120,1671935,120,1,28,1671336,0
0,0,143,3008,164,0,46,2760,1
0,0,155,17644,348,0,80,17072,0
0,0,10,393310,283,0,30,392783,0
0,0,75,1025055,193,0,28,1024453,0
0,0,150,1654543,31,0,27,1654004,1
0,0,139,11006,14,0,37,10434,1
0,0,58,1840810,111,0,28,1840178,0
0,0,58,1182146,313,0,28,1181541,1
0,0,25,377041,363,0,12,376496,1
0,0,109,389569,250,0,16,388676,0
0,0,96,1235855,189,0,28,1235211,1
0,0,146,1806636,337,0,28,1806064,0
0,0,42,7249,54,0,57,6641,0
0,0,96,452612,284,0,28,451995,0
0,0,31,410649,143,0,14,410251,0
0,0,162,1121,2,0,32,531,0
0,0,116,725245,152,0,22,724664,1
0,0,148,7534,343,0,79,7151,0
0,0,101,14571,377,0,50,14272,0
0,0,23,237931,288,0,16,237338,0
0,0,96,622513,27,0,28,621803,0
0,0,31,253619,172,0,14,252897,0
0,0,21,253089,179,0,17,252442,0
0,0,9,305429,372,0,24,304515,0
1,0,56,690105,149,1,22,689434,0
0,0,57,22995,305,0,14,22609,1
0,0,31,47042,81,0,14,46335,1
0,0,42,6670,229,0,69,6140,1
0,0,163,467996,365,0,22,467418,0
0,0,76,1079,128,0,62,750,0
0,1,146,1784731,333,0,28,1784156,1
0,0,165,1392058,308,0,28,1391459,0
0,0,31,170789,69,0,14,170208,1
1,0,66,44727,395,1,93,44119,1
1,0,117,978860,277,1,27,978390,0
0,0,42,7294,263,0,75,6638,0
0,0,76,9111,132,0,63,8734,0
0,0,60,633393,83,0,11,632488,1
0,0,36,2852,17,0,40,2211,0
0,0,75,1610144,116,0,28,1609563,0
0,0,54,219644,72,0,14,218985,1
0,0,32,873,5,0,35,262,1
0,0,97,462632,140,0,4,462006,0
0,0,87,1707,378,0,85,1054,0
0,0,78,555039,79,0,7,554104,0
0,0,61,897457,274,0,27,896894,0
0,0,6,522983,294,0,10,522417,1
0,0,168,930600,244,0,22,929947,1
0,0,26,459742,251,0,16,459083,0
0,0,4,8892,376,0,50,8245,0
0,0,85,407298,184,0,15,406639,0
0,0,111,95645,65,0,2,95094,1
0,0,97,296809,421,0,4,296102,1
0,0,143,438791,33,0,3,438168,1
0,0,133,296422,246,0,16,295724,0
0,0,98,311595,412,0,14,311224,1
0,0,130,22912,59,0,58,22523,0
0,0,67,20624,75,0,43,19953,1
0,0,81,276224,137,0,22,275592,0
0,0,15,603114,239,0,10,602248,1
0,0,135,610905,157,0,4,610333,0
1,0,11,893116,241,1,22,892445,1
0,0,127,9993,34,0,41,9376,1
0,0,17,1448091,90,0,28,1447573,1
0,0,94,12594,199,0,47,11959,1
0,0,26,367683,155,0,16,367096,0
0,0,126,28027,45,0,53,27344,0
0,0,97,406686,139,0,4,406078,0
0,0,126,32545,264,0,76,31979,0
1,0,107,11424,41,1,52,10828,0
0,0,113,474095,354,0,17,473496,0
1,0,41,891600,273,1,27,891058,1
0,0,96,1570983,122,0,28,1570405,1
0,0,124,487260,203,0,23,486679,1
1,0,164,28680,130,1,63,27985,0
0,0,3,478938,103,0,0,478315,0
0,0,138,1109266,398,0,23,1108595,0
0,0,40,21792,345,0,79,21193,0
0,0,6,649380,238,0,10,648745,1
0,0,117,538452,147,0,22,537880,1
0,0,130,21840,232,0,71,21079,0
0,0,62,567898,125,0,19,567485,0
0,0,37,53116,397,0,93,52718,0
0,0,46,302673,247,0,16,302005,0
0,0,95,633183,236,0,10,632827,1
0,0,70,1591262,331,0,27,1590720,0
0,0,80,559332,145,0,20,558976,0
0,0,83,627298,101,0,6,626603,1
0,0,97,555039,429,0,4,554545,1
0,0,135,269583,420,0,4,268954,0
1,0,129,1591401,214,1,26,1590901,0
0,0,58,1060193,191,0,28,1059636,1
0,0,21,272757,181,0,17,271798,0
0,0,53,21892,339,0,78,21179,0
0,0,157,400683,57,0,3,400036,1
0,0,126,11825,46,0,53,11139,0
0,0,168,610947,367,0,22,610288,1
0,0,39,1183104,325,0,26,1182499,0
0,0,17,1871216,110,0,28,1870641,0
0,0,101,1100102,407,0,27,1099440,1
0,0,23,217404,23,0,16,216745,0
0,0,96,2130876,106,0,28,2130250,1
0,0,76,5418,233,0,71,4696,1
0,0,98,266951,175,0,14,266226,0
0,0,65,643220,201,0,6,642618,0
0,0,31,238595,173,0,14,237978,1
0,0,47,174019,66,0,14,173294,1
0,0,147,33533,391,0,92,32910,1
0,0,120,66227,302,0,1,65685,0
0,0,96,1038285,192,0,28,1037734,1
0,0,96,1299223,187,0,28,1298663,0
0,0,159,549268,76,0,7,548651,0
0,0,34,1790185,221,0,27,1789544,1
0,0,161,110877,156,0,2,110344,1
1,0,121,44362,301,1,15,43754,1
0,0,128,375323,426,0,4,374682,1
0,1,28,1894275,112,0,28,1893637,1
0,0,104,48963,358,0,83,48349,0
0,0,126,63431,64,0,59,62859,0
0,0,18,563485,95,0,20,563114,0
1,0,140,1947,16,1,39,1330,1
0,1,122,849658,24,0,27,849029,1
0,0,42,17246,268,0,76,16593,0
0,0,42,11667,261,0,74,10975,1
0,0,160,1192370,314,0,28,1191744,1
0,0,59,789660,151,0,22,789061,1
0,0,51,484940,355,0,17,484143,0
0,0,161,551183,228,0,19,550740,0
0,0,150,1665163,30,0,27,1664528,0
0,0,50,15815,361,0,83,15231,0
0,0,5,423275,205,0,23,422700,0
0,0,101,50225,396,0,93,49587,0
0,0,141,23909,362,0,83,23259,0
0,0,122,1935320,217,0,27,1934724,0
0,0,58,1439745,91,0,28,1439215,1
0,0,19,1646736,215,0,26,1646206,0
0,0,134,5356,350,0,82,4736,1
0,0,99,281837,180,0,17,281250,0
0,0,63,422988,183,0,15,422386,0
0,0,144,431207,427,0,4,430704,0
0,0,80,565167,382,0,20,564760,0
0,0,1,4939,7,0,33,4241,1
0,0,23,497547,253,0,16,496699,0
0,0,70,2159962,326,0,27,2159390,0
0,0,21,1722444,338,0,25,1721857,1
1,0,43,210445,136,1,11,209840,1
0,0,128,636879,160,0,4,636250,1
0,0,58,2103139,222,0,28,2102468,1
0,0,8,211634,419,0,0,211245,0
0,0,126,34921,269,0,77,34262,1
0,0,17,1578872,121,0,28,1578312,0
0,0,135,596495,161,0,4,595866,0
0,0,94,9539,198,0,47,8904,1
0,0,6,491431,297,0,10,490859,1
0,0,2,465000,353,0,17,464038,0
0,0,135,283286,425,0,4,282588,0
0,0,130,1863,44,0,53,1279,0
1,0,30,1337715,212,1,26,1337152,0
0,0,93,10499,39,0,51,10110,1
0,0,130,6256,131,0,63,5888,0
0,0,130,77237,61,0,58,76545,0
0,0,160,1685667,118,0,28,1685527,0
0,0,132,566496,298,0,10,565864,1
0,0,17,1212108,311,0,28,1211533,0
0,0,86,8071,393,0,92,7124,1
0,0,97,631273,159,0,4,630704,1
0,0,146,1357417,310,0,28,1356881,1
0,0,13,1413348,211,0,26,1412725,1
0,0,163,897652,242,0,22,897068,0
0,0,103,102031,0,0,2,101630,1
0,0,58,460277,285,0,28,459570,0
0,0,6,542828,292,0,10,542232,1
0,0,58,2082607,36,0,28,2081918,1
0,0,12,673589,186,0,27,672981,1
0,0,131,253563,289,0,16,252895,0
0,0,58,1069989,195,0,28,1069351,0
0,0,52,54130,400,0,94,53294,1
1,0,33,225709,70,1,14,225092,1
0,0,169,2039757,328,0,27,2039173,1
0,0,130,55031,267,0,76,54300,0
0,0,86,42738,392,0,92,42403,1
0,0,96,698962,98,0,28,698387,1
0,0,168,1037760,369,0,22,1037092,1
0,0,44,510533,431,0,5,509916,0
0,0,58,1653046,114,0,28,1652444,1
0,0,144,602022,162,0,4,601444,0
0,0,141,9693,360,0,83,9067,0
0,0,133,325661,371,0,16,325122,0
0,0,130,57983,63,0,59,57381,1
0,0,131,488252,252,0,16,487683,0
0,0,91,152203,402,0,94,151562,0
0,0,126,7816,170,0,67,6941,1
0,0,133,473006,254,0,16,472107,0
0,0,76,8984,257,0,72,8412,1
0,0,133,285006,248,0,16,284026,0
0,0,35,786,373,0,84,88,0
0,0,112,521226,209,0,6,520573,0
0,0,76,1896,256,0,72,1198,1
0,0,5,433446,206,0,23,432955,0
0,0,157,297265,225,0,3,296609,0
0,0,160,421453,417,0,28,420860,0
0,0,130,10738,165,0,66,10142,1
0,0,63,410431,182,0,15,409799,0
0,0,70,739582,272,0,27,738989,0
0,0,46,741926,202,0,16,741234,0
0,0,17,2021354,37,0,28,2020752,1
1,0,157,22510,55,1,42,21845,0
0,0,53,12963,341,0,78,12349,0
0,0,17,1279824,190,0,28,1279111,1
0,0,48,2141017,327,0,27,2140400,0
0,0,57,203566,71,0,14,203195,1
0,0,132,641268,237,0,10,640657,1
1,0,120,1773473,334,1,28,1772775,1
0,0,6,537100,293,0,10,536468,1
0,0,126,3185,163,0,65,2544,1
0,0,58,1094415,318,0,28,1093786,1
0,0,72,548259,144,0,20,547909,0
0,0,126,4704,230,0,70,4066,0
0,0,31,55203,82,0,14,54550,0
0,0,110,288418,224,0,3,287768,0
0,0,1,165971,19,0,9,165327,0
0,0,170,627125,86,0,11,626559,1
0,0,48,606832,87,0,27,606242,0
0,0,76,11303,51,0,56,10641,1
0,0,6,661517,1,0,10,660867,1
