Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,55203,81,81,4,0,14,54550
1,6670,227,227,4,0,69,6140
0,467996,365,365,4,0,22,467418
0,1079,127,127,2,0,62,750
1,1784731,333,333,4,0,28,1784156
0,1392058,308,308,4,0,28,1391459
1,174019,65,65,4,0,14,173294
1,44727,395,395,3,1,93,44119
0,978860,275,275,1,1,27,978390
0,7294,261,261,4,0,75,6638
0,9111,131,131,2,0,63,8734
1,641578,83,83,4,0,11,640880
0,2852,16,16,4,0,40,2211
0,1610144,115,115,4,0,28,1609563
1,225709,69,69,3,1,14,225092
1,873,4,4,4,0,35,262
0,462632,138,138,4,0,4,462006
0,1707,378,378,4,0,85,1054
0,555039,78,78,4,0,7,554104
0,897457,272,272,4,0,27,896894
1,522983,292,292,4,0,10,522417
1,930600,242,242,4,0,22,929947
0,459742,249,249,4,0,16,459083
0,8892,376,376,4,0,50,8245
0,410431,181,181,4,0,15,409799
1,95645,64,64,4,0,2,95094
1,296809,421,421,4,0,4,296102
1,438791,32,32,4,0,3,438168
0,302673,244,244,4,0,16,302005
0,332148,411,411,4,0,14,331510
0,22912,58,58,2,0,58,22523
1,20624,74,74,4,0,43,19953
0,276224,135,135,4,0,22,275592
1,603114,237,237,4,0,10,602248
0,610905,155,155,4,0,4,610333
1,893116,239,239,3,1,22,892445
1,9993,33,33,4,0,41,9376
1,1448091,89,89,4,0,28,1447573
1,12594,197,197,4,0,47,11959
0,389569,247,247,4,0,16,388676
0,28027,44,44,4,0,53,27344
0,406686,137,137,4,0,4,406078
0,32545,262,262,4,0,76,31979
0,11424,40,40,3,1,52,10828
0,474095,354,354,4,0,17,473496
1,891600,271,271,1,1,27,891058
1,1570983,121,121,4,0,28,1570405
1,487260,201,201,4,0,23,486679
0,28680,129,129,3,1,63,27985
0,478938,102,102,4,0,0,478315
0,1109266,398,398,4,0,23,1108595
0,21792,345,345,4,0,79,21193
1,652493,236,236,4,0,10,651543
1,538452,145,145,4,0,22,537880
0,21840,230,230,4,0,71,21079
0,567898,124,124,2,0,19,567485
0,53116,397,397,5,0,93,52718
0,308712,370,370,4,0,16,308044
1,641268,234,234,4,0,10,640657
0,1591262,331,331,4,0,27,1590720
0,559332,143,143,2,0,20,558976
1,627298,100,100,4,0,6,626603
1,555039,429,429,4,0,4,554545
0,269583,420,420,4,0,4,268954
0,1591401,212,212,3,1,26,1590901
1,1060193,189,189,4,0,28,1059636
0,272757,180,180,4,0,17,271798
0,21892,339,339,4,0,78,21179
1,400683,56,56,4,0,3,400036
0,11825,45,45,4,0,53,11139
1,610947,367,367,4,0,22,610288
0,1183104,325,325,4,0,26,1182499
0,1871216,109,109,4,0,28,1870641
1,1100102,407,407,4,0,27,1099440
0,223254,289,289,4,0,16,222562
1,2130876,105,105,4,0,28,2130250
1,5418,231,231,4,0,71,4696
1,274287,172,172,4,0,14,273715
0,643220,199,199,4,0,6,642618
0,253619,170,170,4,0,14,252897
1,190891,66,66,4,0,14,190256
1,33533,391,391,4,0,92,32910
0,66227,301,301,4,0,1,65685
1,1038285,190,190,4,0,28,1037734
0,1299223,185,185,4,0,28,1298663
0,549268,75,75,4,0,7,548651
1,1790185,219,219,4,0,27,1789544
1,110877,154,154,5,0,2,110344
0,70385,298,298,4,0,15,69732
1,375323,426,426,4,0,4,374682
1,1894275,111,111,4,0,28,1893637
0,48963,358,358,4,0,83,48349
0,63431,63,63,4,0,59,62859
0,563485,94,94,2,0,20,563114
1,1947,15,15,3,1,39,1330
1,849658,23,23,4,0,27,849029
0,17246,266,266,4,0,76,16593
1,11667,259,259,4,0,74,10975
1,1192370,314,314,4,0,28,1191744
1,789660,149,149,4,0,22,789061
0,484940,355,355,4,0,17,484143
0,551183,226,226,2,0,19,550740
0,1665163,29,29,4,0,27,1664528
0,15815,361,361,4,0,83,15231
0,423275,203,203,4,0,23,422700
0,50225,396,396,4,0,93,49587
0,23909,362,362,4,0,83,23259
0,1935320,215,215,4,0,27,1934724
1,1439745,90,90,4,0,28,1439215
0,1646736,213,213,4,0,26,1646206
1,5356,350,350,4,0,82,4736
0,281837,179,179,4,0,17,281250
0,217404,22,22,4,0,16,216745
0,431207,427,427,4,0,4,430704
0,565167,382,382,2,0,20,564760
1,4939,6,6,4,0,33,4241
0,497547,251,251,4,0,16,496699
0,2159962,326,326,4,0,27,2159390
1,1722444,338,338,4,0,25,1721857
1,627125,85,85,4,0,11,626559
1,636879,158,158,4,0,4,636250
1,2103139,220,220,4,0,28,2102468
0,211634,419,419,5,0,0,211245
1,34921,267,267,4,0,77,34262
0,1578872,120,120,4,0,28,1578312
0,596495,159,159,4,0,4,595866
1,9539,196,196,4,0,47,8904
1,491431,295,295,4,0,10,490859
0,465000,353,353,4,0,17,464038
0,283286,425,425,4,0,4,282588
0,1863,43,43,4,0,53,1279
0,1337715,210,210,3,1,26,1337152
1,10499,38,38,2,0,51,10110
0,6256,130,130,2,0,63,5888
0,77237,60,60,4,0,58,76545
0,1685667,117,117,0,0,28,1685527
1,566496,296,296,4,0,10,565864
0,1212108,311,311,4,0,28,1211533
1,8071,393,393,4,0,92,7124
1,631273,157,157,4,0,4,630704
1,1357417,310,310,4,0,28,1356881
1,1413348,209,209,4,0,26,1412725
0,897652,240,240,4,0,22,897068
1,102031,0,0,4,0,2,101630
0,460277,282,282,4,0,28,459570
1,542828,290,290,4,0,10,542232
1,2082607,35,35,4,0,28,2081918
1,673589,184,184,4,0,27,672981
0,262590,286,286,4,0,16,261997
0,1069989,193,193,4,0,28,1069351
1,54130,400,400,4,0,94,53294
1,238595,171,171,4,0,14,237978
1,2039757,328,328,4,0,27,2039173
0,55031,265,265,4,0,76,54300
1,42738,392,392,4,0,92,42403
1,698962,97,97,4,0,28,698387
1,1037760,369,369,4,0,22,1037092
0,510533,431,431,4,0,5,509916
1,1653046,113,113,4,0,28,1652444
0,602022,160,160,4,0,4,601444
0,9693,360,360,4,0,83,9067
0,331967,152,152,4,0,16,331098
1,57983,62,62,4,0,59,57381
0,488252,250,250,4,0,16,487683
0,152203,402,402,4,0,94,151562
1,7816,168,168,4,0,67,6941
0,473006,252,252,4,0,16,472107
1,8984,255,255,4,0,72,8412
0,296422,243,243,4,0,16,295724
0,786,373,373,4,0,84,88
0,521226,207,207,4,0,6,520573
1,1896,254,254,4,0,72,1198
0,433446,204,204,4,0,23,432955
0,297265,223,223,4,0,3,296609
0,421453,417,417,4,0,28,420860
1,10738,163,163,4,0,66,10142
0,422988,182,182,4,0,15,422386
0,739582,270,270,4,0,27,738989
0,741926,200,200,4,0,16,741234
1,2021354,36,36,4,0,28,2020752
0,22510,54,54,3,1,42,21845
0,12963,341,341,4,0,78,12349
1,1279824,188,188,4,0,28,1279111
0,2141017,327,327,4,0,27,2140400
1,213605,71,71,4,0,14,212727
1,649380,235,235,4,0,10,648745
1,1773473,334,334,3,1,28,1772775
1,537100,291,291,4,0,10,536468
1,3185,161,161,4,0,65,2544
1,1094415,318,318,4,0,28,1093786
0,548259,142,142,2,0,20,547909
0,4704,228,228,4,0,70,4066
0,67780,415,415,4,0,14,67067
0,288418,222,222,4,0,3,287768
0,165971,18,18,4,0,9,165327
1,633393,82,82,4,0,11,632488
0,606832,86,86,4,0,27,606242
1,11303,50,50,4,0,56,10641
1,667099,3,3,4,0,10,666332
