Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,46075,232,232,13,44094,1
1,4117,224,224,47,1346,1
1,1991,179,179,130,321,1
1,7580,87,87,103,6150,1
1,317768,193,193,53,315381,0
0,581031,237,237,19,580762,0
1,783875,68,68,29,783721,0
1,929,17,17,73,492,0
1,6341,60,60,98,3546,0
1,28634,142,142,17,28311,1
1,392192,105,105,28,389835,0
0,2270,57,57,95,1968,1
0,17833,30,30,46,17345,1
1,609376,207,207,11,606950,0
1,2735,215,215,135,1362,1
1,1444050,22,22,46,1442287,0
1,6226,11,11,67,4295,0
1,481120,108,108,0,478592,0
1,215,5,5,116,3,0
1,2208,144,144,120,1,1
1,15743,206,206,31,15195,1
1,4959,100,100,108,2632,0
1,38673,90,90,104,38134,1
1,2184398,86,86,53,2181870,1
1,781276,168,168,30,779186,0
1,46181,184,184,14,45609,1
1,703894,114,114,22,701207,0
0,2029693,140,140,50,2028950,0
1,4564,44,44,91,2810,1
1,1582,12,12,69,692,1
1,3052,55,55,94,605,0
1,498493,235,235,5,497942,0
1,6017,220,220,137,3066,0
1,4965,125,125,115,2173,1
1,585603,190,190,12,583600,0
1,2706,88,88,81,1,1
1,89160,183,183,3,86623,1
1,88412,95,95,42,86619,1
1,101201,25,25,13,100433,1
1,6087,15,15,70,4936,1
1,1639600,198,198,52,1637255,0
1,1686,2,2,74,1,1
1,10351,178,178,130,7736,1
1,1338938,194,194,46,1337487,0
1,699100,72,72,23,696140,0
1,16367,31,31,46,13620,1
1,1153652,148,148,42,1152030,0
1,32383,202,202,132,29822,0
1,69602,83,83,4,68706,1
1,71222,127,127,25,69540,1
1,18217,118,118,113,15659,0
1,57820,33,33,24,56951,0
1,73875,210,210,17,71692,1
1,5666,170,170,126,3972,0
1,267665,225,225,52,267153,0
1,578251,164,164,16,576644,0
1,475584,96,96,42,473026,0
1,583,160,160,123,2,0
1,2783,38,38,79,909,1
1,67398,221,221,51,66466,1
1,453362,131,131,11,452610,0
1,11981,104,104,110,9216,0
1,915785,192,192,36,913926,0
1,772241,47,47,26,769332,0
1,228,18,18,73,1,0
0,2248,20,20,76,1520,1
1,74451,228,228,15,72187,1
1,3080,53,53,92,735,1
1,45115,203,203,133,42281,0
1,2190,98,98,107,1,1
1,922,9,9,66,412,0
1,521339,134,134,6,518895,0
1,612431,132,132,17,611934,0
1,750468,66,66,29,747616,0
1,24991,115,115,112,22313,0
0,1238,212,212,86,288,1
1,4197,149,149,121,3526,1
0,1066,0,0,68,947,1
1,1161359,93,93,52,1159086,0
1,63967,209,209,17,63425,1
1,8168,48,48,80,5343,0
1,1852084,67,67,48,1850486,0
1,40883,50,50,62,38052,1
1,9729,89,89,81,7402,1
1,17064,78,78,100,15238,0
1,521580,39,39,2,519241,0
1,814312,219,219,34,811961,0
1,34273,7,7,20,33176,1
1,58454,113,113,45,55821,1
1,504842,73,73,1,502038,0
1,26773,111,111,45,26201,1
1,856711,129,129,33,855554,0
1,112160,85,85,18,109194,0
1,752571,46,46,26,750136,0
0,1411,1,1,71,1097,0
1,630925,172,172,13,630173,0
0,795045,191,191,28,794215,0
0,587282,69,69,19,586959,0
1,617,54,54,93,1,0
1,478396,135,135,6,477242,0
1,822273,211,211,27,821002,0
1,28437,217,217,53,25624,1
1,4194,216,216,136,3232,0
1,957,169,169,46,103,1
1,13228,195,195,131,10472,1
1,1874,56,56,95,3,1
1,640440,116,116,20,637990,0
1,963,76,76,19,103,1
1,184333,75,75,55,183608,0
1,382722,101,101,61,380155,0
1,9773,226,226,138,7086,0
1,10829,81,81,61,8487,1
1,281858,154,154,53,279111,0
1,23155,186,186,22,22973,1
1,663276,133,133,17,662509,0
1,563,43,43,90,3,1
1,8610,79,79,101,7165,0
1,250640,174,174,9,247890,0
1,1020701,163,163,52,1018377,0
1,23344,166,166,124,21104,0
1,57748,51,51,62,55331,1
1,7904,97,97,106,5580,1
0,2011553,3,3,50,2010699,0
0,45867,21,21,44,45670,1
1,2033316,141,141,50,2030554,0
1,821170,99,99,30,818471,0
1,805101,143,143,27,802591,0
1,16756,28,28,78,15296,0
1,66037,94,94,42,63011,1
1,7310,233,233,139,4494,0
0,586872,180,180,8,586129,0
1,360854,45,45,61,358083,1
1,182518,42,42,25,180932,1
1,207218,120,120,35,204852,1
1,26957,137,137,118,26184,0
0,870832,52,52,32,869711,0
