Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,6239,135,135,0,104,3
0,47046,58,58,1,67,36631
0,1352921,106,106,0,49,1342479
0,536745,48,48,0,18,531839
0,1415129,8,8,1,46,1406220
1,53597,32,32,0,57,43140
0,6877,31,31,0,77,2
1,82139,162,162,0,3,71676
1,534898,113,113,0,33,529028
1,97751,80,80,0,23,91272
0,1028641,21,21,0,40,1018586
0,64329,97,97,0,1,53935
0,19778,83,83,0,94,9420
1,364064,57,57,0,33,353619
0,501262,102,102,0,20,494255
0,1441553,105,105,0,49,1431102
0,736142,224,224,1,29,726108
0,18102,17,17,0,71,7759
0,635740,95,95,0,14,625292
1,29124,136,136,0,104,18715
0,510863,220,220,0,6,500484
0,347622,84,84,0,50,337195
0,8750,11,11,1,64,352
1,12299,145,145,1,106,2049
0,775910,131,131,0,33,765552
0,424985,124,124,0,31,418893
1,11317,86,86,1,30,5433
1,487135,85,85,0,38,478468
0,656937,155,155,0,22,646543
0,400877,71,71,0,31,396354
0,490459,110,110,0,7,480062
1,188433,128,128,0,10,178087
1,34480,144,144,0,24,24017
1,76316,30,30,0,31,71757
1,22220,223,223,0,39,11901
0,508446,158,158,0,10,497998
1,22907,2,1,0,50,17262
1,72152,147,147,0,28,61794
1,7036,194,194,0,119,1
0,1048694,137,137,0,41,1038261
1,14711,134,134,1,103,4479
1,5905,54,54,0,84,1
1,8139,177,177,1,113,1
1,15047,121,121,1,99,4680
1,563694,143,143,0,26,556752
1,46671,98,98,0,96,36289
0,138943,50,50,0,23,131411
1,600090,180,180,0,33,589645
0,656716,87,87,0,21,646334
0,56068,175,175,0,112,45617
0,2370774,163,163,0,50,2360422
1,107347,19,19,0,56,100946
1,364951,60,60,1,55,356759
1,79790,207,207,1,50,69342
0,698669,82,82,0,23,688299
0,545365,221,221,0,19,535076
1,7213,72,72,0,90,1
1,12287,132,132,1,101,1776
0,572820,181,181,0,11,566630
1,1301475,103,103,0,49,1291027
1,53674,203,203,0,58,43286
0,7785,139,139,0,105,1726
0,1049310,59,59,0,47,1038856
0,902706,94,94,0,38,892584
1,934030,201,201,1,48,926063
1,34912,168,168,0,33,27714
0,685626,118,118,0,30,675331
1,5029,29,29,0,76,2
1,31572,75,75,0,36,21127
1,12152,204,204,0,122,4158
1,102066,45,45,0,11,91621
1,19621,52,52,0,56,13649
1,6015,146,146,0,28,103
1,571446,179,179,1,33,561022
0,9497,184,184,1,114,3
0,332104,166,166,0,33,321641
