Strand_Orientation,Gene_Description,Chromosome_Id,Genomic_Start_Position,Encoded_Protein,Gene_Db_Id,Gene_Classification,Genomic_End_Position
0,0,27,182502,2,24,0,185153
0,0,15,375975,2,162,0,378614
0,0,5,306937,2,109,0,309384
1,0,6,583331,2,80,0,585607
0,0,51,4697,2,20,0,7162
1,0,14,647633,3,39,0,650434
1,0,50,20606,2,218,0,23290
0,0,63,7462,2,60,0,9867
1,0,23,439932,1,201,1,442799
0,0,30,1711409,2,8,0,1713823
0,0,15,697620,2,15,0,700388
0,0,60,11996,3,47,0,14845
0,0,83,5759,2,214,0,8092
1,0,80,11352,1,197,1,13979
0,0,23,1050549,2,111,0,1053239
0,0,66,12438,2,84,0,15062
1,0,23,1098211,1,194,1,1100880
1,0,49,5269,3,171,0,8115
1,0,34,376740,2,169,0,379418
1,0,31,2044399,2,184,0,2047179
0,0,23,582301,3,204,0,585177
0,0,7,472298,2,141,0,475012
0,0,32,1322082,2,87,0,1324430
0,0,31,1154469,2,236,0,1156973
1,0,79,6749,1,196,1,9580
1,0,20,48174,2,151,0,50888
1,0,31,1093946,2,235,0,1096585
0,0,21,756089,2,45,0,758419
0,0,76,9967,2,150,0,12594
1,0,85,6579,2,217,0,9089
0,0,72,42286,1,124,1,45075
1,0,30,1609262,1,99,1,1611964
0,0,31,1825916,2,106,0,1828534
1,0,24,480707,2,95,0,483376
0,0,31,1862957,2,104,0,1865809
0,0,1,138117,2,253,0,139709
0,0,21,288478,1,117,1,290907
0,0,29,1728183,3,190,0,1731005
1,0,31,2057611,2,183,0,2060220
0,0,22,798375,2,164,0,800723
1,0,43,9363,2,11,0,12158
0,0,64,19363,2,82,0,21771
0,0,23,485541,3,203,0,488327
0,0,15,451748,2,157,0,454333
0,0,6,259847,2,243,0,262330
0,0,15,566233,2,259,0,568854
1,0,74,13513,2,144,0,16377
1,0,19,177754,2,35,0,180486
0,0,31,1630521,1,186,1,1633076
0,0,31,600077,2,42,0,602587
0,0,23,733583,3,77,0,736453
1,0,32,1126764,2,168,0,1129346
0,0,46,18310,2,57,0,20976
0,0,75,2932,2,149,0,5331
1,0,13,627020,3,112,0,629809
0,0,32,1822929,2,187,0,1825289
0,0,15,588504,1,258,1,590672
1,0,68,4166,2,120,0,6553
0,0,24,1166769,3,223,0,1169591
1,0,3,10931,2,155,0,13678
0,0,6,465485,3,67,0,468388
0,0,5,473501,1,148,1,476059
0,0,30,1248512,2,180,0,1251196
1,0,23,1013150,2,208,0,1015945
1,0,32,1144757,2,167,0,1147282
0,0,23,694046,2,72,0,696919
0,0,31,1579936,1,185,1,1582479
1,0,9,218443,2,140,0,221070
0,0,16,460986,2,78,0,463778
0,0,39,8450,2,5,0,11062
1,0,30,1568267,5,98,0,1570228
0,0,23,278046,2,63,0,280853
0,0,8,543824,2,46,0,546370
0,0,16,396772,2,238,0,399549
0,0,46,54284,3,56,0,57145
0,0,23,847319,2,205,0,849988
0,0,5,405750,1,17,1,408107
1,0,87,57859,2,227,0,60414
1,0,23,1005114,2,206,0,1007699
1,0,42,5274,2,10,0,7898
0,0,0,242583,2,48,0,245264
0,0,71,2051,2,123,0,4732
0,0,62,18858,2,58,0,21506
1,0,73,20358,3,126,0,23129
0,0,18,425663,2,68,0,428401
0,0,31,1011738,1,134,1,1014233
0,0,62,31414,2,59,0,34218
1,0,31,2099463,2,101,0,2102129
0,0,19,12226,3,156,0,15093
0,0,30,1314768,2,97,0,1317329
1,0,18,350182,2,249,0,352788
1,0,6,563344,2,139,0,565683
1,0,40,7772,3,7,0,10603
1,0,13,211077,5,0,0,212927
0,0,24,274223,1,210,1,276688
0,0,8,649424,2,94,0,652210
1,0,33,8359,2,89,0,10893
1,0,57,2067,2,31,0,4709
0,0,2,116878,2,255,0,119436
1,0,88,11776,2,230,0,14331
1,0,31,1648582,2,12,0,1650945
0,0,70,4541,2,122,0,7054
1,0,5,453903,2,16,0,456596
1,0,82,942,2,211,0,3590
0,0,32,1814429,2,189,0,1816759
1,0,32,2008033,2,108,0,2010450
1,0,1,526820,2,175,0,529696
0,0,23,269451,2,64,0,272153
1,0,6,421607,2,65,0,423886
1,0,35,406415,1,138,1,408724
0,0,25,1033382,2,116,0,1036042
0,0,41,22858,3,9,0,25731
0,0,61,32438,2,51,0,35248
1,0,37,3,5,3,0,2099
0,0,23,900637,1,114,1,903444
1,0,13,457457,2,147,0,460231
1,0,31,2169063,2,182,0,2171498
0,0,23,814468,2,76,0,817323
1,0,77,32611,2,191,0,35322
0,0,23,504105,3,19,0,506933
1,0,86,38613,3,219,0,41459
0,0,1,581721,0,174,0,584285
0,0,15,402317,2,160,0,404953
0,0,67,13142,3,110,0,16042
1,0,13,571897,1,146,1,574686
1,0,8,594229,2,93,0,596823
0,0,3,69066,1,153,1,71558
0,0,24,1112378,2,220,0,1115182
0,0,7,553878,2,252,0,556640
0,0,74,20457,2,145,0,22835
0,0,54,62846,2,25,0,65602
0,0,32,318503,2,170,0,321121
1,0,65,313,2,83,0,3099
1,0,32,2198634,2,54,0,2201057
0,0,31,1879670,1,103,1,1882048
0,0,31,2062416,1,100,1,2065088
1,0,74,5538,2,143,0,8030
1,0,44,51787,3,28,0,54570
1,0,87,9926,2,229,0,12466
0,0,31,1743231,2,13,0,1745786
0,0,24,1187140,2,225,0,1189938
1,0,8,578836,5,92,0,580806
1,0,32,563163,2,81,0,565358
1,0,31,932427,2,131,0,935144
1,0,48,4482,3,90,0,7331
1,0,19,153649,3,34,0,156435
1,0,9,246272,2,71,0,249052
1,0,0,341906,2,14,0,344245
1,0,9,191840,3,248,0,194602
0,0,15,533287,2,256,0,536061
0,0,31,1848668,2,105,0,1851640
1,0,6,448496,2,66,0,450835
0,0,52,12235,2,21,0,14547
0,0,16,415123,2,136,0,417885
1,0,9,234584,2,70,0,237391
0,0,53,4884,2,23,0,7271
0,0,36,1541,2,2,0,3982
1,0,3,18763,2,154,0,21057
0,0,16,385492,2,239,0,388287
0,0,59,9187,2,40,0,11601
1,0,28,172800,2,91,0,175571
0,0,87,107374,3,228,0,110238
0,0,23,780839,2,75,0,783613
1,0,84,6039,2,215,0,8573
1,0,38,4757,2,4,0,7513
1,0,10,188965,2,113,0,191757
1,0,9,202903,2,246,0,205713
1,0,30,1482129,3,181,0,1484951
1,0,31,877992,2,133,0,880730
1,0,89,10087,2,240,0,12861
0,0,31,761305,2,129,0,763632
1,0,30,1149578,1,179,1,1152001
0,0,12,169443,4,231,0,171302
1,0,9,185057,2,247,0,187696
1,0,32,2178147,2,53,0,2180588
1,0,45,14579,2,38,0,17047
0,0,5,219359,2,177,0,222070
0,0,24,1179322,2,224,0,1181628
1,0,61,113,1,49,1,2776
1,0,31,948302,2,132,0,950785
0,0,72,5819,2,125,0,8596
0,0,47,22032,2,61,0,24923
0,0,81,39222,1,199,1,42017
0,0,23,1197396,2,193,0,1200167
1,0,23,662586,3,73,0,665447
0,0,24,314314,1,119,1,316755
1,0,18,394090,1,250,1,396615
0,0,16,378301,2,237,0,381075
0,0,31,2111357,1,52,1,2113696
0,0,23,253126,1,18,1,255561
1,0,90,19278,2,241,0,22052
0,0,5,196225,2,127,0,198843
1,0,31,773208,2,130,0,775880
0,0,15,418704,2,159,0,421319
1,0,19,164778,3,37,0,167573
1,0,58,9554,2,33,0,11536
1,0,18,595705,1,1,1,597333
