Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
0,780586,126,126,36,770171
1,158064,214,214,13,147781
1,12312,195,195,52,7990
0,1352921,105,105,50,1342479
1,353296,96,96,52,348857
0,13465,34,34,81,4539
0,1147531,122,122,43,1137248
0,595061,50,50,25,584655
0,1048694,137,137,41,1038261
1,214744,9,9,38,206012
0,3341,189,189,114,3
1,7213,73,73,90,1
1,225073,35,35,27,217409
0,5392,79,79,92,2
0,610602,140,140,26,600223
0,548110,151,151,18,541838
0,47046,60,60,68,36631
0,2017022,5,5,49,2011656
0,566844,202,202,17,556376
1,39653,24,24,37,33702
1,5905,55,55,84,1
0,1020605,200,200,49,1014285
1,17336,69,69,12,6891
0,18048,70,70,88,7666
1,19647,57,57,85,9304
0,796416,187,187,29,789632
0,252780,210,210,16,242332
0,18102,16,16,72,7759
0,8750,10,10,65,352
0,230403,209,209,10,222871
0,638425,172,172,18,628055
1,34341,15,15,32,26002
0,5467,74,74,91,2
1,6239,135,135,103,3
1,5231,26,26,67,1
1,1301475,103,103,50,1291027
0,536745,47,47,18,531839
0,1351353,152,152,46,1340908
1,107347,18,18,57,100946
1,5029,28,28,77,2
1,82139,162,162,3,71676
1,534898,112,112,33,529028
1,97751,81,81,23,91272
0,1028641,20,20,40,1018586
0,64329,97,97,1,53935
1,6046,80,80,93,2
1,364064,59,59,33,353619
0,501262,102,102,20,494255
1,1392969,104,104,50,1382515
0,736142,224,224,29,726108
0,13390,158,158,71,2987
0,635740,95,95,14,625292
1,29124,136,136,103,18715
0,510863,220,220,6,500484
0,288082,208,208,51,277652
1,12200,8,8,64,1905
1,12299,144,144,105,2049
0,775910,131,131,33,765552
0,424985,124,124,31,418893
1,11317,86,86,30,5433
1,487135,85,85,38,478468
0,656937,154,154,22,646543
0,400877,72,72,31,396354
0,490459,109,109,7,480062
1,188433,128,128,10,178087
1,34480,143,143,24,24017
1,76316,29,29,31,71757
1,22220,223,223,39,11901
0,508446,157,157,10,497998
1,1684949,56,56,50,1674489
1,72152,146,146,28,61794
1,7036,194,194,118,1
1,40882,91,91,41,30431
1,14711,134,134,102,4479
0,6131,48,48,83,890
1,8139,178,178,112,1
1,15047,120,120,98,4680
1,563694,142,142,26,556752
1,46671,98,98,95,36289
0,138943,51,51,23,131411
1,600090,181,181,33,589645
0,656716,87,87,21,646334
0,56068,176,176,111,45617
0,2345983,164,164,51,2335691
1,19621,53,53,57,13649
1,25728,92,92,56,21774
1,60872,206,206,51,50520
0,698669,83,83,23,688299
0,545365,221,221,19,535076
1,6309,71,71,89,1
1,12287,132,132,100,1776
0,572820,182,182,11,566630
0,1211309,161,161,50,1200861
1,53597,30,30,58,43140
0,7785,139,139,104,1726
0,1848415,41,41,47,1838054
0,902706,94,94,38,892584
1,52443,43,43,49,42064
1,34912,168,168,33,27714
0,685626,117,117,30,675331
1,11957,27,27,76,1581
1,31572,76,76,36,21127
1,12152,204,204,121,4158
1,102066,44,44,11,91621
1,364951,62,62,56,356759
1,6015,145,145,28,103
1,571446,180,180,33,561022
0,9497,185,185,113,3
0,332104,166,166,33,321641
