Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,1773473,336,336,3,28,1772775,1
0,0,1368555,312,312,4,28,1367977,1
0,0,170789,69,69,4,14,170208,1
1,0,44727,395,395,3,93,44119,1
0,0,917604,279,279,4,27,916954,0
0,0,7294,267,267,4,75,6638,0
0,0,9111,133,133,2,63,8734,0
0,0,633393,82,82,4,11,632488,1
1,0,1947,16,16,3,39,1330,1
0,0,1604078,116,116,4,28,1603452,0
0,0,219644,72,72,4,14,218985,1
0,0,1579,4,4,4,34,1004,1
0,0,462632,142,142,4,4,462006,0
0,0,1707,379,379,4,85,1054,0
0,0,555039,78,78,4,7,554104,0
1,0,891600,277,277,1,27,891058,1
0,0,522983,297,297,4,10,522417,1
0,0,897652,246,246,4,22,897068,0
0,0,445439,136,136,4,16,444747,0
0,0,5761,376,376,4,50,5141,0
0,0,407298,186,186,4,15,406639,0
0,0,95645,65,65,4,2,95094,1
0,0,296809,421,421,4,4,296102,1
0,0,438791,34,34,4,3,438168,1
0,0,296422,250,250,4,16,295724,0
0,0,311595,412,412,2,14,311224,1
0,0,39701,54,54,4,57,39237,1
1,0,22510,56,56,3,42,21845,0
0,0,262228,39,39,4,22,261515,0
0,0,603114,243,243,4,10,602248,1
0,0,610905,159,159,4,4,610333,0
1,0,862102,247,247,3,22,861431,0
0,0,8700,17,17,4,40,8095,0
0,0,1439745,91,91,4,28,1439215,1
0,0,9539,200,200,4,47,8904,1
0,0,367683,157,157,4,16,367096,0
0,0,11825,47,47,4,53,11139,0
0,0,406686,141,141,4,4,406078,0
0,0,32545,268,268,4,76,31979,0
0,0,2027,41,41,4,52,1341,0
0,0,465000,355,355,4,17,464038,0
1,0,874302,280,280,3,27,873739,1
0,0,1522297,87,87,4,28,1521722,0
0,0,456160,324,324,4,23,455483,0
1,0,28680,131,131,3,63,27985,0
0,0,478938,102,102,4,0,478315,0
0,0,494817,206,206,4,23,494134,1
0,0,21792,347,347,4,79,21193,0
0,0,649380,242,242,4,10,648745,1
1,0,499409,367,367,3,22,498789,0
0,0,21840,236,236,4,71,21079,0
0,0,551183,232,232,2,19,550740,0
0,0,53116,397,397,5,93,52718,0
0,0,302673,251,251,4,16,302005,0
0,0,633183,240,240,2,10,632827,1
0,0,1148872,410,410,4,27,1148204,0
0,0,548259,146,146,2,20,547909,0
0,0,627298,100,100,4,6,626603,1
0,0,555039,429,429,4,4,554545,1
0,0,269583,420,420,4,4,268954,0
0,0,1587490,216,216,4,26,1586741,0
0,0,1038285,194,194,4,28,1037734,1
0,0,266589,178,178,4,17,265723,0
0,0,21892,341,341,4,78,21179,0
0,0,400683,58,58,4,3,400036,1
0,0,1863,45,45,4,53,1279,0
0,0,564291,150,150,4,22,563632,1
0,0,1722444,340,340,4,25,1721857,1
0,0,1850809,110,110,4,28,1850192,1
0,0,1081012,406,406,4,27,1080440,1
0,0,217404,24,24,4,16,216745,0
0,0,2115566,27,27,4,28,2114982,1
0,0,5418,237,237,4,71,4696,1
0,0,266951,176,176,4,14,266226,0
0,0,643220,203,203,4,6,642618,0
0,0,238595,174,174,4,14,237978,1
0,0,174019,66,66,4,14,173294,1
0,0,33533,391,391,4,92,32910,1
0,0,66227,305,305,4,1,65685,0
0,0,1032696,195,195,4,28,1032121,1
0,0,1279824,191,191,4,28,1279111,1
0,0,549268,75,75,4,7,548651,0
1,0,1738968,29,29,3,27,1738420,0
0,0,110877,158,158,5,2,110344,1
1,0,44362,304,304,3,15,43754,1
0,0,375323,426,426,4,4,374682,1
0,0,1871216,109,109,4,28,1870641,0
0,0,48963,359,359,4,83,48349,0
0,0,63431,64,64,4,59,62859,0
0,0,559332,147,147,2,20,558976,0
0,0,21243,15,15,4,38,20602,1
1,0,807869,26,26,3,27,807330,1
0,0,17246,272,272,4,76,16593,0
0,0,11667,265,265,4,74,10975,1
0,0,1182146,316,316,4,28,1181541,1
0,0,777907,153,153,4,22,777242,0
0,0,474095,356,356,4,17,473496,0
0,0,548591,231,231,2,19,548190,0
0,0,1654543,32,32,4,27,1654004,1
0,0,15815,362,362,4,83,15231,0
0,0,417430,208,208,4,23,416753,1
0,0,50225,396,396,4,93,49587,0
0,0,23909,363,363,4,83,23259,0
0,0,1886263,223,223,4,27,1885670,0
0,0,1420673,92,92,4,28,1420101,0
0,0,1628056,217,217,4,26,1627475,0
0,0,5356,352,352,4,82,4736,1
0,0,272757,182,182,4,17,271798,0
0,0,422988,185,185,4,15,422386,0
0,0,431207,427,427,4,4,430704,0
0,0,563485,94,94,2,20,563114,0
0,0,1739,7,7,4,33,1236,1
0,0,488252,257,257,4,16,487683,0
0,0,2141017,330,330,4,27,2140400,0
0,0,305429,373,373,4,24,304515,0
1,0,210445,138,138,3,11,209840,1
0,0,636879,162,162,4,4,636250,1
0,0,2091750,38,38,4,28,2091055,1
0,0,211634,419,419,5,0,211245,0
0,0,34921,273,273,4,77,34262,1
0,0,1570983,121,121,4,28,1570405,1
0,0,596495,163,163,4,4,595866,0
0,0,3008,166,166,4,46,2760,1
0,0,491431,300,300,4,10,490859,1
0,0,458814,354,354,4,17,458125,0
0,0,283286,425,425,4,4,282588,0
1,0,11424,42,42,3,52,10828,0
0,0,1306828,213,213,4,26,1306226,1
0,0,14571,378,378,4,50,14272,0
0,0,6256,132,132,2,63,5888,0
0,0,70633,61,61,4,58,70109,0
0,0,1677970,118,118,4,28,1677395,0
0,0,566496,301,301,4,10,565864,1
0,0,1200244,315,315,4,28,1199621,0
0,0,8071,393,393,4,92,7124,1
0,0,631273,161,161,4,4,630704,1
0,0,1299223,189,189,4,28,1298663,0
1,0,1337715,215,215,3,26,1337152,0
1,0,893116,245,245,3,22,892445,1
0,0,102031,0,0,4,2,101630,1
0,0,452612,288,288,4,28,451995,0
0,0,542828,295,295,4,10,542232,1
0,0,2067976,37,37,4,28,2067425,0
0,0,632235,86,86,4,27,631654,1
0,0,253563,292,292,4,16,252895,0
0,0,1060193,193,193,4,28,1059636,1
0,0,54130,400,400,4,94,53294,1
1,0,225709,70,70,3,14,225092,1
0,0,2016292,331,331,4,27,2015537,0
0,0,55031,271,271,4,76,54300,0
0,0,42738,392,392,4,92,42403,1
0,0,683253,98,98,4,28,682675,0
0,0,930600,248,248,4,22,929947,1
0,0,510533,431,431,4,5,509916,0
0,0,1637787,114,114,4,28,1637185,1
0,0,602022,164,164,4,4,601444,0
0,0,9693,361,361,4,83,9067,0
0,0,325661,372,372,4,16,325122,0
0,0,57983,63,63,4,59,57381,1
0,0,482096,260,260,4,16,481446,0
0,0,152203,402,402,4,94,151562,0
0,0,7816,171,171,4,67,6941,1
0,0,459742,256,256,4,16,459083,0
0,0,8984,262,262,4,72,8412,1
0,0,285006,252,252,4,16,284026,0
0,0,786,374,374,4,84,88,0
0,0,521226,212,212,4,6,520573,0
0,0,1896,261,261,4,72,1198,1
0,0,423275,207,207,4,23,422700,0
0,0,297265,229,229,4,3,296609,0
0,0,413954,418,418,4,28,413337,0
0,0,10738,167,167,4,66,10142,1
0,0,410431,184,184,4,15,409799,0
0,0,717564,275,275,4,27,716974,1
0,0,497547,258,258,4,16,496699,0
0,0,1973331,334,334,4,28,1972666,0
0,0,9993,35,35,4,41,9376,1
0,0,12963,343,343,4,78,12349,0
0,0,1274037,192,192,4,28,1273459,1
1,0,2090413,220,220,3,27,2089832,1
0,0,203566,71,71,2,14,203195,1
0,0,641268,241,241,4,10,640657,1
0,0,1749740,337,337,4,28,1749048,0
0,0,537100,296,296,4,10,536468,1
0,0,3185,165,165,4,65,2544,1
0,0,1078119,196,196,4,28,1077559,0
0,0,567898,125,125,2,19,567485,0
0,0,4704,234,234,4,70,4066,0
0,0,55203,81,81,4,14,54550,0
0,0,288418,228,228,4,3,287768,0
0,0,165971,20,20,4,9,165327,0
0,0,627125,85,85,4,11,626559,1
0,0,1646736,218,218,4,26,1646206,0
0,0,11470,49,49,2,55,11081,1
0,0,661517,2,2,4,10,660867,1
