Gene_Classification,Gene_Description,Ortholog_Id,Gene_Id,Gene_Db_Id,Genomic_End_Position,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,31,237,237,1156973,2,0,31,1154469,0
1,0,38,198,198,9580,1,1,79,6749,1
0,0,82,87,87,428427,3,0,20,425755,0
0,0,100,236,236,1096585,2,0,31,1093946,1
0,0,124,170,170,810651,2,0,22,808318,0
0,0,46,151,151,12594,2,0,76,9967,0
0,0,24,218,218,9089,2,0,85,6579,1
1,0,26,124,124,45075,1,1,72,42286,0
1,0,81,100,100,1611964,1,1,30,1609262,1
0,0,84,107,107,1828534,2,0,31,1825916,0
0,0,107,96,96,483376,2,0,24,480707,1
0,0,73,105,105,1865809,2,0,31,1862957,0
0,0,89,255,255,139709,2,0,1,138117,0
0,0,91,118,118,404584,2,0,22,402206,0
0,0,9,192,192,1731005,3,0,29,1728183,0
0,0,100,185,185,2060220,2,0,31,2057611,1
1,0,39,17,17,255561,1,1,23,253126,0
0,0,54,10,10,12158,2,0,43,9363,1
0,0,46,83,83,21771,2,0,64,19363,0
0,0,71,18,18,506933,3,0,23,504105,0
0,0,112,163,163,465591,2,0,15,462814,0
0,0,82,245,245,262330,2,0,6,259847,0
0,0,86,259,259,579976,2,0,15,577358,0
0,0,46,146,146,16377,2,0,74,13513,1
1,0,92,35,35,199898,1,1,19,197364,1
1,0,29,188,188,1633076,1,1,31,1630521,0
0,0,84,41,41,602587,2,0,31,600077,0
0,0,71,75,75,768058,2,0,23,765323,0
0,0,61,169,169,1129346,2,0,32,1126764,1
0,0,10,56,56,20976,2,0,46,18310,0
0,0,97,150,150,5331,2,0,75,2932,0
0,0,45,61,61,204433,2,0,14,201761,1
0,0,61,189,189,1825289,2,0,32,1822929,0
0,0,106,14,14,700388,2,0,15,697620,0
0,0,62,120,120,6553,2,0,68,4166,1
0,0,107,224,224,1169591,3,0,24,1166769,0
0,0,17,156,156,13678,2,0,3,10931,1
0,0,79,67,67,468388,3,0,6,465485,0
1,0,103,149,149,476059,1,1,5,473501,0
0,0,120,182,182,1251196,2,0,30,1248512,0
0,0,71,209,209,1015945,2,0,23,1013150,1
0,0,61,168,168,1147282,2,0,32,1144757,1
0,0,35,74,74,721934,2,0,23,719244,1
1,0,95,187,187,1582479,1,1,31,1579936,0
0,0,84,141,141,221070,2,0,9,218443,1
0,0,70,54,54,218715,2,0,17,215884,1
0,0,36,4,4,11062,2,0,39,8450,0
0,0,41,99,99,1570228,5,0,30,1568267,1
1,0,87,64,64,308185,1,1,23,306188,0
0,0,94,45,45,546370,2,0,8,543824,0
0,0,18,136,136,410579,2,0,16,407808,0
0,0,90,55,55,57145,3,0,46,54284,0
0,0,79,206,206,849988,2,0,23,847319,0
1,0,24,16,16,408107,1,1,5,405750,0
0,0,14,228,228,60414,2,0,87,57859,1
0,0,71,207,207,1007699,2,0,23,1005114,1
0,0,63,9,9,7898,2,0,42,5274,1
0,0,2,47,47,245264,2,0,0,242583,0
0,0,97,123,123,4732,2,0,71,2051,0
0,0,97,57,57,21506,2,0,62,18858,0
0,0,97,126,126,23129,3,0,73,20358,1
0,0,49,69,69,472189,2,0,18,469499,0
1,0,29,134,134,1014233,1,1,31,1011738,0
0,0,97,58,58,34218,2,0,62,31414,0
0,0,100,102,102,2102129,2,0,31,2099463,1
0,0,42,138,138,82609,3,0,19,79808,1
0,0,85,98,98,1317329,2,0,30,1314768,0
1,0,11,252,252,396615,1,1,18,394090,1
0,0,116,140,140,565683,2,0,6,563344,1
0,0,1,6,6,10603,3,0,40,7772,1
0,0,25,0,0,212927,5,0,13,211077,1
1,0,95,211,211,276688,1,1,24,274223,0
0,0,13,95,95,652210,2,0,8,649424,0
0,0,59,90,90,10893,2,0,33,8359,1
0,0,51,30,30,4709,2,0,57,2067,1
0,0,15,257,257,119436,2,0,2,116878,0
0,0,25,231,231,14331,2,0,88,11776,1
0,0,127,11,11,1650945,2,0,31,1648582,1
0,0,51,122,122,7054,2,0,70,4541,0
0,0,37,15,15,456596,2,0,5,453903,1
0,0,30,212,212,3590,2,0,82,942,1
0,0,111,191,191,1816759,2,0,32,1814429,0
0,0,112,109,109,2010450,2,0,32,2008033,1
0,0,65,177,177,529696,2,0,1,526820,1
0,0,129,62,62,280853,2,0,23,278046,0
0,0,116,65,65,423886,2,0,6,421607,1
1,0,32,139,139,408724,1,1,35,406415,1
0,0,123,117,117,1036042,2,0,25,1033382,0
0,0,57,8,8,25731,3,0,41,22858,0
0,0,97,50,50,35248,2,0,61,32438,0
0,0,126,2,2,2099,5,0,37,3,1
1,0,48,115,115,903444,1,1,23,900637,0
0,0,25,148,148,460231,2,0,13,457457,1
0,0,100,184,184,2171498,2,0,31,2169063,1
0,0,71,77,77,817323,2,0,23,814468,0
0,0,62,193,193,35322,2,0,77,32611,1
0,0,23,205,205,585177,3,0,23,582301,0
0,0,107,220,220,41459,3,0,86,38613,1
0,0,22,176,176,584285,0,0,1,581721,0
0,0,128,161,161,421319,2,0,15,418704,0
0,0,51,111,111,16042,3,0,67,13142,0
0,0,7,113,113,629809,3,0,13,627020,1
0,0,118,94,94,596823,2,0,8,594229,1
1,0,76,154,154,71558,1,1,3,69066,0
0,0,77,221,221,1115182,2,0,24,1112378,0
0,0,96,254,254,556640,2,0,7,553878,0
0,0,97,147,147,22835,2,0,74,20457,0
0,0,46,24,24,65602,2,0,54,62846,0
0,0,95,172,172,321121,2,0,32,318503,0
0,0,51,84,84,3099,2,0,65,313,1
0,0,111,53,53,2201057,2,0,32,2198634,1
1,0,117,104,104,1882048,1,1,31,1879670,0
1,0,29,101,101,2065088,1,1,31,2062416,0
0,0,51,145,145,8030,2,0,74,5538,1
0,0,55,27,27,54570,3,0,44,51787,1
0,0,101,230,230,12466,2,0,87,9926,1
0,0,73,12,12,1745786,2,0,31,1743231,0
0,0,108,226,226,1189938,2,0,24,1187140,0
0,0,83,93,93,580806,5,0,8,578836,1
0,0,111,82,82,565358,2,0,32,563163,1
0,0,84,131,131,935144,2,0,31,932427,1
0,0,60,91,91,7331,3,0,48,4482,1
0,0,28,36,36,167573,3,0,19,164778,1
0,0,4,71,71,249052,2,0,9,246272,1
0,0,98,13,13,344245,2,0,0,341906,1
0,0,84,250,250,194602,3,0,9,191840,1
0,0,105,143,143,546874,2,0,15,544250,0
0,0,80,106,106,1851640,2,0,31,1848668,0
0,0,116,66,66,450835,2,0,6,448496,1
0,0,46,20,20,14547,2,0,52,12235,0
0,0,53,137,137,425184,2,0,16,422410,0
0,0,21,70,70,237391,2,0,9,234584,1
0,0,97,22,22,7271,2,0,53,4884,0
0,0,69,1,1,3982,2,0,36,1541,0
0,0,43,155,155,21057,2,0,3,18763,1
0,0,53,240,240,399549,2,0,16,396772,0
0,0,51,39,39,11601,2,0,59,9187,0
0,0,102,92,92,175571,2,0,28,172800,1
0,0,99,229,229,110238,3,0,87,107374,0
0,0,35,76,76,783613,2,0,23,780839,0
0,0,64,216,216,8573,2,0,84,6039,1
0,0,125,3,3,7513,2,0,38,4757,1
0,0,58,114,114,191757,2,0,10,188965,1
0,0,20,248,248,205713,2,0,9,202903,1
0,0,45,183,183,1484951,3,0,30,1482129,1
0,0,40,133,133,880730,2,0,31,877992,1
0,0,108,242,242,12861,2,0,89,10087,1
0,0,73,129,129,763632,2,0,31,761305,0
1,0,109,181,181,1152001,1,1,30,1149578,1
0,0,13,232,232,171302,4,0,12,169443,0
0,0,16,249,249,187696,2,0,9,185057,1
0,0,56,52,52,2180588,2,0,32,2178147,1
0,0,104,37,37,17047,2,0,45,14579,1
0,0,66,179,179,222070,2,0,5,219359,0
0,0,77,225,225,1181628,2,0,24,1179322,0
1,0,12,48,48,2776,1,1,61,113,1
0,0,40,132,132,950785,2,0,31,948302,1
0,0,51,125,125,8596,2,0,72,5819,0
0,0,19,60,60,24923,2,0,47,22032,0
1,0,50,201,201,42017,1,1,81,39222,0
0,0,35,195,195,1200167,2,0,23,1197396,0
0,0,23,72,72,696919,2,0,23,694046,0
1,0,93,119,119,316755,1,1,24,314314,0
0,0,75,68,68,428401,2,0,18,425663,0
0,0,115,241,241,388287,2,0,16,385492,0
1,0,29,51,51,2113696,1,1,31,2111357,0
0,0,71,63,63,272153,2,0,23,269451,0
0,0,9,243,243,22052,2,0,90,19278,1
0,0,78,127,127,198843,2,0,5,196225,0
0,0,80,130,130,775880,2,0,31,773208,1
1,0,61,159,159,432436,1,1,15,429818,0
0,0,42,34,34,180486,2,0,19,177754,1
0,0,51,32,32,11536,2,0,58,9554,1
0,0,130,157,157,15093,3,0,19,12226,0
