Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description
0,13,606712,238,238,12,603989,0
1,73,21218,242,242,26,18921,3
1,137,2501,82,82,38,102,1
1,160,7457,215,215,41,4911,3
0,54,490870,45,45,1,489493,0
1,171,4777,18,18,70,2027,3
1,76,26225,207,207,65,24447,0
1,74,22430,44,44,34,19944,3
1,162,15107,263,263,2,12237,3
1,167,41742,307,307,44,39727,3
0,129,663320,259,259,24,660522,0
1,25,58458,114,114,16,55432,0
0,18,486237,24,24,47,483109,3
0,14,353345,138,138,58,350952,3
1,139,16574,223,223,138,14088,3
0,158,3713,283,283,97,2106,1
1,14,44770,25,25,50,42977,3
0,2,3597,235,235,140,1834,0
0,103,5794,135,135,123,3014,3
0,0,655728,169,169,18,653962,0
1,134,33262,308,308,44,31331,0
0,55,791878,121,121,37,790079,0
0,175,760085,244,244,33,757590,3
0,127,1852491,174,174,54,1847980,0
0,178,130785,104,104,20,128263,3
1,77,122539,191,191,14,120197,3
0,119,594892,227,227,28,591674,0
0,53,571445,199,199,21,567813,0
0,113,690966,180,180,32,687994,3
0,29,9553,113,113,85,7784,3
0,75,582823,21,21,21,581135,3
1,179,67475,296,296,56,65139,0
1,77,25743,231,231,14,24748,3
1,108,71114,196,196,4,69705,3
0,120,103187,323,323,9,101616,1
0,61,702008,181,181,32,700188,0
0,16,585311,228,228,28,582390,3
0,85,2350211,168,168,59,2347587,3
1,130,491613,133,133,41,488857,3
1,19,12191,232,232,14,9909,3
1,115,1182,91,91,115,1,3
1,122,59561,140,140,50,57681,3
1,156,14595,65,65,67,12280,0
0,47,9360,256,256,94,6577,3
0,149,1434052,155,155,52,1432280,0
1,82,29749,162,162,29,26915,3
0,175,430057,186,186,33,427406,3
0,57,14455,89,89,113,11690,3
1,162,30562,278,278,18,28739,1
0,2,4524,241,241,141,2574,0
1,59,4216,132,132,47,1460,0
0,86,19758,185,185,135,17038,0
1,99,47207,80,80,112,45534,0
1,164,36437,102,102,117,35517,0
1,38,5595,68,68,107,2761,3
0,136,912033,72,72,41,909235,3
0,71,2693,280,280,96,396,3
1,107,4036,63,63,67,1289,0
1,58,93761,71,71,65,90201,3
0,59,11733,73,73,82,9154,3
0,44,706189,14,14,29,704129,3
0,150,120500,322,322,9,118605,0
1,162,26060,260,260,2,23298,3
0,116,351197,218,218,62,348939,3
1,156,8589,29,29,42,6541,0
0,66,1385359,154,154,52,1383590,0
0,8,688837,87,87,26,685982,3
1,166,54516,93,93,41,53479,0
1,26,1739,12,12,72,3,1
0,130,201879,299,299,61,200095,0
0,85,1320804,151,151,59,1318300,3
0,91,628364,100,100,27,625434,3
0,161,3779,183,183,133,1517,0
1,16,64637,150,150,65,62859,0
0,52,4799,270,270,144,2103,3
0,108,7313,236,236,140,4734,3
1,152,19476,160,160,128,17815,0
0,176,7957,142,142,126,5381,3
0,22,829858,119,119,37,827087,3
0,14,2071578,165,165,58,2068987,3
0,100,411543,245,245,31,408877,3
0,1,848494,163,163,35,847454,3
1,170,8756,145,145,45,5919,3
1,17,169188,306,306,44,166855,0
0,177,16396,294,294,149,13598,3
0,81,492103,129,129,0,489575,3
1,11,14953,302,302,53,12005,3
0,39,427483,287,287,46,425420,0
0,91,570499,252,252,27,567725,3
1,182,3857,103,103,118,1095,3
1,88,68621,192,192,57,67503,3
0,108,245943,61,61,4,244298,3
1,37,556405,240,240,28,554000,3
0,64,9141,221,221,137,8410,0
0,156,873816,172,172,52,871123,3
0,175,14712,222,222,91,11650,3
0,151,2360044,13,13,59,2358530,3
1,169,11256,254,254,92,8914,3
0,132,7825,90,90,114,5795,3
0,157,1137976,136,136,57,1133828,0
1,82,96498,209,209,29,94816,3
1,112,83774,188,188,15,82602,3
0,39,1981,297,297,99,2,0
0,141,483389,320,320,5,481422,3
1,179,85945,309,309,16,83153,0
0,67,21702,59,59,104,18811,0
1,63,22871,4,4,25,21810,0
1,61,5339,51,51,101,2904,3
0,107,728090,36,36,30,725151,0
1,89,3210,22,22,73,616,3
0,120,258722,219,219,9,256827,0
1,50,10587,182,182,132,8119,0
1,27,145152,315,315,13,142906,3
0,104,572075,300,300,17,569139,3
0,147,2028848,179,179,56,2027736,2
1,48,33122,281,281,42,30594,3
0,22,690828,274,274,37,688522,3
1,138,45706,261,261,2,43370,0
0,13,588116,3,3,8,586977,3
1,144,4613,117,117,5,1626,0
1,183,12865,289,289,39,9965,0
1,113,4342,81,81,32,1385,3
0,172,15683,257,257,95,12888,3
0,119,378832,38,38,63,376718,3
1,136,25602,134,134,51,22921,0
0,96,563158,321,321,21,560651,0
0,68,467624,171,171,11,464685,0
0,156,2010044,11,11,56,2009265,2
0,160,4567,55,55,80,1604,0
0,29,24449,112,112,85,21516,3
1,130,33240,54,54,41,30436,3
1,43,197559,194,194,9,195199,3
1,34,955,156,156,88,2,1
0,118,447897,285,285,46,446350,1
1,16,61849,46,46,65,60071,0
1,14,1721524,41,41,58,1718519,3
1,115,21022,62,62,105,18272,3
0,81,517997,131,131,0,514713,3
0,133,1984663,166,166,58,1981777,3
1,8,4543,137,137,124,1706,3
0,93,16034,125,125,24,13233,3
1,146,1133115,269,269,52,1130755,3
1,56,1973,1,1,154,3,1
0,35,1174681,75,75,48,1172813,3
1,106,3158,6,6,40,342,0
0,146,648458,161,161,22,645735,3
1,65,31215,301,301,68,30121,1
0,153,1171911,147,147,49,1168945,0
1,3,2772,318,318,13,301,0
0,19,265804,202,202,10,263906,3
0,5,496864,170,170,6,494066,0
1,151,1709527,107,107,59,1707056,3
1,124,29971,144,144,45,27197,3
1,31,5025,158,158,127,2677,3
0,108,474181,193,193,4,471830,3
1,119,20670,139,139,125,18052,0
0,83,1430611,98,98,52,1429409,1
0,133,2149200,265,265,58,2146741,3
1,109,30617,149,149,66,28410,3
0,183,750304,210,210,37,747923,0
1,2,10460,76,76,111,8049,3
0,100,754760,206,206,31,752910,3
1,98,6217,319,319,13,3602,3
0,6,396132,246,246,31,393928,3
1,82,128705,208,208,29,127131,3
0,186,496021,26,26,1,493463,3
1,27,56619,316,316,13,53854,3
1,173,4421,31,31,76,3684,0
1,103,117865,212,212,2,115973,0
1,95,6529,157,157,36,4547,0
1,22,174847,195,195,9,172793,3
1,4,8963,177,177,131,6399,3
0,166,6840,284,284,146,3826,0
0,60,1175229,146,146,49,1172704,3
1,142,110366,250,250,64,107442,3
0,41,7278,95,95,116,4399,3
1,165,22938,85,85,56,21226,3
0,138,1130391,198,198,46,1127446,3
1,35,11829,32,32,48,8980,3
1,49,1443,19,19,71,1,3
1,99,7112,282,282,145,4374,0
0,14,1008775,190,190,58,1006142,3
1,80,7245,290,290,147,4687,3
1,81,12451,176,176,130,9695,3
0,68,2274,50,50,78,1,0
1,85,2194888,106,106,59,2192474,3
0,124,905310,39,39,45,902803,3
0,183,729858,201,201,37,727477,0
0,43,214887,305,305,9,212992,3
1,153,34372,2,2,50,33320,0
1,112,38223,30,30,43,36197,0
1,78,18751,109,109,84,16475,3
0,133,2120212,105,105,58,2117660,3
1,25,3783,84,84,25,1453,3
0,123,596370,276,276,11,593812,3
1,81,19819,122,122,0,16985,3
0,8,392186,225,225,11,389424,0
1,114,36463,116,116,16,33455,0
0,138,439193,286,286,46,435576,3
0,107,598524,92,92,7,596251,1
1,151,342240,153,153,59,339421,3
0,33,107280,48,48,19,104554,3
0,128,2892,67,67,106,97,3
0,21,478312,10,10,11,477440,0
0,32,46833,74,74,110,44356,3
0,85,670094,37,37,59,667467,3
0,158,2020967,178,178,56,2018517,3
1,28,68416,262,262,2,66416,3
0,95,4460,127,127,87,2295,3
0,51,553364,251,251,18,550602,0
0,110,201254,159,159,60,198909,3
0,87,851849,120,120,37,849015,0
1,62,3538,292,292,98,857,3
0,150,12394,303,303,150,9605,3
0,90,748745,35,35,30,745776,0
1,131,14564,60,60,81,12819,3
1,186,39476,268,268,143,36720,0
0,102,13956,216,216,90,10954,3
1,125,58311,298,298,57,56848,3
0,8,645301,275,275,11,642806,0
1,5,5678,128,128,122,4257,3
0,159,458839,16,16,11,457553,3
0,45,811998,312,312,40,810235,0
1,23,26744,325,325,43,24147,3
0,158,968,8,8,153,3,0
0,48,905988,96,96,42,903148,3
1,117,9121,288,288,39,6152,3
0,8,582104,239,239,12,579438,3
1,123,79885,230,230,11,77750,3
1,154,2982,70,70,109,445,3
0,79,169312,66,66,55,166550,0
1,14,1113039,295,295,58,1110685,3
0,42,531490,33,33,3,528650,0
0,26,4734,123,123,86,2191,0
0,105,710712,200,200,37,708220,3
0,101,367390,217,217,62,364778,1
1,23,56555,324,324,43,54387,3
0,89,18183,234,234,139,15433,0
0,38,4073,5,5,69,1218,3
1,50,15577,69,69,108,12521,3
0,133,2028531,266,266,58,2025571,3
0,126,27589,108,108,83,25172,3
1,145,4119,43,43,34,967,0
1,138,27235,148,148,30,24623,3
0,74,783456,79,79,34,780772,3
1,77,11142,111,111,120,8839,0
1,16,242630,118,118,23,239769,3
1,79,10610,173,173,129,8169,3
1,155,106204,279,279,18,104012,4
0,72,16963,47,47,100,14936,3
1,60,9934,86,86,49,6965,3
0,37,577397,7,7,28,576201,3
0,36,1820,9,9,155,189,3
0,46,485801,34,34,3,483723,3
1,103,11541,326,326,43,8509,3
0,19,619021,152,152,14,617285,3
1,63,13820,28,28,25,12766,0
0,151,2325261,42,42,59,2323705,3
0,70,10910,88,88,113,8910,3
0,93,639965,258,258,24,637563,3
