Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description
1,85,1675,215,215,35,854,10
1,4,551759,87,87,14,550737,2
1,22,9906,4,4,24,8728,21
0,8,863354,140,140,14,862533,9
0,2,2556,167,167,33,1318,2
1,12,2049687,185,185,19,2048413,2
0,38,384191,37,37,4,383100,14
1,53,323886,158,158,11,323095,26
0,89,571633,48,48,7,570836,10
0,13,663114,17,17,20,662260,2
1,23,826530,13,13,19,825718,18
0,0,14090,63,63,48,12945,21
0,17,1229889,175,175,18,1228786,19
0,80,1218003,107,107,20,1217665,0
0,4,290434,80,80,14,289571,2
1,5,1022329,213,213,14,1021526,18
1,1,27009,45,45,29,25858,2
1,97,987733,114,114,20,987176,0
1,33,11743,224,224,37,10985,10
1,25,295086,100,100,12,293887,2
1,63,941707,6,6,14,940901,10
0,59,12102,220,220,36,11231,0
0,48,1588977,123,123,18,1588012,32
0,61,644758,119,119,6,643769,26
1,90,17814,235,235,80,16873,29
1,96,750678,154,154,19,750031,25
1,44,1790,8,8,25,1116,2
1,64,7239,180,180,0,5971,2
0,27,13009,152,152,68,11804,22
0,67,3587,161,161,71,2544,2
1,4,1152958,193,193,14,1151783,2
0,73,1694274,68,68,20,1693627,25
0,0,1863,103,103,57,1015,18
0,72,247509,144,144,15,246700,10
0,97,684782,57,57,20,683826,31
0,8,1070767,194,194,14,1069991,10
0,25,137805,157,157,12,136807,2
1,8,461022,201,201,14,460051,30
0,46,1577124,187,187,19,1576114,11
1,27,614,51,51,46,222,0
0,102,5008,9,9,26,4142,10
0,0,31139,61,61,48,29922,21
1,5,375903,35,35,4,374896,19
0,91,12268,236,236,81,10958,21
1,80,2029082,21,21,20,2027874,21
0,27,13418,150,150,67,12669,16
0,89,550504,49,49,7,549704,10
1,66,7162,223,223,37,6368,10
0,34,556235,168,168,1,555144,2
0,72,1148502,228,228,15,1147669,10
0,76,381597,15,15,10,380962,2
1,56,36628,46,46,29,35402,22
0,48,2155792,183,183,19,2155145,25
1,18,9178,74,74,30,8375,10
0,101,26635,162,162,72,25832,34
0,99,1648331,124,124,18,1647294,11
0,63,492438,202,202,14,491209,21
0,53,23852,33,33,28,23046,34
1,99,1522877,178,178,18,1521903,26
1,47,178084,111,111,17,176870,20
0,84,15379,219,219,78,14528,10
0,82,77977,41,41,3,77144,10
0,5,617253,207,207,14,616495,10
0,44,12388,136,136,64,11468,0
1,8,537352,88,88,14,536177,21
1,60,35179,44,44,13,34406,2
1,27,81801,40,40,45,80905,10
1,96,1912694,127,127,19,1911738,26
1,25,287088,99,99,12,285889,2
0,58,1165493,229,229,15,1164663,10
0,74,29968,163,163,72,28721,2
0,98,37518,31,31,28,36670,10
1,55,1783506,129,129,19,1782673,10
0,24,432927,247,247,5,431740,14
1,10,2102,112,112,59,1101,2
0,92,320234,146,146,15,319014,22
1,4,827468,209,209,14,826311,2
1,11,4723,24,24,39,4340,2
1,77,3769,1,1,22,3023,0
0,52,335,10,10,26,3,0
1,32,227094,20,20,12,226831,1
1,27,23810,60,60,47,22572,21
1,13,1026,225,225,79,841,0
1,36,13592,101,101,56,12324,2
1,60,1989097,189,189,20,1988282,10
0,7,445921,19,19,4,445157,2
0,5,247162,12,12,14,246347,10
1,5,1018268,212,212,14,1017216,7
1,27,2879,134,134,62,2091,10
1,70,1338,195,195,34,835,0
0,0,19059,164,164,72,18244,10
1,60,2097143,188,188,20,2096334,10
0,28,2142542,184,184,19,2141583,26
0,30,392050,86,86,12,391007,0
1,53,55904,32,32,28,55386,2
0,54,1679298,71,71,20,1678525,26
0,79,17599,77,77,51,16553,2
0,45,255296,142,142,15,254511,18
0,8,305564,84,84,14,304740,8
0,26,486743,58,58,1,485586,14
0,5,277578,82,82,14,276769,10
0,63,822069,208,208,14,821287,18
0,38,177073,105,105,21,175745,2
1,51,265814,200,200,11,265029,26
1,100,5205,97,97,54,4201,2
1,8,992655,211,211,14,991897,10
0,8,297062,79,79,14,295851,21
0,27,18784,98,98,55,18002,18
1,0,26139,27,27,42,25351,10
0,5,422034,18,18,4,420934,14
0,63,907521,139,139,14,906301,21
0,27,23025,135,135,63,22318,0
1,96,2202884,181,181,19,2202237,25
1,31,65754,233,233,80,64810,29
1,99,1487286,177,177,18,1486264,14
1,9,17173,217,217,77,16040,22
0,0,61556,28,28,42,60249,21
0,8,313431,83,83,14,312547,10
0,8,285745,81,81,14,284939,10
1,73,970864,118,118,20,969914,31
0,73,1631767,70,70,20,1631120,25
0,42,6002,241,241,82,5043,2
1,35,1564778,72,72,20,1564014,16
1,80,643595,16,16,20,642765,10
1,8,407549,137,137,14,406749,10
0,5,251858,22,22,14,251211,0
1,86,15410,226,226,38,14340,2
0,0,18582,59,59,47,17713,10
0,76,231201,246,246,5,230431,28
1,55,2089274,125,125,19,2088630,25
0,27,9985,149,149,66,9303,0
0,54,1687805,69,69,20,1687044,4
0,16,25842,199,199,75,24370,2
1,44,1677,75,75,49,712,29
0,52,1153229,240,240,19,1151997,21
0,99,1221966,174,174,18,1220947,14
0,15,1604402,186,186,19,1603254,17
1,5,1075329,3,3,14,1075195,1
1,65,884301,138,138,14,883339,2
1,71,13960,14,14,27,13361,2
0,92,1106541,227,227,15,1105297,21
1,21,655,0,0,83,2,2
0,33,223492,245,245,5,222386,34
1,13,1592913,73,73,20,1591840,34
0,8,658646,90,90,14,657867,10
0,72,266241,143,143,15,265438,10
1,27,13082,113,113,60,12327,0
0,14,1207750,192,192,14,1206605,21
