Gene_Classification,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1221966,174,174,0,18,1220947,0
0,1604402,186,186,0,19,1603254,0
0,1075329,3,3,0,14,1075195,1
1,884301,138,138,1,14,883339,1
1,13960,14,14,1,27,13361,1
0,1106541,227,227,0,15,1105297,0
1,655,0,0,1,82,2,1
1,223492,245,245,1,5,222386,0
1,1592913,73,73,1,20,1591840,1
0,658646,90,90,0,14,657867,0
0,266241,143,143,0,15,265438,0
0,13082,113,113,0,60,12327,1
0,1207750,192,192,0,14,1206605,0
