Gene_Subclass,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,73,21218,240,240,1,26,18921,1
0,0,138,2501,81,81,0,38,102,1
1,0,161,7457,213,213,1,41,4911,1
0,0,54,490870,45,45,0,1,489493,0
1,0,38,4073,5,5,1,69,1218,0
1,0,143,110366,248,248,1,64,107442,1
1,0,75,22430,44,44,1,34,19944,1
1,0,163,15107,261,261,1,2,12237,1
1,0,168,41742,307,307,1,44,39727,1
0,0,131,663320,257,257,0,24,660522,0
0,0,25,58458,113,113,0,16,55432,1
1,0,18,486237,24,24,1,47,483109,0
1,0,14,353345,137,137,1,58,350952,0
1,0,140,16574,221,221,1,137,14088,1
0,0,159,3713,283,283,0,96,2106,0
1,0,14,44770,25,25,1,50,42977,1
0,0,2,3597,233,233,0,139,1834,0
1,0,104,5794,134,134,1,122,3014,0
0,1,0,655728,167,167,0,18,653962,0
0,0,135,33262,308,308,0,44,31331,1
0,0,55,791878,120,120,0,37,790079,0
1,0,176,760085,242,242,1,33,757590,0
0,0,129,1852491,172,172,0,54,1847980,0
1,0,179,130785,103,103,1,20,128263,0
1,0,78,122539,189,189,1,14,120197,1
0,0,121,594892,225,225,0,28,591674,0
0,0,53,571445,197,197,0,21,567813,0
1,0,115,690966,178,178,1,32,687994,0
1,0,29,9553,112,112,1,84,7784,0
1,0,76,582823,21,21,1,21,581135,0
0,0,180,67475,296,296,0,56,65139,1
1,0,78,25743,229,229,1,14,24748,1
1,0,109,71114,194,194,1,4,69705,1
0,0,122,103187,323,323,0,9,101616,0
0,0,61,702008,179,179,0,32,700188,0
1,0,16,585311,226,226,1,28,582390,0
1,0,152,2325261,42,42,1,59,2323705,0
1,0,132,491613,132,132,1,41,488857,1
1,0,19,12191,230,230,1,14,9909,1
1,0,117,1182,90,90,1,114,1,1
1,0,124,59561,139,139,1,50,57681,1
0,0,108,4036,62,62,0,67,1289,1
1,0,47,9360,254,254,1,93,6577,0
0,0,150,1434052,153,153,0,52,1432280,0
1,0,83,29749,160,160,1,29,26915,1
1,0,176,430057,184,184,1,33,427406,0
1,0,57,14455,88,88,1,112,11690,0
0,0,163,30562,278,278,0,18,28739,1
0,0,2,4524,239,239,0,140,2574,0
0,0,59,4216,131,131,0,47,1460,1
0,0,87,19758,183,183,0,134,17038,0
0,0,100,47207,79,79,0,111,45534,1
0,0,165,36437,101,101,0,116,35517,1
1,0,38,5595,67,67,1,106,2761,1
1,0,137,912033,71,71,1,41,909235,0
1,0,71,2693,280,280,1,95,396,0
1,0,110,30617,148,148,1,66,28410,1
0,0,42,75311,149,149,0,65,73533,1
1,0,59,11733,72,72,1,81,9154,0
1,0,44,706189,14,14,1,29,704129,0
0,0,151,120500,322,322,0,9,118605,0
1,0,163,26060,258,258,1,2,23298,1
0,0,132,201879,299,299,0,61,200095,0
0,0,157,8589,29,29,0,42,6541,1
0,0,66,1385359,152,152,0,52,1383590,0
1,0,8,688837,86,86,1,26,685982,0
0,0,167,54516,92,92,0,41,53479,1
1,0,49,1443,19,19,1,71,1,1
1,0,111,201254,157,157,1,60,198909,0
1,0,86,670094,37,37,1,59,667467,0
1,0,92,628364,99,99,1,27,625434,0
0,0,162,3779,181,181,0,132,1517,0
0,0,16,61849,46,46,0,65,60071,1
1,0,52,4799,270,270,1,143,2103,0
1,0,109,7313,234,234,1,139,4734,0
0,0,153,19476,158,158,0,127,17815,1
1,0,177,7957,141,141,1,125,5381,0
1,0,22,829858,118,118,1,37,827087,0
1,0,14,2071578,163,163,1,58,2068987,0
1,0,101,411543,243,243,1,31,408877,0
1,0,1,848494,161,161,1,35,847454,0
1,0,171,8756,144,144,1,45,5919,1
0,0,17,169188,306,306,0,44,166855,1
1,0,178,16396,294,294,1,148,13598,0
1,0,82,492103,128,128,1,0,489575,0
1,0,11,14953,302,302,1,53,12005,1
0,0,39,427483,287,287,0,46,425420,0
1,0,92,570499,250,250,1,27,567725,0
1,0,183,3857,102,102,1,117,1095,1
1,0,89,68621,190,190,1,57,67503,1
1,0,109,245943,60,60,1,4,244298,0
1,0,37,556405,238,238,1,28,554000,1
0,0,64,9141,219,219,0,136,8410,0
1,0,157,873816,170,170,1,52,871123,0
1,0,176,14712,220,220,1,90,11650,0
1,0,86,2350211,166,166,1,59,2347587,0
1,0,170,11256,252,252,1,91,8914,1
1,0,133,7825,89,89,1,113,5795,0
0,0,158,1137976,135,135,0,57,1133828,0
1,0,83,96498,207,207,1,29,94816,1
1,0,114,83774,186,186,1,15,82602,1
0,0,39,1981,297,297,0,98,2,0
1,0,142,483389,320,320,1,5,481422,0
0,0,180,85945,309,309,0,16,83153,1
0,0,67,21702,59,59,0,103,18811,0
0,0,63,22871,4,4,0,25,21810,1
1,0,61,5339,51,51,1,100,2904,1
0,0,108,728090,36,36,0,30,725151,0
0,0,26,1739,12,12,0,72,3,1
0,0,122,258722,217,217,0,9,256827,0
0,0,50,10587,180,180,0,131,8119,1
1,0,27,145152,315,315,1,13,142906,1
1,0,105,572075,300,300,1,17,569139,0
0,0,148,2028848,177,177,0,56,2027736,0
1,0,48,33122,281,281,1,42,30594,1
1,0,22,690828,274,274,1,37,688522,0
0,0,139,45706,259,259,0,2,43370,1
1,0,13,588116,3,3,1,8,586977,0
0,0,145,4613,116,116,0,5,1626,1
0,0,184,12865,289,289,0,39,9965,1
1,0,115,4342,80,80,1,32,1385,1
1,0,173,15683,255,255,1,94,12888,0
0,0,102,367390,215,215,0,62,364778,0
0,0,137,25602,133,133,0,51,22921,1
0,0,97,563158,321,321,0,21,560651,0
0,0,68,467624,169,169,0,11,464685,0
0,0,157,2010044,11,11,0,56,2009265,0
0,0,91,1225,52,52,0,79,1,1
1,0,29,24449,111,111,1,84,21516,0
1,0,132,33240,54,54,1,41,30436,1
1,0,43,197559,192,192,1,9,195199,1
0,0,34,955,154,154,0,87,2,1
0,0,120,447897,285,285,0,46,446350,0
1,0,58,36839,205,205,1,65,34572,1
1,0,14,1721524,41,41,1,58,1718519,1
1,0,117,21022,61,61,1,104,18272,1
1,0,82,517997,130,130,1,0,514713,0
1,0,134,1984663,164,164,1,58,1981777,0
1,0,8,4543,136,136,1,123,1706,1
1,0,94,16034,124,124,1,24,13233,0
1,0,147,1133115,269,269,1,52,1130755,1
0,0,56,1973,1,1,0,153,3,1
1,0,35,1174681,74,74,1,48,1172813,0
0,0,107,3158,6,6,0,40,342,1
1,0,147,648458,159,159,1,22,645735,0
1,0,136,28068,63,63,1,67,25282,1
0,0,154,1171911,146,146,0,49,1168945,0
0,0,3,2772,318,318,0,13,301,1
1,0,19,265804,200,200,1,10,263906,0
0,0,5,496864,168,168,0,6,494066,0
1,0,86,1626838,106,106,1,59,1624217,0
1,0,126,29971,143,143,1,45,27197,1
1,0,31,5025,156,156,1,126,2677,1
1,0,109,474181,191,191,1,4,471830,0
0,0,121,20670,138,138,0,124,18052,1
0,0,84,1430611,97,97,0,52,1429409,0
1,0,134,2149200,264,264,1,58,2146741,0
1,0,84,3014,93,93,1,66,228,1
0,0,184,750304,208,208,0,37,747923,0
1,0,2,10460,75,75,1,110,8049,1
1,0,101,754760,204,204,1,31,752910,0
1,0,99,6217,319,319,1,13,3602,1
1,0,6,396132,244,244,1,31,393928,0
1,0,83,128705,206,206,1,29,127131,1
1,0,187,496021,26,26,1,1,493463,0
1,0,27,56619,316,316,1,13,53854,1
1,0,108,1094,23,23,1,75,159,1
0,0,104,117865,210,210,0,2,115973,1
0,0,96,6529,155,155,0,36,4547,1
1,0,22,174847,193,193,1,9,172793,1
1,0,4,8963,175,175,1,130,6399,1
0,0,167,6840,284,284,0,145,3826,0
1,0,60,1175229,145,145,1,49,1172704,0
1,0,113,388046,38,38,1,63,385203,0
1,0,41,7278,94,94,1,115,4399,0
1,0,166,22938,84,84,1,56,21226,1
1,0,139,1130391,196,196,1,46,1127446,0
1,0,35,11829,32,32,1,48,8980,1
1,0,172,4777,18,18,1,70,2027,1
0,0,100,7112,282,282,0,144,4374,1
1,0,14,1008775,188,188,1,58,1006142,0
1,0,81,7245,290,290,1,146,4687,1
1,0,82,12451,174,174,1,129,9695,1
1,0,74,2272,40,40,1,77,2,0
1,0,152,1767155,266,266,1,59,1764399,1
1,0,126,905310,39,39,1,45,902803,0
0,0,184,729858,199,199,0,37,727477,0
1,0,43,214887,305,305,1,9,212992,0
0,0,154,34372,2,2,0,50,33320,1
0,0,114,38223,30,30,0,43,36197,1
1,0,79,18751,108,108,1,83,16475,1
1,0,134,2120212,104,104,1,58,2117660,0
1,0,25,3783,83,83,1,25,1453,1
1,0,125,596370,276,276,1,11,593812,0
1,0,82,19819,121,121,1,0,16985,1
0,0,8,392186,223,223,0,11,389424,0
0,0,116,36463,115,115,0,16,33455,1
1,0,139,439193,286,286,1,46,435576,0
0,0,108,598524,91,91,0,7,596251,0
0,0,185,17724,293,293,0,59,14986,1
1,0,33,107280,48,48,1,19,104554,0
1,0,130,2892,66,66,1,105,97,0
0,0,21,478312,10,10,0,11,477440,0
1,0,32,46833,73,73,1,109,44356,0
1,0,152,342240,151,151,1,59,339421,1
1,0,159,2020967,176,176,1,56,2018517,0
1,0,28,68416,260,260,1,2,66416,1
1,0,96,4460,126,126,1,86,2295,0
0,0,51,553364,249,249,0,18,550602,0
1,0,152,2360044,13,13,1,59,2358530,0
0,0,88,851849,119,119,0,37,849015,0
1,0,62,3538,292,292,1,97,857,1
1,0,151,12394,303,303,1,149,9605,0
0,0,91,748745,35,35,0,30,745776,0
0,0,161,4567,55,55,0,80,1604,0
0,0,187,39476,268,268,0,142,36720,1
1,0,103,13956,214,214,1,89,10954,0
1,0,127,58311,298,298,1,57,56848,1
0,0,8,645301,275,275,0,11,642806,0
1,0,5,5678,127,127,1,121,4257,1
1,0,160,458839,16,16,1,11,457553,0
0,0,45,811998,312,312,0,40,810235,0
1,0,23,26744,325,325,1,43,24147,1
0,0,159,968,8,8,0,152,3,0
1,0,48,905988,95,95,1,42,903148,0
1,0,119,9121,288,288,1,39,6152,1
1,0,8,582104,237,237,1,12,579438,0
1,0,125,79885,228,228,1,11,77750,1
1,0,155,2982,69,69,1,108,445,1
0,0,80,169312,65,65,0,55,166550,0
1,0,14,1113039,295,295,1,58,1110685,1
0,0,42,531490,33,33,0,3,528650,0
0,0,26,4734,122,122,0,85,2191,0
1,0,106,710712,198,198,1,37,708220,0
1,0,118,351197,216,216,1,62,348939,0
1,0,23,56555,324,324,1,43,54387,1
0,0,90,18183,232,232,0,138,15433,0
0,0,65,31215,301,301,0,68,30121,1
1,0,50,15577,68,68,1,107,12521,1
1,0,134,2028531,265,265,1,58,2025571,0
1,0,128,27589,107,107,1,82,25172,0
0,0,146,4119,43,43,0,34,967,1
1,0,139,27235,147,147,1,30,24623,1
1,0,75,783456,78,78,1,34,780772,0
0,0,78,11142,110,110,0,119,8839,1
1,0,16,242630,117,117,1,23,239769,1
1,0,80,10610,171,171,1,128,8169,1
1,0,156,106204,279,279,1,18,104012,1
1,0,72,16963,47,47,1,99,14936,0
1,0,60,9934,85,85,1,49,6965,1
1,0,37,577397,7,7,1,28,576201,0
1,0,36,1820,9,9,1,154,189,0
1,0,46,485801,34,34,1,3,483723,0
1,3,104,11541,326,326,1,43,8509,1
1,0,19,619021,150,150,1,14,617285,0
0,0,63,13820,28,28,0,25,12766,1
1,0,86,2194888,105,105,1,59,2192474,1
1,0,70,10910,87,87,1,112,8910,0
1,0,94,639965,256,256,1,24,637563,0
