Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
0,1865809,104,104,2,72,31,1862957
0,139709,255,255,2,88,1,138117
0,404584,117,117,2,90,22,402206
0,1731005,192,192,3,9,29,1728183
1,2060220,185,185,2,99,31,2057611
0,255561,17,17,1,38,23,253126
1,12158,10,10,2,53,43,9363
0,21771,84,84,2,45,64,19363
0,506933,18,18,3,70,23,504105
0,465591,163,163,2,111,15,462814
1,292921,245,245,2,118,6,290183
0,579976,259,259,2,85,15,577358
1,16377,145,145,2,45,74,13513
1,199898,35,35,1,91,19,197364
0,1633076,188,188,1,28,31,1630521
0,602587,41,41,2,83,31,600077
0,768058,76,76,2,70,23,765323
1,1129346,169,169,2,60,32,1126764
0,20976,58,58,2,10,46,18310
0,5331,149,149,2,96,75,2932
1,204433,63,63,2,44,14,201761
0,1825289,189,189,2,60,32,1822929
0,700388,14,14,2,104,15,697620
1,6553,119,119,2,61,68,4166
0,1169591,223,223,3,105,24,1166769
1,13678,156,156,2,16,3,10931
1,565683,139,139,2,115,6,563344
0,262330,243,243,2,82,6,259847
0,1251196,182,182,2,119,30,1248512
1,1015945,209,209,2,70,23,1013150
1,1147282,168,168,2,60,32,1144757
1,721934,75,75,2,34,23,719244
0,1582479,187,187,1,94,31,1579936
1,237391,71,71,2,20,9,234584
1,218715,56,56,2,69,17,215884
0,11062,4,4,2,35,39,8450
1,1570228,98,98,4,40,30,1568267
0,308185,66,66,1,86,23,306188
0,561205,46,46,2,117,8,558770
0,410579,135,135,2,17,16,407808
0,57145,57,57,3,89,46,54284
0,849988,206,206,2,78,23,847319
0,408107,16,16,1,23,5,405750
1,60414,227,227,2,13,87,57859
1,1007699,207,207,2,70,23,1005114
1,7898,9,9,2,62,42,5274
0,245264,49,49,2,2,0,242583
0,4732,122,122,2,96,71,2051
0,21506,59,59,2,96,62,18858
1,23129,125,125,3,96,73,20358
0,472189,70,70,2,48,18,469499
0,1014233,133,133,1,28,31,1011738
0,34218,60,60,2,96,62,31414
1,2102129,101,101,2,99,31,2099463
1,82609,137,137,3,41,19,79808
0,1317329,97,97,2,84,30,1314768
1,396615,252,252,1,11,18,394090
1,585607,82,82,2,118,6,583331
1,10603,6,6,3,1,40,7772
1,460231,148,148,2,24,13,457457
0,276688,211,211,1,94,24,274223
1,187696,249,249,2,15,9,185057
1,10893,91,91,2,58,33,8359
1,4709,30,30,2,50,57,2067
0,119436,257,257,2,14,2,116878
1,14331,230,230,2,24,88,11776
1,1650945,11,11,2,126,31,1648582
0,7054,121,121,2,50,70,4541
1,456596,15,15,2,36,5,453903
1,3590,212,212,2,29,82,942
0,1816759,191,191,2,110,32,1814429
1,2010450,108,108,2,111,32,2008033
1,529696,177,177,2,64,1,526820
0,280853,64,64,2,128,23,278046
0,436968,246,246,1,80,6,434224
1,408724,138,138,1,31,35,406415
0,1036042,116,116,2,122,25,1033382
0,25731,8,8,3,56,41,22858
0,35248,52,52,2,96,61,32438
1,2099,2,2,4,125,37,3
0,903444,114,114,1,47,23,900637
1,559805,147,147,1,90,13,557001
1,2171498,184,184,2,99,31,2169063
0,817323,78,78,2,70,23,814468
1,35322,193,193,2,61,77,32611
0,585177,205,205,3,22,23,582301
1,41459,219,219,3,105,86,38613
0,584285,176,176,0,21,1,581721
0,421319,161,161,2,127,15,418704
0,16042,110,110,3,50,67,13142
1,629809,112,112,3,7,13,627020
1,620072,44,44,2,93,8,617640
0,71558,154,154,1,75,3,69066
0,1115182,220,220,2,76,24,1112378
0,546370,47,47,2,93,8,543824
0,22835,146,146,2,96,74,20457
0,65602,24,24,2,45,54,62846
0,321121,172,172,2,94,32,318503
1,3099,85,85,2,50,65,313
1,2201057,55,55,2,110,32,2198634
0,1882048,103,103,1,116,31,1879670
0,2065088,100,100,1,28,31,2062416
1,8030,144,144,2,50,74,5538
1,54570,27,27,3,54,44,51787
1,12466,229,229,2,100,87,9926
0,1745786,12,12,2,72,31,1743231
0,1189938,225,225,2,106,24,1187140
1,596823,94,94,2,117,8,594229
1,565358,83,83,2,110,32,563163
1,935144,130,130,2,83,31,932427
1,7331,92,92,3,59,48,4482
1,167573,36,36,3,27,19,164778
1,191757,113,113,2,57,10,188965
1,344245,13,13,2,97,0,341906
1,205713,248,248,2,19,9,202903
0,546874,142,142,2,103,15,544250
0,1851640,105,105,2,79,31,1848668
0,468388,68,68,3,78,6,465485
0,14547,20,20,2,45,52,12235
0,425184,136,136,2,52,16,422410
1,249052,72,72,2,4,9,246272
0,7271,22,22,2,96,53,4884
0,3982,1,1,2,68,36,1541
1,21057,155,155,2,43,3,18763
0,399549,238,238,2,52,16,396772
0,11601,39,39,2,50,59,9187
1,175571,93,93,2,101,28,172800
0,110238,228,228,3,98,87,107374
0,783613,77,77,2,34,23,780839
1,8573,215,215,2,63,84,6039
1,7513,3,3,2,124,38,4757
1,171781,0,0,4,42,11,169685
1,221070,140,140,2,83,9,218443
1,1484951,183,183,3,44,30,1482129
1,880730,132,132,2,39,31,877992
1,12861,240,240,2,106,89,10087
0,763632,128,128,2,72,31,761305
1,1152001,181,181,1,107,30,1149578
0,184674,5,5,2,93,12,182293
1,194602,250,250,3,83,9,191840
1,2180588,54,54,2,55,32,2178147
1,17047,37,37,2,102,45,14579
0,222070,179,179,2,65,5,219359
0,1181628,224,224,2,76,24,1179322
1,2776,50,50,1,12,61,113
1,950785,131,131,2,39,31,948302
0,8596,124,124,2,50,72,5819
0,24923,62,62,2,18,47,22032
0,42017,201,201,1,49,81,39222
0,1200167,195,195,2,34,23,1197396
0,696919,73,73,2,22,23,694046
0,316755,118,118,1,92,24,314314
0,428401,69,69,2,74,18,425663
0,388287,239,239,2,114,16,385492
0,2113696,53,53,1,28,31,2111357
0,272153,65,65,2,70,23,269451
1,22052,241,241,2,9,90,19278
0,198843,126,126,2,77,5,196225
1,775880,129,129,2,79,31,773208
0,432436,159,159,1,60,15,429818
1,180486,34,34,2,41,19,177754
1,11536,32,32,2,50,58,9554
0,15093,157,157,3,129,19,12226
