Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
1,12466,229,229,87,2,99,9926
0,1745786,12,12,31,2,72,1743231
0,1189938,225,225,24,2,106,1187140
1,596823,95,95,8,2,117,594229
1,565358,84,84,32,2,110,563163
1,935144,130,130,31,2,82,932427
1,7331,93,93,48,3,59,4482
1,167573,36,36,19,3,27,164778
1,191757,113,113,10,2,57,188965
1,344245,13,13,0,2,96,341906
1,205713,248,248,9,2,19,202903
0,546874,142,142,15,2,103,544250
0,1851640,105,105,31,2,78,1848668
0,468388,69,69,6,3,77,465485
0,14547,19,19,52,2,45,12235
0,425184,136,136,16,2,52,422410
1,249052,73,73,9,2,4,246272
0,7271,21,21,53,2,95,4884
0,3982,1,1,36,2,68,1541
1,21057,155,155,3,2,43,18763
0,399549,238,238,16,2,52,396772
0,11601,40,40,59,2,50,9187
1,175571,94,94,28,2,100,172800
0,110238,228,228,87,3,97,107374
0,783613,78,78,23,2,34,780839
1,8573,215,215,84,2,63,6039
1,7513,3,3,38,2,124,4757
1,171781,0,0,11,4,42,169685
1,221070,140,140,9,2,82,218443
1,1484951,183,183,30,3,44,1482129
1,880730,132,132,31,2,39,877992
1,12861,240,240,89,2,106,10087
0,763632,128,128,31,2,72,761305
1,1152001,181,181,30,1,107,1149578
0,184674,5,5,12,2,92,182293
1,194602,250,250,9,3,82,191840
1,2180588,55,55,32,2,55,2178147
1,17047,37,37,45,2,102,14579
0,256062,180,180,5,2,120,253732
0,1181628,224,224,24,2,75,1179322
1,2776,51,51,61,1,12,113
1,950785,131,131,31,2,39,948302
0,8596,124,124,72,2,50,5819
0,24923,63,63,47,2,18,22032
0,42017,201,201,81,1,49,39222
0,1200167,195,195,23,2,34,1197396
0,696919,74,74,23,2,22,694046
0,316755,118,118,24,1,91,314314
0,428401,70,70,18,2,74,425663
0,388287,239,239,16,2,114,385492
0,2113696,54,54,31,1,28,2111357
0,272153,66,66,23,2,70,269451
1,22052,241,241,90,2,9,19278
0,222070,179,179,5,2,65,219359
1,775880,129,129,31,2,78,773208
0,432436,159,159,15,1,60,429818
1,180486,34,34,19,2,41,177754
1,11536,32,32,58,2,50,9554
0,15093,157,157,19,3,129,12226
