Strand_Orientation,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description
0,0,178,130785,106,20,128263,3
1,0,78,122539,192,14,120197,3
0,0,36,625252,229,28,622190,3
0,0,54,571445,200,21,567813,0
0,0,63,702008,181,32,700188,0
0,0,28,9553,115,86,7784,3
0,0,76,582823,22,21,581135,3
1,0,155,1917064,174,57,1914173,0
1,0,78,25743,231,14,24748,3
1,0,108,71114,197,4,69705,3
0,0,120,103187,322,9,101616,1
0,0,175,411506,60,33,408474,3
0,0,119,594892,227,28,591674,0
0,0,86,2350211,168,60,2347587,3
0,0,136,912033,75,41,909235,3
1,0,18,12191,232,14,9909,3
1,0,115,1182,95,116,1,3
1,0,60,4231,136,52,1391,0
1,0,155,14595,67,68,12280,0
0,0,48,9360,256,95,6577,3
1,0,10,14953,302,54,12005,3
1,0,45,88710,162,29,87850,0
0,0,175,760085,244,33,757590,3
0,0,59,14455,93,114,11690,3
1,0,162,30562,279,18,28739,1
0,0,2,4524,241,142,2574,0
0,0,17,486237,25,48,483109,3
0,0,87,19758,186,136,17038,0
1,0,99,47207,84,113,45534,0
1,0,164,36437,104,118,35517,0
1,0,38,5595,70,108,2761,3
0,0,136,931453,225,41,928565,3
0,0,72,2693,281,97,396,3
1,0,107,4036,65,68,1289,0
1,0,60,93761,74,66,90201,3
0,0,61,11733,76,83,9154,3
1,0,137,27235,149,30,24623,3
0,0,149,120500,321,9,118605,0
1,0,162,26060,260,2,23298,3
0,0,116,351197,217,63,348939,3
1,0,49,33122,282,42,30594,3
0,0,145,1425113,14,53,1422420,3
0,0,8,688837,91,26,685982,3
1,0,166,56433,249,41,54619,1
1,0,25,1739,12,73,3,1
0,0,130,201879,299,62,200095,0
0,0,86,1320804,152,60,1318300,3
0,0,52,650247,103,27,648161,0
0,0,161,3779,184,134,1517,0
1,0,15,64637,151,66,62859,0
0,0,53,4799,272,145,2103,3
0,0,108,7313,236,141,4734,3
1,0,151,19476,160,129,17815,0
0,0,176,7957,143,127,5381,3
0,0,185,840765,123,37,837994,0
0,0,133,2120212,107,59,2117660,3
0,0,180,739713,326,31,736933,0
1,0,179,2442,157,36,1297,0
1,0,124,29971,145,46,27197,3
0,0,178,1032018,51,45,1029001,3
0,0,177,16396,294,150,13598,3
0,0,82,492103,131,0,489575,3
1,0,160,3892,45,55,599,0
0,0,137,439193,287,47,435576,3
0,0,91,570499,252,27,567725,3
1,0,182,3857,105,119,1095,3
1,0,125,924785,237,58,922281,3
0,0,108,245943,63,4,244298,3
0,0,36,577397,7,28,576201,3
0,0,66,9141,220,138,8410,0
1,0,121,981807,278,53,979324,3
0,0,175,14712,221,92,11650,3
0,0,150,2360044,13,60,2358530,3
1,0,169,11256,254,93,8914,3
0,0,132,7825,94,115,5795,3
1,0,138,9869,55,59,8244,0
1,0,83,128705,208,29,127131,3
1,0,112,83774,189,15,82602,3
0,0,39,1981,297,100,2,0
0,0,140,483389,319,5,481422,3
1,0,179,85945,309,16,83153,0
0,0,68,21702,61,105,18811,0
1,0,65,22871,4,25,21810,0
1,0,63,5339,53,102,2904,3
0,0,90,748745,35,30,745776,0
1,0,89,3210,23,74,616,3
0,0,120,258722,218,9,256827,0
1,0,51,10587,183,133,8119,0
1,0,26,145152,314,13,142906,3
0,0,104,572075,300,17,569139,3
1,0,125,58311,298,58,56848,3
0,0,49,905988,100,42,903148,3
0,0,105,710712,201,37,708220,3
1,0,137,45706,261,2,43370,0
0,0,12,588116,3,8,586977,3
1,0,143,4613,119,5,1626,0
1,0,106,3158,6,40,342,0
0,0,113,690966,180,32,687994,3
0,0,172,15683,257,96,12888,3
0,0,119,378832,38,64,376718,3
1,0,145,39618,86,53,36688,3
0,0,96,563158,320,21,560651,0
0,0,69,467624,172,11,464685,0
0,0,157,2020967,178,57,2018517,3
0,0,159,4567,57,81,1604,0
0,0,28,24449,114,86,21516,3
1,0,166,54516,97,41,53479,0
1,0,44,197559,195,9,195199,3
1,0,33,955,156,89,2,1
0,0,137,1130391,199,47,1127446,3
1,0,15,61849,48,66,60071,0
0,0,133,1824669,166,59,1821786,3
1,0,115,21022,64,106,18272,3
0,0,82,517997,133,0,514713,3
0,0,133,2028531,267,59,2025571,3
1,0,8,4543,139,125,1706,3
0,0,93,16034,127,24,13233,3
0,0,37,1337382,270,53,1335682,1
1,0,57,1973,1,155,3,1
1,0,62,9934,90,50,6965,3
1,0,41,16389,182,40,14728,3
0,0,145,648458,161,22,645735,3
1,0,67,31215,301,69,30121,1
0,0,62,1175229,147,50,1172704,3
1,0,3,2772,317,13,301,0
0,0,18,265804,203,10,263906,3
0,0,5,496864,170,6,494066,0
1,0,150,1709527,109,60,1707056,3
0,0,124,905310,39,46,902803,3
1,0,30,5025,158,128,2677,3
0,0,108,474181,194,4,471830,3
1,0,119,20670,140,126,18052,0
0,0,148,1434052,155,53,1432280,0
0,0,133,2327020,264,59,2324351,3
1,0,109,30617,150,67,28410,3
0,0,56,791878,122,37,790079,0
1,0,2,10460,79,112,8049,3
0,0,7,764760,204,31,762982,0
1,0,98,6217,318,13,3602,3
0,0,100,411543,245,31,408877,3
0,0,45,706189,15,29,704129,3
0,0,187,496021,27,1,493463,3
1,0,26,56619,315,13,53854,3
1,0,173,4421,32,77,3684,0
1,0,103,117865,211,2,115973,0
1,0,28,19013,46,36,16263,3
1,0,21,174847,196,9,172793,3
1,0,4,8963,176,132,6399,3
0,0,166,6840,285,147,3826,0
1,0,152,34372,2,51,33320,0
1,0,141,110366,250,65,107442,3
0,0,42,7278,99,117,4399,3
1,0,179,67475,296,57,65139,0
0,0,40,1140600,198,47,1138639,0
0,0,34,1174681,78,49,1172813,3
1,0,50,1443,20,72,1,3
1,0,99,7112,283,146,4374,0
1,0,13,1113039,295,59,1110685,3
1,0,81,7245,290,148,4687,3
1,0,82,12451,175,131,9695,3
0,0,69,2274,52,79,1,0
1,0,86,2194888,108,60,2192474,3
1,0,137,16715,188,47,14439,3
0,0,183,750304,209,37,747923,0
0,0,44,214887,306,9,212992,3
1,0,13,44770,26,51,42977,3
1,0,22,56555,323,43,54387,3
1,0,79,18751,111,85,16475,3
0,0,133,2149200,266,59,2146741,3
1,0,24,3783,88,25,1453,3
0,0,123,596370,277,11,593812,3
1,0,82,19819,124,0,16985,3
0,0,8,392186,224,11,389424,0
1,0,114,36463,118,16,33455,0
0,0,118,447897,286,47,446350,1
0,0,107,598524,96,7,596251,1
1,0,150,342240,154,60,339421,3
0,0,32,107280,50,19,104554,3
0,0,127,2892,69,107,97,3
0,0,20,478312,10,11,477440,0
0,0,31,46833,77,111,44356,3
0,0,86,670094,37,60,667467,3
0,0,146,2028848,179,57,2027736,2
1,0,27,68416,262,2,66416,3
0,0,95,4460,129,88,2295,3
0,0,52,553364,251,18,550602,0
0,0,110,201254,159,61,198909,3
1,0,53,4289,171,38,3018,3
1,0,64,3538,292,99,857,3
0,0,149,12394,304,151,9605,3
0,0,6,396132,246,31,393928,3
1,0,131,14564,62,82,12819,3
1,0,187,39476,269,144,36720,0
0,0,102,13956,215,91,10954,3
1,0,88,68621,193,58,67503,3
0,0,8,645301,276,11,642806,0
1,0,5,5678,130,123,4257,3
0,0,158,458839,17,11,457553,3
0,0,70,825842,310,40,823350,3
1,0,112,38223,31,43,36197,0
0,0,157,968,8,154,3,0
1,2,103,11541,325,43,8509,3
1,0,183,12865,289,39,9965,0
0,0,8,582104,239,12,579438,3
1,0,123,79885,230,11,77750,3
1,0,153,2982,73,110,445,3
1,0,165,22938,89,57,21226,3
0,0,133,1573917,167,59,1571158,3
0,0,43,531490,33,3,528650,0
0,0,25,4734,125,87,2191,0
0,0,183,729858,202,37,727477,0
0,0,101,367390,216,63,364778,1
0,0,58,966472,30,44,963723,0
0,0,89,18183,234,140,15433,0
0,0,38,4073,5,70,1218,3
1,0,51,15577,72,109,12521,3
0,0,13,2071578,165,59,2068987,3
0,0,126,27589,110,84,25172,3
1,0,75,22430,44,34,19944,3
1,0,9,181574,313,30,180063,3
0,0,129,801320,82,34,798915,3
1,0,78,11142,113,121,8839,0
1,0,15,242630,120,23,239769,3
1,0,80,10610,173,130,8169,3
1,0,154,106204,280,18,104012,4
0,0,73,16963,49,101,14936,3
0,0,152,1171911,148,50,1168945,0
0,0,15,585311,228,28,582390,3
0,0,35,1820,9,156,189,3
0,0,47,485801,34,3,483723,3
1,0,22,26744,324,43,24147,3
0,0,18,619021,153,14,617285,3
1,0,65,13820,29,25,12766,0
0,0,150,2325261,42,60,2323705,3
0,0,71,10910,92,114,8910,3
0,0,93,639965,258,24,637563,3
