Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,394758,20,21,9,0,132,393970,0
0,574603,173,173,21,0,34,572120,0
1,4883,43,44,83,1,11,2628,1
1,252998,135,135,28,1,122,250869,0
0,2976,168,168,78,0,75,781,0
0,1159648,147,147,42,0,133,1157084,0
0,7454,54,55,90,0,124,5259,1
1,654471,77,78,53,1,29,652312,1
0,2907,37,38,73,0,97,667,0
0,4593,1,2,17,0,44,2230,1
0,1705791,91,92,54,0,112,1703299,1
1,598394,172,172,21,1,9,596190,0
0,2152,9,10,61,0,53,38,0
0,507624,194,194,3,0,31,505363,0
1,459000,177,177,10,1,69,456733,0
1,123424,232,232,8,1,58,121439,0
1,805063,182,182,39,1,43,803291,0
0,3147,44,45,84,0,77,535,1
0,7548,56,57,92,0,124,5362,0
0,11573,112,113,104,0,124,9210,0
0,81116,4,5,13,0,60,80040,1
0,703891,74,75,23,0,21,701787,0
0,351915,203,203,58,0,4,350539,1
0,6111,23,24,69,0,8,4843,1
1,299939,228,228,11,1,79,297915,1
0,115059,164,164,22,0,115,112891,1
0,1036,14,15,64,0,54,2,1
1,763015,85,86,38,1,113,760970,0
1,547726,138,138,7,1,20,545198,0
0,19404,202,202,123,0,117,17227,0
0,53099,224,224,39,0,121,50910,1
0,2191081,90,91,54,0,129,2188577,1
1,52834,186,186,0,1,27,50840,0
1,13918,125,125,106,1,7,11750,1
1,18062,137,137,109,1,32,16122,1
1,62927,153,153,24,1,106,60651,1
1,34512,93,94,98,1,116,32440,1
0,5683,58,59,93,0,124,3845,0
1,1835456,208,208,49,1,23,1833030,0
0,711734,32,33,23,0,21,710958,0
0,482055,115,115,10,0,30,479794,0
1,89110,210,210,16,1,95,86993,1
0,92121,143,143,41,0,27,90979,1
0,7735,188,188,80,0,99,5258,1
0,2352753,134,134,54,0,27,2351474,0
1,5117,218,218,82,1,103,2943,0
0,120751,189,189,3,0,81,119534,1
0,9642,213,213,125,0,17,7252,0
0,28514,113,0,105,0,124,26043,0
0,1699,88,89,8,0,59,101,1
1,3774,18,19,66,1,17,1570,0
1,468090,41,42,2,1,132,465892,0
0,3637,167,167,34,0,61,1680,1
1,619207,206,206,9,1,40,617003,0
0,369971,62,63,56,0,33,367785,0
1,10067,28,29,46,1,65,8418,1
1,1108,165,165,77,1,105,1,0
0,3468,72,73,96,0,124,1171,0
0,1009265,79,80,38,0,132,1006986,0
0,560608,183,183,16,0,85,558551,0
0,28523,83,84,38,0,132,26538,1
0,2650,25,26,35,0,41,386,1
0,6868,187,187,121,0,114,4559,1
0,50074,192,192,3,0,134,47909,1
0,487691,31,32,18,0,122,485538,0
1,17178,110,111,103,1,128,14941,1
0,669010,136,136,16,0,13,666635,0
0,2335,174,174,12,0,15,101,1
0,798,170,170,79,0,94,1,1
1,1167843,148,148,42,1,112,1165567,0
0,140815,229,229,11,0,67,140096,1
1,18493,48,49,34,1,47,16673,1
0,5471,141,141,112,0,124,3207,1
0,5333,21,22,67,0,50,3093,1
0,59387,96,97,42,0,57,57738,1
0,477141,201,201,7,0,41,476586,0
0,5583,101,102,100,0,124,3223,0
1,20192,205,205,29,1,12,18165,1
1,636865,81,82,20,1,49,634829,0
0,180595,122,122,60,0,80,178343,0
0,827,13,14,63,0,117,3,0
1,122003,230,230,11,1,95,119982,1
0,16433,196,196,81,0,105,14709,1
1,35613,198,198,122,1,24,33460,1
1,16106,75,76,97,1,133,14127,0
0,194620,128,128,55,0,39,192110,0
0,85349,67,68,4,0,42,84366,1
0,303473,217,217,12,0,138,301437,1
0,49973,26,27,23,0,14,48072,1
0,7225,108,109,102,0,124,4853,0
0,3201,61,62,75,0,37,2560,1
0,17152,140,140,111,0,124,14774,1
0,43304,161,161,57,0,96,40902,1
0,52112,106,107,45,0,35,49749,1
0,316113,227,227,11,0,63,313945,1
0,3704,22,23,68,0,135,1446,1
1,12933,116,116,40,1,36,10912,1
1,60946,150,150,54,1,105,58898,1
1,1287,19,20,70,1,5,1,0
0,3133,53,54,90,0,124,824,1
0,23314,236,236,2,0,83,21104,0
0,763294,179,179,26,0,6,761027,0
1,411395,38,39,13,1,82,410220,0
0,66424,233,233,36,0,123,64094,1
1,469090,35,36,1,1,126,466913,0
0,4184,235,235,36,0,123,1923,1
0,68193,151,151,25,0,84,66007,1
0,315631,216,216,12,0,107,313523,1
1,480279,207,207,46,1,65,478171,0
1,609383,80,81,20,1,41,607077,0
0,377705,100,101,59,0,120,375522,0
0,400277,27,28,10,0,109,398004,0
0,702444,214,214,22,0,26,701878,0
1,369509,63,64,13,1,28,367296,1
0,5540,45,46,85,0,104,3963,1
0,526037,40,41,3,0,41,525222,0
0,57522,129,129,22,0,26,55348,1
1,28472,222,222,47,1,11,26358,1
1,3258,211,211,124,1,20,754,1
1,961848,157,157,37,1,18,959689,0
1,16197,181,181,120,1,66,13717,1
0,1669,49,50,87,0,124,2,1
1,399311,94,95,14,1,0,397290,0
0,646569,185,185,12,0,45,644707,0
1,27218,69,70,51,1,65,24993,1
0,2152465,193,193,53,0,16,2150273,0
1,5726,0,1,126,1,36,3723,0
1,1909430,133,133,53,1,29,1907460,1
0,1835184,68,69,48,0,108,1832923,0
0,27070,144,144,16,0,85,24536,1
0,311650,215,215,12,0,107,309482,1
0,6765,195,195,81,0,111,4204,1
0,1518,60,61,94,0,124,1,1
1,477984,154,154,5,1,25,475453,0
1,19107,107,108,45,1,72,16912,1
1,2336,152,152,115,1,136,3,1
1,468765,86,87,54,1,19,466540,0
0,4334,98,99,99,0,124,1968,1
0,71096,142,142,41,0,44,68619,1
0,909502,76,77,35,0,127,907241,0
1,1116077,156,156,41,1,38,1113876,0
1,731499,33,34,23,1,20,729406,0
0,7491,130,130,22,0,124,5182,1
0,1333,15,16,65,0,117,3,0
1,811009,212,212,33,1,76,808763,0
0,1475,2,3,127,0,79,3,0
0,471716,221,221,5,0,73,470270,0
0,2123600,89,90,53,0,70,2121408,0
1,669243,190,190,18,1,64,667156,0
0,18709,36,37,27,0,132,16532,1
0,6479,139,139,110,0,124,5838,1
0,668634,160,160,24,0,101,666520,0
