Entity_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,6144,64,1,86,3,0
0,796416,187,1,29,789632,0
0,252780,210,1,16,242332,0
1,6275,17,3,72,3,0
1,8750,10,3,65,352,0
0,230403,209,1,10,222871,0
0,638425,172,1,18,628055,0
0,34341,15,2,32,26002,1
1,5690,78,3,92,3,0
0,6239,135,2,104,3,1
1,47046,59,3,67,36631,0
0,1301475,103,1,50,1291027,1
0,536745,47,1,18,531839,0
1,1351353,152,3,46,1340908,0
0,107347,18,1,57,100946,1
0,6877,29,1,77,2,0
0,82139,162,1,3,71676,1
0,534898,112,2,33,529028,1
0,97751,80,2,23,91272,1
0,1028641,20,1,40,1018586,0
0,64329,97,1,1,53935,0
0,19778,83,1,94,9420,0
0,364064,58,1,33,353619,1
0,501262,102,1,20,494255,0
0,1392969,104,1,50,1382515,1
1,736142,224,3,29,726108,0
0,18102,16,1,71,7759,0
0,635740,95,1,14,625292,0
0,29124,136,1,104,18715,1
0,510863,220,1,6,500484,0
0,288082,208,1,51,277652,0
0,12200,8,1,64,1905,1
1,12299,144,3,106,2049,1
0,775910,131,1,33,765552,0
0,424985,124,1,31,418893,0
1,11317,86,3,30,5433,1
0,487135,85,1,38,478468,1
0,656937,154,1,22,646543,0
0,400877,71,2,31,396354,0
0,490459,109,1,7,480062,0
0,188433,128,1,10,178087,1
0,34480,143,1,24,24017,1
0,76316,28,2,31,71757,1
0,22220,223,1,39,11901,1
0,508446,157,1,10,497998,0
0,1684949,55,1,50,1674489,1
0,72152,146,1,28,61794,1
0,7036,194,1,119,1,1
1,40882,91,3,41,30431,1
1,14711,134,3,103,4479,1
0,5905,54,1,84,1,1
1,8139,178,3,113,1,1
1,15047,120,3,99,4680,1
0,563694,142,1,26,556752,1
0,46671,98,1,96,36289,1
0,138943,50,2,23,131411,0
0,600090,181,1,33,589645,1
0,656716,87,1,21,646334,0
0,56068,176,1,112,45617,0
0,2345983,164,1,51,2335691,0
0,19621,52,1,57,13649,1
1,25728,92,3,56,21774,1
0,60872,206,1,51,50520,1
0,698669,82,1,23,688299,0
0,545365,221,1,19,535076,0
0,7213,72,1,90,1,1
1,12287,132,3,101,1776,1
0,572820,182,1,11,566630,0
0,1211309,161,1,50,1200861,0
0,53597,30,1,58,43140,1
0,7785,139,2,105,1726,0
0,1848415,40,1,47,1838054,0
0,902706,94,1,38,892584,0
1,52443,43,3,49,42064,1
0,34912,168,1,33,27714,1
0,685626,117,1,30,675331,0
0,5029,27,2,76,2,1
0,31572,75,1,36,21127,1
0,12152,204,1,122,4158,1
0,102066,44,1,11,91621,1
1,364951,61,3,56,356759,1
0,6015,145,2,28,103,1
1,571446,180,3,33,561022,1
1,9497,185,3,114,3,0
0,332104,166,1,33,321641,0
