Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Entity_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,0,874302,275,275,27,3,1,117,873739,1
0,0,281,10,10,36,5,0,73,3,1
0,0,16035,342,342,78,4,0,52,15472,0
0,0,311595,412,412,14,2,0,98,311224,1
0,0,6125,11,11,36,4,0,73,5631,1
0,0,578960,77,77,7,4,0,114,578253,0
0,0,1670681,29,29,27,4,0,122,1670067,0
1,0,544317,147,147,22,1,1,112,543658,0
0,0,285006,246,246,16,4,0,133,284026,0
0,0,482096,254,254,16,4,0,109,481446,0
0,0,16573,165,165,66,4,0,126,15977,0
0,0,1236,125,125,44,4,0,0,691,0
0,0,2152710,106,106,28,4,0,160,2152117,1
0,0,218124,166,166,17,4,0,21,217234,0
0,0,497850,295,295,10,4,0,41,497083,1
0,0,653543,84,84,11,4,0,54,652923,1
0,0,729959,96,96,28,4,0,17,729363,0
0,0,358436,278,278,14,2,0,56,358038,1
0,0,584282,133,133,10,4,0,6,583626,1
0,1,22696,73,73,15,4,0,61,22061,1
1,0,1261581,324,324,26,3,1,129,1260970,0
0,0,160801,403,403,94,4,0,48,160181,0
1,0,10872,104,104,60,3,1,102,10210,0
0,0,412598,280,280,30,4,0,44,411981,1
0,0,514088,294,294,10,4,0,41,513441,1
0,0,667099,4,4,10,4,0,6,666332,1
0,0,253563,288,288,16,4,0,131,252895,0
0,0,237931,286,286,16,4,0,23,237338,0
0,0,266589,177,177,17,4,0,21,265723,0
0,0,1078119,193,193,28,4,0,160,1077559,0
0,0,198335,43,43,10,4,0,6,197730,1
0,0,1243238,187,187,28,4,0,160,1242540,1
0,0,1176204,399,399,23,4,0,5,1175530,0
0,0,6197,387,387,89,4,0,154,5628,0
0,0,38888,79,79,14,4,0,56,38181,1
0,0,374682,42,42,28,4,0,17,374062,0
0,0,1420673,91,91,28,4,0,160,1420101,0
0,0,388432,195,195,29,2,0,74,388043,1
0,0,70633,60,60,58,4,0,126,70109,0
0,0,11230,374,374,49,4,0,125,10535,0
0,0,694973,307,307,27,4,0,70,694383,0
0,0,1677970,118,118,28,4,0,136,1677395,0
0,0,5761,375,375,50,4,0,22,5141,0
0,0,1886263,218,218,27,4,0,101,1885670,0
0,0,311313,422,422,4,4,0,135,310645,1
0,0,282372,174,174,14,4,0,46,281740,1
0,0,456160,321,321,23,4,0,118,455483,0
0,0,36542,385,385,88,4,0,149,35961,1
0,0,541203,103,103,6,4,0,65,540331,0
0,0,375081,122,122,12,4,0,25,374536,1
0,0,1142859,409,409,27,4,0,47,1142287,1
0,0,1481322,93,93,28,4,0,75,1480762,1
0,0,1306828,209,209,26,4,0,91,1306226,1
0,0,1739,6,6,33,4,0,33,1236,1
0,0,410649,141,141,14,2,0,31,410251,0
0,0,1587490,212,212,26,4,0,91,1586741,0
0,0,2442,285,285,48,4,0,29,1612,1
0,1,327963,424,424,4,4,0,97,327337,1
0,0,1411596,22,22,28,4,0,17,1410949,0
0,0,260483,178,178,17,4,0,99,259935,0
0,0,917604,274,274,27,4,0,101,916954,0
0,0,371048,277,277,14,4,0,98,370350,1
0,0,11470,48,48,55,2,0,126,11081,1
0,0,377176,142,142,14,4,0,98,376607,0
0,0,1943209,9,9,28,4,0,57,1942577,0
0,0,7470,269,269,77,4,0,126,6853,1
0,0,76266,279,279,14,4,0,46,75574,1
0,0,21243,15,15,38,4,0,16,20602,1
0,0,605996,239,239,10,4,0,6,605367,1
0,1,340144,413,413,14,4,0,98,339536,0
1,0,862102,242,242,22,3,1,1,861431,0
0,0,1875155,219,219,27,4,0,47,1874526,0
0,0,617680,234,234,10,4,0,15,617066,1
0,0,59685,50,50,56,4,0,76,58891,0
0,0,1611491,330,330,27,4,0,122,1610868,0
0,0,31626,357,357,83,4,0,22,31012,0
0,0,67780,415,415,14,4,0,31,67067,0
0,0,430625,13,13,16,4,0,133,430509,0
0,0,288480,176,176,17,4,0,99,287506,0
0,0,1187163,346,346,22,4,0,168,1186465,0
0,0,1200244,312,312,28,4,0,57,1199621,0
0,0,18926,390,390,92,4,0,151,18276,0
0,0,2115566,26,26,28,4,0,96,2114982,1
0,0,1109679,316,316,28,4,0,96,1109041,1
0,0,1559,52,52,57,4,0,41,987,1
0,0,413954,418,418,28,4,0,17,413337,0
0,0,128464,416,416,14,2,0,7,128075,0
0,0,1139142,315,315,28,4,0,57,1138561,1
0,0,462219,364,364,22,4,0,115,461563,1
0,0,1348,168,168,67,4,0,41,512,1
0,0,1344856,199,199,21,4,0,123,1344239,0
0,0,190891,67,67,14,4,0,98,190256,1
0,0,3660,196,196,68,4,0,41,3085,1
0,0,1001979,95,95,28,4,0,165,1001410,0
1,0,1671935,119,119,28,3,1,120,1671336,0
0,0,3008,163,163,46,4,0,143,2760,1
0,0,17644,348,348,80,4,0,155,17072,0
0,0,393310,281,281,30,4,0,10,392783,0
0,0,1025055,192,192,28,4,0,75,1024453,0
0,0,1654543,31,31,27,4,0,150,1654004,1
0,0,11006,14,14,37,4,0,139,10434,1
0,0,1840810,110,110,28,4,0,57,1840178,0
0,0,1182146,313,313,28,4,0,57,1181541,1
0,0,377041,363,363,12,4,0,25,376496,1
0,0,398667,249,249,16,4,0,23,398035,0
0,0,1235855,188,188,28,2,0,96,1235211,1
0,0,1806636,337,337,28,4,0,146,1806064,0
0,0,7249,54,54,57,4,0,41,6641,0
0,0,452612,282,282,28,4,0,96,451995,0
0,0,425782,140,140,14,2,0,46,425384,0
0,0,1121,2,2,32,4,0,162,531,0
0,0,725245,151,151,22,4,0,116,724664,1
0,0,7534,343,343,79,2,0,148,7151,0
0,0,14571,377,377,50,4,0,101,14272,0
0,0,244449,289,289,16,4,0,119,243556,0
0,0,622513,27,27,28,4,0,96,621803,0
0,0,261062,175,175,14,4,0,31,260553,0
0,0,253089,179,179,17,4,0,21,252442,0
0,0,305429,372,372,24,4,0,9,304515,0
1,0,690105,148,148,22,3,1,55,689434,0
0,0,22995,305,305,14,2,0,56,22609,1
0,0,47042,80,80,14,4,0,31,46335,1
0,0,6670,228,228,69,4,0,41,6140,1
0,0,467996,365,365,22,4,0,163,467418,0
0,0,1079,127,127,62,2,0,76,750,0
0,1,1784731,333,333,28,4,0,146,1784156,1
0,0,1392058,308,308,28,4,0,165,1391459,0
0,0,170789,69,69,14,4,0,31,170208,1
1,0,44727,395,395,93,3,1,66,44119,1
1,0,978860,276,276,27,1,1,117,978390,0
0,0,7294,262,262,75,4,0,41,6638,0
0,0,9111,131,131,63,2,0,76,8734,0
0,0,633393,82,82,11,4,0,59,632488,1
0,0,2852,17,17,40,4,0,35,2211,0
0,0,1610144,115,115,28,4,0,75,1609563,0
0,0,219644,71,71,14,4,0,53,218985,1
0,0,873,5,5,35,4,0,32,262,1
0,0,462632,139,139,4,4,0,97,462006,0
0,0,1707,378,378,85,4,0,87,1054,0
0,0,555039,78,78,7,4,0,78,554104,0
0,0,897457,273,273,27,4,0,60,896894,0
0,0,522983,293,293,10,4,0,6,522417,1
0,0,930600,243,243,22,4,0,168,929947,1
0,0,459742,250,250,16,4,0,26,459083,0
0,0,8892,376,376,50,4,0,4,8245,0
0,0,410431,182,182,15,4,0,63,409799,0
0,0,95645,65,65,2,4,0,111,95094,1
0,0,296809,421,421,4,4,0,97,296102,1
0,0,438791,33,33,3,4,0,143,438168,1
0,0,302673,245,245,16,4,0,45,302005,0
0,0,332148,411,411,14,4,0,98,331510,0
0,0,22912,59,59,58,2,0,130,22523,0
0,0,20624,74,74,43,4,0,67,19953,1
0,0,276224,136,136,22,4,0,81,275592,0
0,0,603114,238,238,10,4,0,15,602248,1
0,0,610905,156,156,4,4,0,135,610333,0
1,0,893116,240,240,22,3,1,11,892445,1
0,0,9993,34,34,41,4,0,127,9376,1
0,0,1448091,89,89,28,4,0,17,1447573,1
0,0,12594,198,198,47,4,0,94,11959,1
0,0,389569,248,248,16,4,0,109,388676,0
0,0,28027,45,45,53,4,0,126,27344,0
0,0,406686,138,138,4,4,0,97,406078,0
0,0,32545,263,263,76,4,0,126,31979,0
1,0,11424,41,41,52,3,1,107,10828,0
0,0,474095,354,354,17,4,0,113,473496,0
1,0,891600,272,272,27,1,1,40,891058,1
0,0,1570983,121,121,28,4,0,96,1570405,1
0,0,487260,202,202,23,4,0,124,486679,1
1,0,28680,129,129,63,3,1,164,27985,0
0,0,478938,102,102,0,4,0,3,478315,0
0,0,1109266,398,398,23,4,0,138,1108595,0
0,0,21792,345,345,79,4,0,39,21193,0
0,0,649380,237,237,10,4,0,6,648745,1
0,0,538452,146,146,22,4,0,117,537880,1
0,0,21840,231,231,71,4,0,130,21079,0
0,0,567898,124,124,19,2,0,62,567485,0
0,0,53116,397,397,93,5,0,36,52718,0
0,0,308712,370,370,16,4,0,26,308044,0
0,0,633183,235,235,10,2,0,95,632827,1
0,0,1591262,331,331,27,4,0,70,1590720,0
0,0,559332,144,144,20,2,0,80,558976,0
0,0,627298,100,100,6,4,0,83,626603,1
0,0,555039,429,429,4,4,0,97,554545,1
0,0,269583,420,420,4,4,0,135,268954,0
1,0,1591401,213,213,26,3,1,129,1590901,0
0,0,1060193,190,190,28,4,0,57,1059636,1
0,0,272757,181,181,17,4,0,21,271798,0
0,0,21892,339,339,78,4,0,52,21179,0
0,0,400683,57,57,3,4,0,157,400036,1
0,0,11825,46,46,53,4,0,126,11139,0
0,0,610947,367,367,22,4,0,168,610288,1
0,0,1183104,325,325,26,4,0,38,1182499,0
0,0,1871216,109,109,28,4,0,17,1870641,0
0,0,1100102,407,407,27,4,0,101,1099440,1
0,0,223254,290,290,16,4,0,23,222562,0
0,0,2130876,105,105,28,4,0,96,2130250,1
0,0,5418,232,232,71,4,0,76,4696,1
0,0,274287,173,173,14,4,0,98,273715,1
0,0,643220,200,200,6,4,0,65,642618,0
0,0,253619,171,171,14,4,0,31,252897,0
0,0,174019,66,66,14,4,0,46,173294,1
0,0,33533,391,391,92,4,0,147,32910,1
0,0,66227,302,302,1,4,0,120,65685,0
0,0,1038285,191,191,28,4,0,96,1037734,1
0,0,1299223,186,186,28,4,0,96,1298663,0
0,0,549268,75,75,7,4,0,159,548651,0
0,0,1790185,220,220,27,4,0,33,1789544,1
0,0,110877,155,155,2,5,0,161,110344,1
0,0,70385,299,299,15,4,0,158,69732,0
0,0,375323,426,426,4,4,0,128,374682,1
0,1,1894275,111,111,28,4,0,28,1893637,1
0,0,48963,358,358,83,4,0,104,48349,0
0,0,63431,64,64,59,4,0,126,62859,0
0,0,563485,94,94,20,2,0,18,563114,0
1,0,1947,16,16,39,3,1,140,1330,1
0,1,849658,24,24,27,4,0,122,849029,1
0,0,17246,267,267,76,4,0,41,16593,0
0,0,11667,260,260,74,4,0,41,10975,1
0,0,1192370,314,314,28,4,0,160,1191744,1
0,0,789660,150,150,22,4,0,58,789061,1
0,0,484940,355,355,17,4,0,50,484143,0
0,0,551183,227,227,19,2,0,161,550740,0
0,0,1665163,30,30,27,4,0,150,1664528,0
0,0,15815,361,361,83,4,0,49,15231,0
0,0,423275,204,204,23,4,0,5,422700,0
0,0,50225,396,396,93,4,0,101,49587,0
0,0,23909,362,362,83,4,0,141,23259,0
0,0,1935320,216,216,27,4,0,122,1934724,0
0,0,1439745,90,90,28,4,0,57,1439215,1
0,0,1646736,214,214,26,4,0,19,1646206,0
0,0,5356,350,350,82,4,0,134,4736,1
0,0,281837,180,180,17,4,0,99,281250,0
0,0,217404,23,23,16,4,0,23,216745,0
0,0,431207,427,427,4,4,0,144,430704,0
0,0,565167,382,382,20,2,0,80,564760,0
0,0,4939,7,7,33,4,0,1,4241,1
0,0,497547,252,252,16,4,0,23,496699,0
0,0,2159962,326,326,27,4,0,70,2159390,0
0,0,1722444,338,338,25,4,0,21,1721857,1
1,0,210445,135,135,11,3,1,42,209840,1
0,0,636879,159,159,4,4,0,128,636250,1
0,0,2103139,221,221,28,4,0,57,2102468,1
0,0,211634,419,419,0,5,0,8,211245,0
0,0,34921,268,268,77,4,0,126,34262,1
0,0,1578872,120,120,28,4,0,17,1578312,0
0,0,596495,160,160,4,4,0,135,595866,0
0,0,9539,197,197,47,4,0,94,8904,1
0,0,491431,296,296,10,4,0,6,490859,1
0,0,465000,353,353,17,4,0,2,464038,0
0,0,283286,425,425,4,4,0,135,282588,0
0,0,1863,44,44,53,4,0,130,1279,0
1,0,1337715,211,211,26,3,1,30,1337152,0
0,0,10499,39,39,51,2,0,93,10110,1
0,0,6256,130,130,63,2,0,130,5888,0
0,0,77237,61,61,58,4,0,130,76545,0
0,0,1685667,117,117,28,0,0,160,1685527,0
0,0,566496,297,297,10,4,0,132,565864,1
0,0,1212108,311,311,28,4,0,17,1211533,0
0,0,8071,393,393,92,4,0,86,7124,1
0,0,631273,158,158,4,4,0,97,630704,1
0,0,1357417,310,310,28,4,0,146,1356881,1
0,0,1413348,210,210,26,4,0,13,1412725,1
0,0,897652,241,241,22,4,0,163,897068,0
0,0,102031,0,0,2,4,0,103,101630,1
0,0,460277,283,283,28,4,0,57,459570,0
0,0,542828,291,291,10,4,0,6,542232,1
0,0,2082607,36,36,28,4,0,57,2081918,1
0,0,673589,185,185,27,4,0,12,672981,1
0,0,262590,287,287,16,4,0,131,261997,0
0,0,1069989,194,194,28,4,0,57,1069351,0
0,0,54130,400,400,94,4,0,51,53294,1
0,0,238595,172,172,14,4,0,31,237978,1
0,0,2039757,328,328,27,4,0,169,2039173,1
0,0,55031,266,266,76,4,0,130,54300,0
0,0,42738,392,392,92,4,0,86,42403,1
0,0,698962,97,97,28,4,0,96,698387,1
0,0,1037760,369,369,22,4,0,168,1037092,1
0,0,510533,431,431,5,4,0,43,509916,0
0,0,1653046,113,113,28,4,0,57,1652444,1
0,0,602022,161,161,4,4,0,144,601444,0
0,0,9693,360,360,83,4,0,141,9067,0
0,0,331967,153,153,16,4,0,133,331098,0
0,0,57983,63,63,59,4,0,130,57381,1
0,0,488252,251,251,16,4,0,131,487683,0
0,0,152203,402,402,94,4,0,91,151562,0
0,0,7816,169,169,67,4,0,126,6941,1
0,0,473006,253,253,16,4,0,133,472107,0
0,0,8984,256,256,72,4,0,76,8412,1
0,0,296422,244,244,16,4,0,133,295724,0
0,0,786,373,373,84,4,0,34,88,0
0,0,521226,208,208,6,4,0,112,520573,0
0,0,1896,255,255,72,4,0,76,1198,1
0,0,433446,205,205,23,4,0,5,432955,0
0,0,297265,224,224,3,4,0,157,296609,0
0,0,421453,417,417,28,4,0,160,420860,0
0,0,10738,164,164,66,4,0,130,10142,1
0,0,422988,183,183,15,4,0,63,422386,0
0,0,739582,271,271,27,4,0,70,738989,0
0,0,741926,201,201,16,4,0,45,741234,0
0,0,2021354,37,37,28,4,0,17,2020752,1
1,0,22510,55,55,42,3,1,157,21845,0
0,0,12963,341,341,78,4,0,52,12349,0
0,0,1279824,189,189,28,4,0,17,1279111,1
0,0,2141017,327,327,27,4,0,47,2140400,0
0,0,203566,70,70,14,2,0,56,203195,1
0,0,641268,236,236,10,4,0,132,640657,1
1,0,1773473,334,334,28,3,1,120,1772775,1
0,0,537100,292,292,10,4,0,6,536468,1
0,0,3185,162,162,65,4,0,126,2544,1
0,0,1094415,318,318,28,4,0,57,1093786,1
0,0,548259,143,143,20,2,0,72,547909,0
0,0,4704,229,229,70,4,0,126,4066,0
0,0,55203,81,81,14,4,0,31,54550,0
0,0,288418,223,223,3,4,0,110,287768,0
0,0,165971,19,19,9,4,0,1,165327,0
0,0,627125,85,85,11,4,0,170,626559,1
0,0,606832,86,86,27,4,0,47,606242,0
0,0,11303,51,51,56,4,0,76,10641,1
0,0,661517,1,1,10,4,0,6,660867,1
