Strand_Orientation,Chromosome_Id,Genomic_Start_Position,Gene_Label,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
0,78,15472,343,4,343,16035
1,14,301183,284,4,284,301818
1,36,5631,11,4,11,6125
0,7,578253,78,4,78,578960
0,27,1664528,30,4,30,1665163
1,22,537880,148,4,148,538452
0,16,277617,249,4,249,278450
0,16,472107,259,4,259,473006
0,66,15977,168,4,168,16573
0,44,691,126,4,126,1236
1,28,2152117,107,4,107,2152710
0,16,750414,204,4,204,750998
1,10,497083,299,4,299,497850
1,11,652923,85,4,85,653543
1,28,698387,98,4,98,698962
1,14,350453,414,2,414,350824
1,10,583626,135,4,135,584282
0,14,425384,144,2,144,425782
0,26,1182499,327,4,327,1183104
0,94,160181,403,4,403,160801
0,60,10210,105,3,105,10872
1,30,411981,286,4,286,412598
1,10,513441,298,4,298,514088
1,10,666332,4,4,4,667099
0,16,243556,293,4,293,244449
0,16,222562,294,4,294,223254
0,17,259935,179,4,179,260483
0,28,1069351,197,4,197,1069989
1,10,197730,43,4,43,198335
1,28,1242540,190,4,190,1243238
0,23,1108595,398,4,398,1109266
0,89,5628,387,4,387,6197
1,14,38181,80,4,80,38888
0,27,2159390,328,4,328,2159962
0,28,1420101,92,4,92,1420673
1,29,388043,198,2,198,388432
0,58,70109,60,4,60,70633
0,49,10535,374,4,374,11230
1,27,672981,188,4,188,673589
0,28,1677395,119,4,119,1677970
0,50,5141,375,4,375,5761
0,27,1874526,224,4,224,1875155
1,4,310645,422,4,422,311313
1,14,273715,175,4,175,274287
0,23,432955,209,4,209,433446
1,88,35961,385,4,385,36542
0,6,540331,104,4,104,541203
1,12,374536,123,4,123,375081
1,27,1133424,408,4,408,1134002
1,28,1480762,94,4,94,1481322
0,26,1260970,326,3,326,1261581
1,33,1236,6,4,6,1739
0,14,404699,143,4,143,405277
1,26,1580900,219,4,219,1581481
1,48,1612,290,4,290,2442
1,4,327337,424,4,424,327963
0,28,1410949,22,4,22,1411596
0,17,252442,180,4,180,253089
0,27,896894,278,4,278,897457
1,14,358038,283,2,283,358436
1,55,11081,48,2,48,11470
1,14,370350,282,4,282,371048
0,28,1942577,9,4,9,1943209
1,77,6853,274,4,274,7470
1,14,75574,285,4,285,76266
1,38,20602,14,4,14,21243
1,10,605367,244,4,244,605996
0,14,331510,411,4,411,332148
0,22,844098,368,3,368,844685
1,27,1789544,225,4,225,1790185
1,10,617066,239,4,239,617680
0,56,58891,50,4,50,59685
0,27,1590720,332,4,332,1591262
0,83,31012,357,4,357,31626
0,14,67067,415,4,415,67780
0,16,424565,254,4,254,425359
0,17,281250,181,4,181,281837
0,22,1169145,348,4,348,1169771
0,28,1199621,315,4,315,1200244
0,92,18276,390,4,390,18926
1,28,2114982,26,4,26,2115566
1,28,1093786,320,4,320,1094415
1,57,987,52,4,52,1559
1,28,394403,42,4,42,395098
0,14,128075,416,2,416,128464
1,28,1138561,318,4,318,1139142
0,22,384969,21,3,21,385637
1,67,512,170,4,170,1348
0,20,567310,381,2,381,567879
1,14,190256,67,4,67,190891
1,68,3085,199,4,199,3660
1,28,755460,100,4,100,756041
0,28,1671336,120,3,120,1671935
1,46,2760,166,4,166,3008
0,80,17072,349,4,349,17644
0,30,392783,287,4,287,393310
0,28,1001410,96,4,96,1001979
0,27,1610868,331,4,331,1611491
1,37,10434,13,4,13,11006
0,28,1840178,111,4,111,1840810
1,28,1181541,316,4,316,1182146
1,12,376496,363,4,363,377041
0,16,388676,255,4,255,389569
1,28,1235211,191,2,191,1235855
0,28,1806064,338,4,338,1806636
0,57,6641,54,4,54,7249
0,28,420860,417,4,417,421453
0,14,410251,145,2,145,410649
0,32,531,2,4,2,1121
0,22,689434,151,3,151,690105
0,79,7151,344,2,344,7534
0,50,14272,377,4,377,14571
0,16,237338,291,4,291,237931
0,28,614912,17,4,17,615493
0,14,252897,173,4,173,253619
0,17,243160,183,4,183,244194
0,23,1175530,399,4,399,1176204
1,22,668282,152,4,152,668902
1,14,22609,308,2,308,22995
1,14,46335,81,4,81,47042
1,69,6140,233,4,233,6670
1,22,461563,364,4,364,462219
0,62,750,129,2,129,1079
1,28,1784156,334,4,334,1784731
0,28,1391459,311,4,311,1392058
1,14,170208,69,4,69,170789
1,93,44119,395,3,395,44727
0,27,916954,279,4,279,917604
0,75,6638,267,4,267,7294
0,63,8734,133,2,133,9111
1,11,632488,83,4,83,633393
0,40,2211,16,4,16,2852
0,28,1609563,116,4,116,1610144
1,14,218985,72,4,72,219644
1,35,262,5,4,5,873
0,4,462006,142,4,142,462632
0,85,1054,378,4,378,1707
0,7,554104,79,4,79,555039
1,27,891058,277,1,277,891600
1,10,522417,297,4,297,522983
0,22,897068,246,4,246,897652
0,16,444747,136,4,136,445439
0,50,8245,376,4,376,8892
0,15,406639,186,4,186,407298
1,2,95094,65,4,65,95645
1,4,296102,421,4,421,296809
1,3,438168,33,4,33,438791
0,16,295724,250,4,250,296422
1,14,311224,412,2,412,311595
0,58,22523,59,2,59,22912
1,43,19953,75,4,75,20624
0,22,261515,38,4,38,262228
1,10,602248,243,4,243,603114
0,4,610333,159,4,159,610905
0,22,861431,247,3,247,862102
1,41,9376,34,4,34,9993
1,28,1447573,90,4,90,1448091
1,47,11959,201,4,201,12594
0,16,367096,157,4,157,367683
0,53,27344,45,4,45,28027
0,4,406078,141,4,141,406686
0,76,31979,268,4,268,32545
0,52,10828,41,3,41,11424
0,17,464038,354,4,354,465000
1,27,873739,280,3,280,874302
1,28,1570405,122,4,122,1570983
0,23,455483,323,4,323,456160
0,63,27985,131,3,131,28680
0,0,478315,103,4,103,478938
1,23,494134,206,4,206,494817
0,79,21193,346,4,346,21792
1,10,648745,242,4,242,649380
0,22,498789,366,3,366,499409
0,71,21079,236,4,236,21840
0,19,550740,232,2,232,551183
0,93,52718,397,5,397,53116
0,16,302005,251,4,251,302673
1,10,632827,240,2,240,633183
0,27,1148204,410,4,410,1148872
0,20,547909,146,2,146,548259
1,6,626603,101,4,101,627298
1,4,554545,429,4,429,555039
0,4,268954,420,4,420,269583
0,26,1586741,216,4,216,1587490
1,28,1037734,194,4,194,1038285
0,17,265723,178,4,178,266589
0,78,21179,340,4,340,21892
1,3,400036,57,4,57,400683
0,53,11139,46,4,46,11825
1,22,563632,150,4,150,564291
1,25,1721857,339,4,339,1722444
0,28,1870641,110,4,110,1871216
1,27,1080440,406,4,406,1081012
0,16,216745,23,4,23,217404
1,28,2130250,106,4,106,2130876
1,71,4696,237,4,237,5418
0,14,266226,176,4,176,266951
0,6,642618,203,4,203,643220
1,14,237978,174,4,174,238595
1,14,173294,66,4,66,174019
1,92,32910,391,4,391,33533
0,1,65685,305,4,305,66227
1,28,1032121,195,4,195,1032696
0,28,1298663,189,4,189,1299223
0,7,548651,76,4,76,549268
0,27,1738420,28,3,28,1738968
1,2,110344,158,5,158,110877
1,15,43754,304,3,304,44362
1,4,374682,426,4,426,375323
1,28,1893637,112,4,112,1894275
0,83,48349,358,4,358,48963
0,59,62859,64,4,64,63431
0,20,558976,147,2,147,559332
1,39,1330,15,3,15,1947
1,27,807330,25,3,25,807869
0,76,16593,272,4,272,17246
1,74,10975,265,4,265,11667
1,28,1191744,317,4,317,1192370
0,22,777242,153,4,153,777907
0,17,473496,355,4,355,474095
0,19,548190,231,2,231,548591
1,27,1654004,31,4,31,1654543
0,83,15231,361,4,361,15815
1,23,416753,208,4,208,417430
0,93,49587,396,4,396,50225
0,83,23259,362,4,362,23909
0,27,1885670,223,4,223,1886263
1,28,1439215,91,4,91,1439745
0,26,1627475,217,4,217,1628056
1,82,4736,351,4,351,5356
0,17,271798,182,4,182,272757
0,15,422386,185,4,185,422988
0,4,430704,427,4,427,431207
0,20,563114,95,2,95,563485
1,33,4241,7,4,7,4939
0,16,487683,257,4,257,488252
0,27,2140400,329,4,329,2141017
0,24,304515,372,4,372,305429
1,11,209840,138,3,138,210445
1,4,636250,162,4,162,636879
1,28,2102468,226,4,226,2103139
0,0,211245,419,5,419,211634
1,77,34262,273,4,273,34921
0,28,1578312,121,4,121,1578872
0,4,595866,163,4,163,596495
1,47,8904,200,4,200,9539
1,10,490859,300,4,300,491431
0,17,458125,353,4,353,458814
0,4,282588,425,4,425,283286
0,53,1279,44,4,44,1863
1,26,1306226,213,4,213,1306828
1,51,10110,39,2,39,10499
0,63,5888,132,2,132,6256
0,58,76545,61,4,61,77237
0,28,1685527,118,0,118,1685667
1,10,565864,301,4,301,566496
0,28,1211533,314,4,314,1212108
1,92,7124,393,4,393,8071
1,4,630704,161,4,161,631273
1,28,1356881,313,4,313,1357417
0,26,1337152,215,3,215,1337715
1,22,892445,245,3,245,893116
1,2,101630,0,4,0,102031
0,28,451995,288,4,288,452612
1,10,542232,295,4,295,542828
1,28,2081918,36,4,36,2082607
1,27,631654,87,4,87,632235
0,16,252895,292,4,292,253563
1,28,1059636,193,4,193,1060193
1,94,53294,400,4,400,54130
1,14,225092,70,3,70,225709
0,27,2015537,330,4,330,2016292
0,76,54300,271,4,271,55031
1,92,42403,392,4,392,42738
0,28,682675,99,4,99,683253
1,22,929947,248,4,248,930600
0,5,509916,431,4,431,510533
1,28,1652444,114,4,114,1653046
0,4,601444,164,4,164,602022
0,83,9067,360,4,360,9693
0,16,325122,371,4,371,325661
1,59,57381,63,4,63,57983
0,16,481446,260,4,260,482096
0,94,151562,402,4,402,152203
1,67,6941,171,4,171,7816
0,16,459083,256,4,256,459742
1,72,8412,262,4,262,8984
0,16,284026,252,4,252,285006
0,84,88,373,4,373,786
0,6,520573,212,4,212,521226
1,72,1198,261,4,261,1896
0,23,422700,207,4,207,423275
0,3,296609,229,4,229,297265
0,28,413337,418,4,418,413954
1,66,10142,167,4,167,10738
0,15,409799,184,4,184,410431
1,27,716974,275,4,275,717564
0,16,496699,258,4,258,497547
1,28,2020752,37,4,37,2021354
0,42,21845,55,3,55,22510
0,78,12349,342,4,342,12963
1,28,1279111,192,4,192,1279824
1,27,2089832,220,3,220,2090413
1,14,203195,71,2,71,203566
1,10,640657,241,4,241,641268
1,28,1772775,335,3,335,1773473
1,10,536468,296,4,296,537100
1,65,2544,165,4,165,3185
0,28,1077559,196,4,196,1078119
0,19,567485,125,2,125,567898
0,70,4066,234,4,234,4704
0,14,54550,82,4,82,55203
0,3,287768,228,4,228,288418
0,9,165327,19,4,19,165971
1,11,626559,86,4,86,627125
0,26,1646206,218,4,218,1646736
1,56,10641,51,4,51,11303
1,10,660867,1,4,1,661517
