Strand_Orientation,Chromosome_Id,Genomic_Start_Position,Gene_Label,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
0,86,3,65,1,65,6144
1,35,20812,120,1,120,31191
0,116,2,192,2,192,7954
1,28,219184,213,1,213,229560
0,39,563645,14,1,14,571102
1,13,59128,217,1,217,69531
0,87,2601,67,1,67,13163
0,74,733,21,1,21,5956
1,101,1776,133,3,133,12287
1,61,1030,0,0,2,7614
1,52,44338,125,1,125,54831
0,51,2360422,163,1,163,2370774
1,119,30197,197,1,197,40663
1,27,14646,102,1,102,24830
1,51,69342,207,3,207,79790
1,30,55971,127,2,127,64484
1,54,117557,147,3,147,127990
1,9,28143,186,1,186,32850
0,15,204667,54,1,54,207695
1,13,25871,216,1,216,36235
1,79,5925,32,1,32,11492
1,46,1224493,177,3,177,1233807
0,22,20468,75,1,75,30892
1,32,50482,6,1,6,54812
0,52,306168,49,1,49,311779
1,59,43286,203,1,203,53674
1,18,14486,77,1,77,21015
0,108,1,153,2,153,5481
1,66,3028,23,3,23,9243
1,42,78604,117,1,117,89016
0,12,565420,142,3,142,574518
1,117,16665,193,3,193,27113
1,45,60752,82,1,82,71128
0,51,337195,84,1,84,347622
0,0,54806,22,1,22,65194
1,99,4680,121,3,121,15047
0,33,232769,167,1,167,243214
0,82,31758,37,1,37,42086
0,80,4143,33,2,33,11147
1,33,14689,169,1,169,22103
0,15,231410,159,2,159,239506
0,25,208664,3,3,3,217558
0,48,1038856,61,1,61,1049310
0,69,3,116,1,116,8611
0,82,51870,38,1,38,62219
0,73,1460,17,1,17,11755
0,8,576509,45,1,45,586972
1,119,78117,198,1,198,88568
1,96,2115,99,3,99,11231
0,12,613279,90,1,90,623676
1,111,1098,175,1,175,11537
0,4,494840,11,1,11,505288
0,36,770171,126,1,126,780586
1,13,147781,214,1,214,158064
1,52,7990,195,2,195,12312
0,50,1342479,106,1,106,1352921
1,52,348857,97,2,97,353296
0,81,4539,34,1,34,13465
0,43,1137248,122,1,122,1147531
0,25,584655,50,3,50,595061
0,41,1038261,138,1,138,1048694
1,38,206012,9,3,9,214744
0,114,3,189,2,189,3341
1,90,1,73,1,73,7213
1,27,217409,35,1,35,225073
0,92,2,79,1,79,5392
0,26,600223,141,1,141,610602
0,18,541838,151,1,151,548110
0,68,36631,60,3,60,47046
0,49,2011656,5,2,5,2017022
0,17,556376,202,3,202,566844
1,37,33702,24,1,24,39653
1,84,1,55,1,55,5905
0,49,1014285,200,3,200,1020605
1,12,6891,69,1,69,17336
0,88,7666,70,1,70,18048
1,85,9304,57,1,57,19647
0,29,789632,187,1,187,796416
0,16,242332,210,1,210,252780
0,72,7759,16,1,16,18102
0,65,352,10,3,10,8750
0,10,222871,209,1,209,230403
0,18,628055,172,1,172,638425
1,32,26002,15,2,15,34341
0,91,2,74,2,74,5467
1,103,4479,135,3,135,14711
1,67,1,26,1,26,5231
1,50,1291027,104,1,104,1301475
0,18,531839,47,1,47,536745
0,46,1340908,152,3,152,1351353
1,57,100946,18,1,18,107347
1,77,2,28,2,28,5029
1,3,71676,162,1,162,82139
1,33,529028,113,2,113,534898
1,23,91272,81,2,81,97751
0,40,1018586,20,1,20,1028641
0,1,53935,98,1,98,64329
1,93,2,80,2,80,6046
1,33,353619,59,1,59,364064
0,20,494255,103,1,103,501262
1,50,1382515,105,1,105,1392969
0,29,726108,224,3,224,736142
0,71,2987,158,1,158,13390
0,14,625292,96,1,96,635740
1,104,3,136,2,136,6239
0,6,500484,220,1,220,510863
0,51,277652,208,1,208,288082
1,64,1905,8,1,8,12200
0,105,1726,140,2,140,7785
0,33,765552,132,1,132,775910
0,31,418893,124,1,124,424985
1,30,5433,87,3,87,11317
1,38,478468,86,1,86,487135
0,22,646543,154,1,154,656937
0,31,396354,72,2,72,400877
0,7,480062,110,1,110,490459
1,10,178087,129,1,129,188433
1,24,24017,144,1,144,34480
1,31,71757,29,2,29,76316
1,39,11901,223,1,223,22220
0,10,497998,157,1,157,508446
1,50,1674489,56,1,56,1684949
1,28,61794,146,1,146,72152
1,118,1,194,1,194,7036
1,41,30431,92,3,92,40882
1,102,1858,134,3,134,12411
0,83,890,48,1,48,6131
1,112,1,178,3,178,8139
0,98,3,111,1,111,3514
1,26,556752,143,1,143,563694
0,95,2,91,2,91,3034
0,23,131411,51,2,51,138943
1,33,589645,181,1,181,600090
0,21,646334,88,1,88,656716
0,111,45617,176,1,176,56068
0,51,2335691,164,1,164,2345983
1,57,13649,53,1,53,19621
1,56,21774,93,3,93,25728
1,51,50520,206,1,206,60872
0,23,688299,83,1,83,698669
0,19,535076,221,1,221,545365
1,89,1,71,3,71,6309
0,100,3,128,3,128,7511
0,11,566630,182,1,182,572820
0,50,1200861,161,1,161,1211309
1,58,43140,30,1,30,53597
1,104,18715,137,1,137,29124
0,47,1838054,41,1,41,1848415
0,38,892584,95,1,95,902706
1,49,42064,43,3,43,52443
1,33,27714,168,1,168,34912
0,30,675331,118,1,118,685626
1,76,1581,27,3,27,11957
1,36,21127,76,1,76,31572
1,121,4158,204,1,204,12152
1,11,91621,44,1,44,102066
1,56,356759,62,3,62,364951
1,28,103,145,2,145,6015
1,33,561022,180,3,180,571446
0,113,3,185,3,185,9497
0,33,321641,166,1,166,332104
