Gene_Classification,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,353296,96,2,0,51,348857,1
0,7476,0,2,0,59,127,0
0,21015,75,1,0,18,14486,1
0,5481,154,2,0,109,1,0
0,5231,26,1,0,66,1,1
0,78745,63,1,0,43,68291,1
1,574518,141,3,1,12,565420,0
1,27113,193,3,1,118,16665,1
1,647211,115,3,1,46,636820,0
0,802151,14,1,0,50,791817,1
0,65194,21,1,0,0,54806,0
0,6388,122,1,0,100,323,1
1,296067,109,3,1,33,288610,0
0,62219,38,1,0,82,51870,0
0,19188,33,1,0,80,11071,1
0,34912,168,1,0,33,27714,1
0,239506,160,2,0,15,231410,0
1,217558,3,3,1,25,208664,0
1,52443,43,3,1,48,42064,1
0,5929,149,1,0,69,3,0
1,35770,42,3,1,83,25298,1
0,5956,20,1,0,73,733,0
0,586972,45,1,0,8,576509,0
0,88568,198,1,0,120,78117,1
1,13525,107,3,1,97,3143,0
0,623676,89,1,0,12,613279,0
0,11537,174,1,0,112,1098,1
0,505288,12,1,0,4,494840,0
0,39653,24,1,0,37,33702,1
0,158064,214,1,0,13,147781,1
0,54831,125,1,0,51,44338,1
0,1392969,104,1,0,49,1382515,1
0,2345195,165,1,0,51,2334792,0
0,5893,35,1,0,81,1,0
0,1174010,188,2,0,43,1168695,0
1,595061,48,3,1,25,584655,0
0,89016,117,1,0,42,78604,1
0,487135,84,1,0,38,478468,1
0,3341,189,2,0,115,3,0
0,5467,72,2,0,91,2,0
0,225073,34,1,0,27,217409,1
0,6046,78,2,0,93,2,1
0,610602,139,1,0,26,600223,0
0,548110,152,1,0,18,541838,0
0,8611,116,1,0,68,3,0
0,940675,88,1,0,49,930293,1
1,566844,202,3,1,17,556376,0
0,94486,145,1,0,37,84056,1
0,19647,54,1,0,85,9304,1
0,1142692,87,2,0,48,1136952,1
0,17336,67,1,0,12,6891,1
1,6309,69,3,1,89,1,1
0,6144,62,1,0,86,3,0
0,796416,187,1,0,29,789632,0
0,252780,210,1,0,16,242332,0
1,6275,17,3,1,72,3,0
1,9243,23,3,1,65,3028,1
0,230403,209,1,0,10,222871,0
0,638425,171,1,0,18,628055,0
0,54812,6,1,0,32,50482,1
1,5690,77,3,1,92,3,0
0,6239,134,2,0,104,3,1
1,47046,57,3,1,67,36631,0
0,1352921,106,1,0,49,1342479,0
0,536745,47,1,0,18,531839,0
1,1415129,8,3,1,46,1406220,0
0,53597,30,1,0,57,43140,1
0,6877,29,1,0,77,2,0
0,82139,162,1,0,3,71676,1
1,571446,180,3,1,33,561022,1
0,97751,79,2,0,23,91272,1
1,40882,91,3,1,41,30431,1
0,64329,97,1,0,1,53935,0
0,19778,82,1,0,94,9420,0
0,409474,179,1,0,33,399029,1
0,501262,102,1,0,20,494255,0
0,1441553,105,1,0,49,1431102,0
1,736142,224,3,1,29,726108,0
0,18102,16,1,0,71,7759,0
0,635740,95,1,0,14,625292,0
0,29124,135,1,0,104,18715,1
0,510863,220,1,0,6,500484,0
0,347622,83,1,0,50,337195,0
1,8750,11,3,1,64,352,0
1,12299,144,3,1,106,2049,1
0,816094,66,1,0,33,805796,0
0,424985,124,1,0,31,418893,0
1,11317,85,3,1,30,5433,1
0,902706,94,1,0,38,892584,0
0,656937,155,1,0,22,646543,0
0,400877,70,2,0,31,396354,0
0,490459,110,1,0,7,480062,0
0,188433,128,1,0,10,178087,1
0,34480,143,1,0,24,24017,1
0,76316,28,2,0,31,71757,1
0,571102,15,1,0,39,563645,0
0,508446,158,1,0,10,497998,0
0,22907,1,2,0,50,17262,1
0,72152,147,1,0,28,61794,1
0,7036,194,1,0,119,1,1
0,1048694,136,1,0,41,1038261,0
1,14711,133,3,1,103,4479,1
0,5905,53,1,0,84,1,1
1,8139,177,3,1,113,1,1
1,15047,121,3,1,99,4680,1
0,563694,142,1,0,26,556752,1
0,46671,98,1,0,96,36289,1
0,138943,49,2,0,23,131411,0
0,682115,113,1,0,33,675892,0
0,656716,86,1,0,21,646334,0
0,56068,175,1,0,112,45617,0
0,2370774,163,1,0,50,2360422,0
0,107347,18,1,0,56,100946,1
1,364951,59,3,1,55,356759,1
1,79790,207,3,1,50,69342,1
0,698669,81,1,0,23,688299,0
0,545365,221,1,0,19,535076,0
0,7213,71,1,0,90,1,1
1,12287,131,3,1,101,1776,1
0,572820,182,1,0,11,566630,0
0,1301475,103,1,0,49,1291027,1
0,53674,203,1,0,58,43286,1
0,7785,138,2,0,105,1726,0
0,1049310,58,1,0,47,1038856,0
0,22220,223,1,0,39,11901,1
1,934030,201,3,1,48,926063,1
0,243214,167,1,0,33,232769,0
0,685626,118,1,0,30,675331,0
0,5029,27,2,0,76,2,1
0,780586,126,1,0,36,770171,0
0,12152,204,1,0,122,4158,1
0,102066,44,1,0,11,91621,1
0,19621,51,1,0,56,13649,1
0,6015,146,2,0,28,103,1
0,600090,181,1,0,33,589645,1
1,9497,185,3,1,114,3,0
0,364064,56,1,0,33,353619,1
