Strand_Orientation,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,0,77,307939,226,226,0,11,306221
1,0,59,464804,166,166,1,22,462621
1,0,53,1036,15,14,0,64,2
0,0,112,763015,83,82,1,38,760970
0,0,19,547726,136,136,1,7,545198
0,0,117,19404,200,200,0,123,17227
1,0,121,53099,223,223,0,39,50910
1,0,128,2191081,88,87,0,54,2188577
0,0,26,52834,184,184,1,0,50840
1,0,8,13918,123,123,1,106,11750
1,0,31,18062,135,135,1,109,16122
0,0,114,436942,177,177,1,24,434816
1,0,116,34512,91,90,1,98,32440
0,0,124,5683,57,56,0,93,3845
0,0,22,1835456,208,208,1,49,1833030
0,0,19,731499,31,30,1,23,729406
0,0,68,562476,173,173,1,10,560179
0,0,85,560608,181,181,0,16,558551
1,0,26,92121,141,141,0,41,90979
1,0,99,7735,186,186,0,80,5258
0,0,26,2352753,132,132,0,54,2351474
0,0,102,5117,217,217,1,82,2943
1,0,81,120751,187,187,0,3,119534
0,0,16,9642,214,214,0,125,7252
0,0,124,28514,0,111,0,105,26043
1,0,59,1699,86,85,0,8,101
0,0,16,3774,19,18,1,66,1570
0,0,131,468090,39,38,1,2,465892
1,0,61,3637,163,163,0,34,1680
0,0,39,619207,206,206,1,9,617003
0,0,32,369971,61,60,0,56,367785
1,0,64,10067,27,26,1,46,8418
0,0,105,1108,161,161,1,77,1
0,0,124,3468,71,70,0,96,1171
0,0,131,1009265,78,77,0,38,1006986
0,0,95,609450,134,134,1,16,607396
1,0,131,28523,81,80,0,38,26538
1,0,40,2650,26,25,0,35,386
1,0,113,6868,185,185,0,121,4559
1,0,133,50074,190,190,0,3,47909
0,0,63,669243,188,188,1,18,667156
1,0,127,17178,109,108,1,103,14941
1,0,43,4593,2,1,0,17,2230
1,0,107,161779,95,94,0,12,159506
1,0,94,798,167,167,0,79,1
0,0,111,1167843,146,146,1,42,1165567
1,0,79,299939,227,227,1,11,297915
1,0,46,18493,46,45,1,34,16673
1,0,124,5471,139,139,0,112,3207
1,0,49,5333,22,21,0,67,3093
1,0,56,59387,94,93,0,42,57738
0,0,40,477141,199,199,0,7,476586
0,0,124,5583,100,99,0,100,3223
1,0,10,40877,204,204,1,29,40377
0,0,4,175988,212,212,1,21,173664
0,0,80,180595,120,120,0,60,178343
0,0,117,827,14,13,0,63,3
1,0,66,140815,228,228,0,11,140096
1,0,105,16433,194,194,0,81,14709
1,0,23,35613,196,196,1,122,33460
0,0,132,16106,74,73,1,97,14127
0,0,38,194620,126,126,0,55,192110
1,0,41,85349,66,65,0,4,84366
1,0,107,311650,215,215,0,12,309482
0,0,20,703891,73,72,0,23,701787
0,0,124,7225,107,106,0,102,4853
1,0,36,3201,60,59,0,75,2560
1,0,124,17152,138,138,0,111,14774
1,0,96,43304,158,158,0,57,40902
1,0,34,52112,105,104,0,45,49749
1,0,14,2335,170,170,0,12,101
1,0,134,3704,23,22,0,68,1446
1,0,35,12933,114,114,1,40,10912
1,0,105,60946,148,148,1,54,58898
0,0,6,1287,20,19,1,70,1
1,0,124,3133,52,51,0,90,824
0,0,83,23314,236,236,0,2,21104
1,0,131,18709,34,33,0,27,16532
0,0,0,399311,92,91,1,14,397290
1,0,123,66424,233,233,0,36,64094
0,0,125,469090,33,32,1,1,466913
1,0,123,4184,235,235,0,36,1923
0,0,0,754574,175,175,0,26,752403
0,0,44,646569,183,183,0,12,644707
0,0,64,480279,207,207,1,46,478171
0,0,48,636865,80,79,1,20,634829
0,0,120,377705,99,98,0,59,375522
0,0,68,459000,174,174,1,10,456733
0,0,104,703107,150,150,0,22,702547
0,0,82,411395,36,35,1,13,410220
1,0,103,5540,43,42,0,85,3963
0,0,40,526037,38,37,0,3,525222
1,0,115,115059,160,160,0,22,112891
1,0,12,28472,221,221,1,47,26358
1,0,19,3258,211,211,1,124,754
0,0,17,961848,156,156,1,37,959689
1,0,65,16197,179,179,1,120,13717
1,0,124,1669,47,46,0,87,2
1,0,50,113111,168,168,1,15,111105
1,0,60,81116,5,4,0,13,80040
1,0,64,27218,68,67,1,51,24993
0,0,15,2152465,191,191,0,53,2150273
0,0,35,5726,1,0,1,126,3723
1,0,28,1909430,131,131,1,53,1907460
0,0,108,1835184,67,66,0,48,1832923
1,0,95,67187,210,210,1,16,64983
1,0,107,315631,216,216,0,12,313523
1,0,110,6765,193,193,0,81,4204
1,1,124,1518,59,58,0,94,1
0,0,24,477984,153,153,1,5,475453
1,0,71,19107,106,105,1,45,16912
1,0,135,2336,151,151,1,115,3
0,0,18,468765,84,83,1,54,466540
1,0,124,4334,97,96,0,99,1968
1,0,43,71096,140,140,0,41,68619
0,0,126,909502,75,74,0,35,907241
0,0,37,1116077,155,155,1,41,1113876
1,0,106,62927,152,152,1,24,60651
1,0,25,57522,127,127,0,22,55348
0,0,117,1333,16,15,0,65,3
0,0,75,811009,213,213,1,33,808763
0,0,79,1475,3,2,0,127,3
0,0,72,471716,220,220,0,5,470270
0,0,69,2123600,87,86,0,53,2121408
1,0,49,4215,72,71,0,19,1969
0,0,122,252998,133,133,1,28,250869
1,0,124,6479,137,137,0,110,5838
1,0,84,68193,149,149,0,25,66007
