Gene_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Entity_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,6868,187,187,0,120,4559,1
0,50074,192,192,0,3,47909,1
0,487691,32,31,0,18,485538,0
1,17178,111,110,1,102,14941,1
0,669010,136,136,0,16,666635,0
0,2335,174,174,0,12,101,1
0,798,170,170,0,78,1,1
1,1167843,148,148,1,41,1165567,0
0,140815,228,228,0,11,140096,1
1,18493,49,48,1,33,16673,1
0,5471,141,141,0,111,3207,1
0,5333,22,21,0,66,3093,1
0,59387,97,96,0,41,57738,1
0,477141,201,201,0,7,476586,0
0,5583,102,101,0,99,3223,0
1,20192,205,205,1,29,18165,1
1,636865,82,81,1,20,634829,0
0,180595,122,122,0,59,178343,0
0,827,15,14,0,62,3,0
1,122003,229,229,1,11,119982,1
0,16433,196,196,0,80,14709,1
1,35613,198,198,1,121,33460,1
1,16106,76,75,1,96,14127,0
0,194620,128,128,0,54,192110,0
0,85349,68,67,0,4,84366,1
0,303473,216,216,0,12,301437,1
0,49973,27,26,0,23,48072,1
0,7225,109,108,0,101,4853,0
0,3201,62,61,0,74,2560,1
0,17152,140,140,0,110,14774,1
0,43304,161,161,0,56,40902,1
0,52112,107,106,0,44,49749,1
0,316113,226,226,0,11,313945,1
0,3704,23,22,0,67,1446,1
1,12933,116,116,1,39,10912,1
1,60946,150,150,1,53,58898,1
1,1287,20,19,1,69,1,0
0,3133,54,53,0,89,824,1
0,23314,236,236,0,2,21104,0
0,763294,179,179,0,26,761027,0
1,411395,39,38,1,13,410220,0
0,66424,233,233,0,35,64094,1
1,469090,36,35,1,1,466913,0
0,4184,235,235,0,35,1923,1
0,68193,151,151,0,25,66007,1
0,315631,215,215,0,12,313523,1
1,480279,207,207,1,45,478171,0
1,609383,81,80,1,20,607077,0
0,377705,101,100,0,58,375522,0
0,400277,28,27,0,10,398004,0
0,702444,213,213,0,22,701878,0
1,369509,64,63,1,13,367296,1
0,5540,46,45,0,84,3963,1
0,526037,41,40,0,3,525222,0
0,57522,129,129,0,22,55348,1
1,28472,221,221,1,46,26358,1
1,3258,211,211,1,123,754,1
1,961848,157,157,1,36,959689,0
1,16197,181,181,1,119,13717,1
0,1669,50,49,0,86,2,1
1,399311,95,94,1,14,397290,0
0,646569,185,185,0,12,644707,0
1,27218,70,69,1,50,24993,1
0,2152465,193,193,0,52,2150273,0
1,5726,1,0,1,125,3723,0
1,1909430,133,133,1,52,1907460,1
0,1835184,69,68,0,47,1832923,0
0,27070,144,144,0,16,24536,1
0,311650,214,214,0,12,309482,1
0,6765,195,195,0,80,4204,1
0,1518,61,60,0,93,1,1
1,477984,154,154,1,5,475453,0
1,19107,108,107,1,44,16912,1
1,2336,152,152,1,114,3,1
1,468765,87,86,1,53,466540,0
0,4334,99,98,0,98,1968,1
0,71096,142,142,0,40,68619,1
0,909502,77,76,0,34,907241,0
1,1116077,156,156,1,40,1113876,0
1,731499,34,33,1,23,729406,0
0,7491,130,130,0,22,5182,1
0,1333,17,16,0,64,3,0
0,14203,60,59,0,32,11819,1
0,1475,3,2,0,126,3,0
0,471716,220,220,0,5,470270,0
0,2123600,90,89,0,52,2121408,0
1,669243,190,190,1,18,667156,0
0,18709,37,36,0,27,16532,1
0,6479,139,139,0,109,5838,1
0,668634,160,160,0,24,666520,0
