Gene_Subclass,Gene_Type,Genomic_Start_Position,Ortholog_Id,Chromosome_Id,Encoded_Protein_Description,Strand_Orientation,Gene_Db_Id,Genomic_End_Position
1,1,11061,125,131,5,0,178,11717
1,1,1337487,111,47,5,0,196,1338938
0,0,35452,136,38,1,1,30,36096
1,1,55923,1,55,5,1,159,56420
1,1,20007,15,41,5,1,121,20561
1,1,211,33,127,5,0,169,2400
1,1,647,42,121,5,0,140,3058
1,1,31590,78,54,5,1,167,33980
1,1,355485,56,58,5,0,174,358301
0,0,201683,113,59,2,0,79,202126
1,1,83233,59,2,5,1,200,83691
1,1,1031220,18,39,5,0,76,1034156
1,1,390821,128,49,5,1,84,393196
1,1,367493,87,58,5,0,51,368350
1,1,63011,124,43,5,1,97,66037
1,1,2,38,77,5,0,16,877
1,1,2,40,111,5,0,106,1381
1,1,1152030,124,43,5,0,149,1153652
1,1,45168,134,27,5,1,31,45746
1,1,46339,86,13,5,1,232,47107
1,1,33647,123,28,5,1,152,35665
1,1,1445,6,119,5,0,131,2035
1,1,919047,81,36,5,0,67,921959
0,0,1,50,85,2,1,119,282
1,1,902475,78,54,5,0,162,903359
1,1,1112,46,129,5,0,173,3364
1,1,6310,3,99,5,0,62,8634
1,1,3256,45,84,5,0,113,6051
1,1,221369,35,25,5,0,157,223303
1,1,1,10,68,5,0,10,147
1,1,704473,123,28,5,0,36,706956
1,1,14362,27,79,5,1,24,15156
1,1,941918,78,54,5,1,163,944659
1,1,513297,3,5,5,0,237,513917
1,1,45609,53,14,5,1,185,46181
1,1,44094,145,13,5,1,233,46075
1,1,1049748,92,48,5,0,160,1050263
1,1,321,119,132,5,1,180,1991
1,1,6150,26,105,5,1,90,7580
1,1,315381,1,55,5,0,195,317768
0,0,586959,73,19,2,0,70,587282
1,1,10619,9,31,5,1,203,10942
1,1,492,41,75,5,0,17,929
1,1,3546,144,100,5,0,63,6341
1,1,48096,79,17,5,1,213,50252
1,1,748829,126,29,5,0,191,751195
0,0,1968,60,97,0,1,60,2270
1,1,627348,111,47,5,0,211,629366
1,1,606950,74,11,5,0,210,609376
1,1,1362,14,137,5,1,219,2735
1,1,1346,32,48,5,1,227,4117
1,1,4295,36,69,5,0,11,6226
1,1,478592,83,0,5,0,111,481120
1,1,3,39,118,5,0,5,215
1,1,1,69,122,5,1,145,2208
1,1,854629,89,33,5,0,112,857583
1,1,2632,2,110,5,0,103,4959
1,1,38134,38,106,5,1,93,38673
1,1,2181870,1,55,5,1,89,2184398
1,1,818471,6,31,5,0,102,821170
1,1,638082,117,14,5,0,124,640889
1,1,696140,143,23,5,0,74,699100
0,0,2028950,84,52,3,0,141,2029693
1,1,2810,0,93,5,1,46,4564
1,1,692,13,71,5,1,12,1582
1,1,605,66,96,5,0,58,3052
1,1,497942,3,5,5,0,236,498493
1,1,3066,77,139,5,0,223,6017
1,1,2173,133,117,5,1,128,4965
1,1,583600,93,12,5,0,190,585603
1,1,1,85,83,5,1,91,2706
1,1,86623,15,3,5,1,184,89160
1,1,473026,124,43,5,0,99,475584
1,1,618505,145,13,5,0,165,620331
1,1,4936,121,72,5,1,15,6087
1,1,1637255,78,54,5,0,201,1639600
1,1,1,132,76,5,1,2,1686
1,1,7736,22,132,5,1,179,10351
1,1,1397420,21,47,5,0,23,1399795
1,1,650348,76,24,5,0,197,651190
0,0,17345,22,47,1,1,32,17833
1,1,103,125,44,5,1,73,612
1,1,29822,43,134,5,0,205,32383
1,1,68706,87,4,5,1,86,69602
1,1,180932,7,26,5,1,44,182518
1,1,15659,12,115,5,0,120,18217
1,1,87465,65,25,5,0,222,88109
1,1,537914,139,17,5,0,37,540826
1,1,3972,129,128,5,0,172,5666
1,1,267153,4,54,5,0,228,267665
1,1,28311,139,17,5,1,143,28634
1,1,1120731,8,43,5,0,217,1121147
1,1,2,109,125,5,0,161,583
1,1,909,100,81,5,1,39,2783
1,1,66466,6,53,5,1,224,67398
1,1,452610,16,11,5,0,134,453362
1,1,9216,28,112,5,0,107,11981
1,1,933350,62,37,5,0,194,935665
1,1,6119,123,28,5,1,154,9109
1,1,1,49,75,5,0,18,228
0,0,1520,34,78,1,1,20,2248
1,1,576644,29,16,5,0,166,578251
1,1,735,130,94,5,1,56,3080
1,1,42281,99,135,5,0,206,45115
1,1,1,57,109,5,1,101,2190
1,1,412,19,68,5,0,9,922
1,1,518895,129,6,5,0,136,521339
1,1,662509,139,17,5,0,135,663276
1,1,783721,58,30,5,0,69,783875
1,1,22313,82,114,5,0,117,24991
0,0,288,77,88,1,1,216,1238
1,1,3526,13,123,5,1,150,4197
0,0,947,104,70,1,1,0,1066
1,1,1159086,78,54,5,0,96,1161359
1,1,71692,79,17,5,1,214,73875
1,1,5343,15,82,5,0,50,8168
1,1,1840004,71,50,5,0,212,1842055
1,1,38052,110,64,5,1,52,40883
1,1,7402,25,83,5,1,92,9729
1,1,15238,2,102,5,0,80,17064
1,1,519241,59,2,5,0,40,521580
1,1,204852,81,36,5,1,122,207218
1,1,637990,97,20,5,0,118,640440
1,1,103,21,47,5,1,171,957
1,1,502038,29,1,5,0,75,504842
1,1,44981,73,46,5,1,115,45868
1,1,15392,107,35,5,1,55,18211
1,1,103,115,19,5,1,78,963
1,1,769332,134,27,5,0,49,772241
0,0,1097,120,73,2,0,1,1411
1,1,23342,53,14,5,1,189,24472
1,1,35374,1,30,5,1,41,35958
1,1,33176,68,20,5,1,7,34273
1,1,1,5,95,5,0,57,617
1,1,477242,129,6,5,0,137,478396
1,1,389835,126,29,5,0,108,392192
1,1,25624,116,55,5,1,221,28437
1,1,3232,125,138,5,0,220,4194
1,1,13620,21,47,5,1,33,16367
1,1,10472,90,133,5,1,198,13228
1,1,3,48,97,5,1,59,1874
1,1,49106,75,21,5,0,110,51751
0,0,580762,55,19,2,0,238,581031
1,1,183608,48,57,5,0,77,184333
1,1,380155,51,63,5,0,104,382722
1,1,7086,31,140,5,0,229,9773
1,1,8487,51,63,5,1,83,10829
1,1,279111,1,55,5,0,155,281858
1,1,323649,118,22,5,0,105,326018
1,1,109194,147,18,5,0,88,112160
1,1,3,146,92,5,1,45,563
1,1,7165,139,103,5,0,81,8610
1,1,247890,80,9,5,0,175,250640
1,1,1018377,4,54,5,0,164,1020701
1,1,21104,114,126,5,0,168,23344
1,1,55331,44,64,5,1,53,57748
1,1,5580,127,108,5,1,100,7904
0,0,2010699,96,52,3,0,3,2011553
1,1,26201,109,46,5,1,114,26773
1,1,2030554,54,52,5,0,142,2033316
1,1,15195,95,32,5,1,209,15743
1,1,821002,123,28,5,0,215,822273
1,1,15296,72,80,5,0,28,16756
1,1,86619,8,43,5,1,98,88412
1,1,4494,77,141,5,0,234,7310
0,0,586129,70,8,2,0,181,586872
1,1,358083,51,63,5,1,47,360854
1,1,214062,7,26,5,1,64,215357
1,1,251879,81,36,5,1,182,254233
1,1,26184,78,120,5,0,139,26957
1,1,855554,17,34,5,0,132,856711
