Gene_Subclass,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,0,15,44770,25,25,1,50,42977,3,1
0,0,91,18183,233,233,0,139,15433,0,0
1,0,5,5678,127,127,1,122,4257,3,1
0,1,0,655728,167,167,0,18,653962,0,0
0,0,137,33262,308,308,0,44,31331,0,1
0,0,55,791878,120,120,0,37,790079,0,0
1,0,177,760085,242,242,1,33,757590,3,0
0,0,128,1852491,173,173,0,54,1847980,0,0
1,0,179,130785,104,104,1,20,128263,3,0
1,0,78,122539,189,189,1,14,120197,3,1
0,0,120,594892,226,226,0,28,591674,0,0
0,0,53,571445,197,197,0,21,567813,0,0
1,0,114,690966,179,179,1,32,687994,3,0
1,0,79,18751,109,109,1,84,16475,3,1
1,0,76,582823,21,21,1,21,581135,3,0
0,0,180,67475,296,296,0,56,65139,0,1
1,0,78,25743,230,230,1,14,24748,3,1
1,0,109,71114,194,194,1,4,69705,3,1
0,0,121,103187,323,323,0,9,101616,1,0
0,0,62,702008,180,180,0,32,700188,0,0
1,0,16,585311,227,227,1,28,582390,3,0
1,0,154,2325261,42,42,1,59,2323705,3,0
1,0,132,491613,133,133,1,41,488857,3,1
1,0,19,12191,231,231,1,14,9909,3,1
1,0,135,7825,90,90,1,115,5795,3,0
1,0,123,59561,140,140,1,50,57681,3,1
0,0,108,4036,63,63,0,67,1289,0,1
1,0,68,3158,253,253,1,95,408,3,1
0,0,152,1434052,153,153,0,52,1432280,0,0
1,0,84,29749,160,160,1,29,26915,3,1
1,0,177,430057,184,184,1,33,427406,3,0
1,0,71,10910,88,88,1,114,8910,3,0
0,0,164,30562,278,278,0,18,28739,1,1
1,0,109,7313,235,235,1,140,4734,3,0
0,0,60,4216,132,132,0,47,1460,0,1
1,0,185,4679,183,183,1,134,1893,3,0
1,0,2,10460,76,76,1,112,8049,3,1
1,0,83,28755,102,102,1,117,25951,3,1
1,0,129,2892,67,67,1,108,97,3,0
1,0,139,912033,72,72,1,41,909235,3,0
1,0,174,15683,255,255,1,97,12888,3,0
1,0,110,30617,148,148,1,66,28410,3,1
0,0,42,75311,149,149,0,65,73533,0,1
1,0,133,14564,60,60,1,81,12819,3,1
1,0,44,706189,14,14,1,29,704129,3,0
0,0,153,120500,322,322,0,9,118605,0,0
1,0,164,26060,258,258,1,2,23298,3,1
0,0,132,201879,299,299,0,61,200095,0,0
0,0,158,8589,29,29,0,42,6541,0,1
0,0,67,1385359,152,152,0,52,1383590,0,0
1,0,8,688837,87,87,1,26,685982,3,0
0,0,168,54516,93,93,0,41,53479,0,1
1,0,49,1443,19,19,1,71,1,3,1
1,0,111,201254,158,158,1,60,198909,3,0
1,0,87,670094,37,37,1,59,667467,3,0
1,0,93,628364,99,99,1,27,625434,3,0
0,0,50,10587,181,181,0,132,8119,0,1
0,0,16,61849,46,46,0,65,60071,0,1
1,0,52,4799,270,270,1,143,2103,3,0
0,0,2,3597,234,234,0,140,1834,0,0
1,0,31,5025,157,157,1,127,2677,3,1
0,0,120,20670,139,139,0,125,18052,0,1
1,0,22,829858,118,118,1,37,827087,3,0
1,0,15,2071578,163,163,1,58,2068987,3,0
1,0,102,411543,243,243,1,31,408877,3,0
1,0,1,848494,161,161,1,35,847454,3,0
1,0,172,8756,144,144,1,45,5919,3,1
0,0,17,169188,306,306,0,44,166855,0,1
1,0,178,16396,294,294,1,148,13598,3,0
1,0,82,492103,128,128,1,0,489575,3,0
1,0,12,14953,302,302,1,53,12005,3,1
0,0,39,427483,287,287,0,46,425420,0,0
1,0,93,570499,250,250,1,27,567725,3,0
0,0,166,36437,101,101,0,117,35517,0,1
1,0,90,68621,190,190,1,57,67503,3,1
1,0,109,245943,61,61,1,4,244298,3,0
1,0,37,556405,239,239,1,28,554000,3,1
0,0,20,8383,219,219,0,137,7271,0,0
1,0,158,873816,170,170,1,52,871123,3,0
0,0,131,20605,215,215,0,92,20087,1,0
1,0,87,2350211,166,166,1,59,2347587,3,0
1,0,177,14712,221,221,1,93,11650,3,0
1,0,57,14455,89,89,1,114,11690,3,0
0,0,159,1137976,136,136,0,57,1133828,0,0
1,0,84,96498,207,207,1,29,94816,3,1
1,0,113,83774,186,186,1,15,82602,3,1
1,0,63,3538,292,292,1,100,857,3,1
1,0,144,483389,320,320,1,5,481422,3,0
0,0,180,85945,309,309,0,16,83153,0,1
1,0,39,6970,58,58,1,105,4526,3,0
0,0,64,22871,4,4,0,25,21810,0,1
0,0,88,2258,47,47,0,102,3,1,1
0,0,108,728090,36,36,0,30,725151,0,0
0,0,26,1739,12,12,0,72,3,1,1
0,0,121,258722,218,218,0,9,256827,0,0
1,0,4,8963,176,176,1,131,6399,3,1
1,0,27,145152,315,315,1,13,142906,3,1
1,0,105,572075,300,300,1,17,569139,3,0
0,0,150,2028848,178,178,0,56,2027736,2,0
1,0,48,33122,281,281,1,42,30594,3,1
1,0,22,690828,274,274,1,37,688522,3,0
0,0,141,45706,259,259,0,2,43370,0,1
1,0,14,588116,3,3,1,8,586977,3,0
0,0,147,4613,116,116,0,5,1626,0,1
0,0,183,12865,289,289,0,39,9965,0,1
1,0,114,4342,81,81,1,32,1385,3,1
1,0,47,9360,254,254,1,96,6577,3,0
0,0,103,367390,216,216,0,62,364778,1,0
0,0,139,25602,134,134,0,51,22921,0,1
0,0,98,563158,321,321,0,21,560651,0,0
0,0,69,467624,169,169,0,11,464685,0,0
0,0,158,2010044,11,11,0,56,2009265,2,0
0,0,92,1225,52,52,0,79,1,0,1
1,0,29,9553,111,111,1,85,7784,3,0
1,0,132,33240,54,54,1,41,30436,3,1
1,0,43,197559,192,192,1,9,195199,3,1
1,0,155,2762,131,131,1,89,822,3,0
0,0,119,447897,285,285,0,46,446350,1,0
1,0,59,36839,205,205,1,65,34572,3,1
1,0,15,1721524,41,41,1,58,1718519,3,1
0,0,68,21702,59,59,0,106,18811,0,0
1,0,82,517997,130,130,1,0,514713,3,0
1,0,136,1984663,164,164,1,58,1981777,3,0
1,0,104,5794,135,135,1,123,3014,3,0
1,0,95,16034,125,125,1,24,13233,3,0
1,0,149,1133115,269,269,1,52,1130755,3,1
0,0,56,1973,1,1,0,153,3,1,1
1,0,35,1174681,75,75,1,48,1172813,3,0
0,0,107,3158,6,6,0,40,342,0,1
1,0,149,648458,159,159,1,22,645735,3,0
1,0,138,28068,64,64,1,67,25282,3,1
0,0,155,1171911,146,146,0,49,1168945,0,0
0,0,3,2772,318,318,0,13,301,0,1
1,0,19,265804,200,200,1,10,263906,3,0
0,0,5,496864,168,168,0,6,494066,0,0
1,0,87,1626838,107,107,1,59,1624217,3,0
1,0,125,29971,143,143,1,45,27197,3,1
0,0,2,9695,154,154,0,126,7212,0,1
1,0,109,474181,191,191,1,4,471830,3,0
1,0,8,4543,137,137,1,124,1706,3,1
0,0,85,1430611,97,97,0,52,1429409,1,0
1,0,136,2149200,264,264,1,58,2146741,3,0
1,0,85,3014,94,94,1,66,228,3,1
0,0,183,750304,208,208,0,37,747923,0,0
1,0,32,46833,74,74,1,111,44356,3,0
1,0,102,754760,204,204,1,31,752910,3,0
1,0,100,6217,319,319,1,13,3602,3,1
1,0,6,396132,244,244,1,31,393928,3,0
1,0,84,128705,206,206,1,29,127131,3,1
1,0,186,496021,26,26,1,1,493463,3,0
1,0,27,56619,316,316,1,13,53854,3,1
1,0,108,1094,23,23,1,75,159,3,1
0,0,104,117865,211,211,0,2,115973,0,1
0,0,97,6529,156,156,0,36,4547,0,1
1,0,22,174847,193,193,1,9,172793,3,1
1,0,82,12451,175,175,1,130,9695,3,1
0,0,168,6840,284,284,0,145,3826,0,0
1,0,61,1175229,145,145,1,49,1172704,3,0
1,0,112,388046,38,38,1,63,385203,3,0
1,0,116,1182,91,91,1,116,1,3,1
1,0,167,22938,85,85,1,56,21226,3,1
1,0,141,1130391,196,196,1,46,1127446,3,0
1,0,35,11829,32,32,1,48,8980,3,1
1,0,173,4777,18,18,1,70,2027,3,1
0,0,101,7112,282,282,0,144,4374,0,1
1,0,15,1008775,188,188,1,58,1006142,3,0
1,0,81,7245,290,290,1,146,4687,3,1
1,0,80,10610,172,172,1,129,8169,3,1
1,0,74,2272,40,40,1,77,2,3,0
1,0,154,1767155,266,266,1,59,1764399,3,1
1,0,125,905310,39,39,1,45,902803,3,0
0,0,183,729858,199,199,0,37,727477,0,0
1,0,43,214887,305,305,1,9,212992,3,0
0,0,155,34372,2,2,0,50,33320,0,1
0,0,113,38223,30,30,0,43,36197,0,1
1,0,127,27589,108,108,1,83,25172,3,0
1,0,136,2120212,105,105,1,58,2117660,3,0
1,0,25,3783,84,84,1,25,1453,3,1
1,0,124,596370,276,276,1,11,593812,3,0
1,0,82,19819,121,121,1,0,16985,3,1
0,0,8,392186,224,224,0,11,389424,0,0
0,0,115,36463,115,115,0,16,33455,0,1
1,0,141,439193,286,286,1,46,435576,3,0
0,0,108,598524,92,92,0,7,596251,1,0
0,0,184,17724,293,293,0,59,14986,1,1
1,0,33,107280,48,48,1,19,104554,3,0
1,0,116,21022,62,62,1,107,18272,3,1
0,0,21,478312,10,10,0,11,477440,0,0
1,0,156,2982,70,70,1,110,445,3,1
1,0,154,342240,151,151,1,59,339421,3,1
1,0,160,2020967,177,177,1,56,2018517,3,0
1,0,28,68416,260,260,1,2,66416,3,1
0,0,86,1204,126,126,0,88,2,0,0
0,0,51,553364,249,249,0,18,550602,0,0
1,0,154,2360044,13,13,1,59,2358530,3,0
0,0,89,851849,119,119,0,37,849015,0,0
0,0,160,3713,283,283,0,99,2106,1,0
1,0,153,12394,303,303,1,149,9605,3,0
0,0,92,748745,35,35,0,30,745776,0,0
0,0,162,4567,55,55,0,80,1604,0,0
0,0,186,39476,268,268,0,142,36720,0,1
1,0,88,3790,209,209,1,91,806,3,0
1,0,126,58311,298,298,1,57,56848,3,1
0,0,8,645301,275,275,0,11,642806,0,0
1,0,111,7188,124,124,1,121,4384,3,0
1,0,161,458839,16,16,1,11,457553,3,0
0,0,45,811998,312,312,0,40,810235,0,0
1,0,23,26744,325,325,1,43,24147,3,1
0,0,160,968,8,8,0,152,3,0,0
1,0,48,905988,95,95,1,42,903148,3,0
1,0,118,9121,288,288,1,39,6152,3,1
1,0,8,582104,238,238,1,12,579438,3,0
1,0,124,79885,229,229,1,11,77750,3,1
1,0,50,15577,69,69,1,109,12521,3,1
0,0,80,169312,66,66,0,55,166550,0,0
1,0,15,1113039,295,295,1,58,1110685,3,1
0,0,42,531490,33,33,0,3,528650,0,0
1,0,42,15172,112,112,1,86,12569,3,0
1,0,106,710712,198,198,1,37,708220,3,0
1,0,117,351197,217,217,1,62,348939,3,0
1,0,23,56555,324,324,1,43,54387,3,1
1,0,94,6673,232,232,1,139,3815,3,0
0,0,66,31215,301,301,0,68,30121,1,1
1,0,42,4394,68,68,1,109,1644,3,1
1,0,136,2028531,265,265,1,58,2025571,3,0
1,0,60,11733,73,73,1,82,9154,3,0
0,0,148,4119,43,43,0,34,967,0,1
1,0,141,27235,147,147,1,30,24623,3,1
1,0,75,783456,79,79,1,34,780772,3,0
0,0,9,29687,110,110,0,119,27789,0,1
1,0,16,242630,117,117,1,23,239769,3,1
1,0,41,3660,171,171,1,128,874,3,1
1,0,157,106204,279,279,1,18,104012,4,1
0,0,39,1981,297,297,0,101,2,0,0
1,0,61,9934,86,86,1,49,6965,3,1
1,0,37,577397,7,7,1,28,576201,3,0
1,0,36,1820,9,9,1,154,189,3,0
1,0,46,485801,34,34,1,3,483723,3,0
1,3,104,11541,326,326,1,43,8509,3,1
1,0,19,619021,150,150,1,14,617285,3,0
0,0,64,13820,28,28,0,25,12766,0,1
1,0,87,2194888,106,106,1,59,2192474,3,1
0,0,101,47207,80,80,0,113,45534,0,1
1,0,95,639965,256,256,1,24,637563,3,0
