Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position
1,0,8115,172,172,49,5269
1,0,379418,170,170,34,376740
1,0,2047179,185,185,31,2044399
0,0,585177,205,205,23,582301
0,0,475012,142,142,7,472298
0,0,1324430,88,88,32,1322082
0,0,1156973,236,236,31,1154469
1,0,9580,197,197,79,6749
1,0,50888,152,152,20,48174
1,0,1096585,235,235,31,1093946
0,0,758419,45,45,21,756089
0,0,12594,151,151,76,9967
1,0,9089,217,217,85,6579
0,0,45075,125,125,72,42286
1,0,1611964,100,100,30,1609262
0,0,1828534,107,107,31,1825916
1,0,483376,96,96,24,480707
0,0,1865809,105,105,31,1862957
0,0,139709,253,253,1,138117
0,0,290907,118,118,21,288478
0,0,1731005,191,191,29,1728183
1,0,2060220,184,184,31,2057611
0,0,800723,165,165,22,798375
1,0,12158,11,11,43,9363
0,0,21771,83,83,64,19363
0,0,488327,204,204,23,485541
0,0,454333,158,158,15,451748
0,0,262330,243,243,6,259847
0,0,568854,259,259,15,566233
1,0,16377,145,145,74,13513
1,0,180486,35,35,19,177754
0,0,1633076,187,187,31,1630521
0,0,602587,42,42,31,600077
0,0,736453,78,78,23,733583
1,0,1129346,169,169,32,1126764
0,0,20976,57,57,46,18310
0,0,5331,150,150,75,2932
1,0,629809,113,113,13,627020
0,0,1825289,188,188,32,1822929
0,0,590672,258,258,15,588504
1,0,6553,121,121,68,4166
0,0,1169591,223,223,24,1166769
1,0,13678,156,156,3,10931
0,0,468388,67,67,6,465485
0,0,476059,149,149,5,473501
0,0,1251196,181,181,30,1248512
1,0,1007699,207,207,23,1005114
1,0,1147282,168,168,32,1144757
0,0,696919,72,72,23,694046
0,0,1582479,186,186,31,1579936
1,0,221070,141,141,9,218443
0,0,463778,79,79,16,460986
0,0,11062,5,5,39,8450
1,0,1570228,99,99,30,1568267
0,0,280853,63,63,23,278046
0,0,546370,46,46,8,543824
0,0,399549,238,238,16,396772
0,0,57145,56,56,46,54284
0,0,817323,77,77,23,814468
0,0,408107,17,17,5,405750
1,0,60414,227,227,87,57859
1,0,988200,208,208,23,985546
1,0,7898,10,10,42,5274
0,0,245264,48,48,0,242583
0,0,4732,124,124,71,2051
0,0,21506,58,58,62,18858
1,0,23129,127,127,73,20358
0,0,428401,68,68,18,425663
0,0,1014233,135,135,31,1011738
0,0,34218,59,59,62,31414
1,0,2102129,102,102,31,2099463
0,0,15093,157,157,19,12226
0,0,1317329,98,98,30,1314768
1,0,352788,249,249,18,350182
1,0,565683,140,140,6,563344
1,0,10603,7,7,40,7772
1,0,212927,0,0,13,211077
0,0,276688,210,210,24,274223
0,0,652210,95,95,8,649424
1,0,10893,90,90,33,8359
1,0,4709,31,31,57,2067
0,0,119436,255,255,2,116878
1,0,14331,230,230,88,11776
1,0,1650945,12,12,31,1648582
0,0,7054,123,123,70,4541
1,0,456596,16,16,5,453903
1,0,3590,211,211,82,942
0,0,1816759,190,190,32,1814429
1,0,2010450,109,109,32,2008033
1,0,529696,176,176,1,526820
0,0,272153,64,64,23,269451
1,0,423886,65,65,6,421607
1,0,408724,139,139,35,406415
0,0,1036042,117,117,25,1033382
0,0,25731,9,9,41,22858
0,0,35248,51,51,61,32438
1,0,2099,3,3,37,3
0,0,867065,115,115,23,864531
1,0,460231,148,148,13,457457
1,0,2171498,183,183,31,2169063
0,0,783613,76,76,23,780839
1,0,35322,192,192,77,32611
0,0,506933,19,19,23,504105
1,0,41459,219,219,86,38613
0,0,584285,175,175,1,581721
0,0,404953,161,161,15,402317
0,0,16042,111,111,67,13142
1,0,574686,147,147,13,571897
1,0,596823,94,94,8,594229
0,0,71558,154,154,3,69066
0,0,1115182,220,220,24,1112378
0,0,556640,252,252,7,553878
0,0,22835,146,146,74,20457
0,0,65602,25,25,54,62846
0,0,321121,171,171,32,318503
1,0,3099,84,84,65,313
1,0,2201057,54,54,32,2198634
0,0,1882048,104,104,31,1879670
0,0,2065088,101,101,31,2062416
1,0,8030,144,144,74,5538
1,0,54570,28,28,44,51787
1,0,12466,229,229,87,9926
0,0,1745786,13,13,31,1743231
0,0,1189938,225,225,24,1187140
1,0,580806,93,93,8,578836
1,0,565358,82,82,32,563163
1,0,935144,132,132,31,932427
1,0,7331,91,91,48,4482
1,0,156435,34,34,19,153649
1,0,249052,71,71,9,246272
1,0,344245,14,14,0,341906
1,0,194602,248,248,9,191840
0,0,536061,256,256,15,533287
0,0,1851640,106,106,31,1848668
1,0,450835,66,66,6,448496
0,0,14547,21,21,52,12235
0,0,417885,137,137,16,415123
1,0,237391,70,70,9,234584
0,0,7271,23,23,53,4884
0,0,3982,2,2,36,1541
1,0,21057,155,155,3,18763
0,0,388287,239,239,16,385492
0,0,11601,40,40,59,9187
1,0,175571,92,92,28,172800
0,0,110238,228,228,87,107374
0,0,768058,75,75,23,765323
1,0,8573,215,215,84,6039
1,0,7513,4,4,38,4757
1,0,191757,114,114,10,188965
1,0,205713,246,246,9,202903
1,0,1484951,182,182,30,1482129
1,0,880730,134,134,31,877992
1,0,12861,240,240,89,10087
0,0,763632,130,130,31,761305
1,0,1152001,180,180,30,1149578
0,0,171302,231,231,12,169443
1,0,187696,247,247,9,185057
1,0,2180588,53,53,32,2178147
1,0,17047,38,38,45,14579
0,0,222070,178,178,5,219359
0,0,1181628,224,224,24,1179322
1,0,2776,49,49,61,113
1,0,950785,133,133,31,948302
0,0,8596,126,126,72,5819
0,0,24923,61,61,47,22032
0,0,42017,200,200,81,39222
0,0,1200167,194,194,23,1197396
1,0,665447,73,73,23,662586
0,0,316755,120,120,24,314314
1,0,396615,250,250,18,394090
0,0,381075,237,237,16,378301
0,0,2113696,52,52,31,2111357
0,0,255561,18,18,23,253126
1,0,22052,241,241,90,19278
0,0,198843,128,128,5,196225
1,0,775880,131,131,31,773208
0,0,421319,160,160,15,418704
1,0,167573,37,37,19,164778
1,0,11536,33,33,58,9554
1,0,597333,1,1,18,595705
