Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position
0,0,369971,62,63,56,367785
1,0,10067,28,29,46,8418
0,0,1108,164,164,77,1
0,0,3468,72,73,96,1171
0,0,1009265,79,80,38,1006986
0,0,560608,182,182,16,558551
1,0,28523,83,84,38,26538
1,0,2650,25,26,35,386
1,0,6868,186,186,121,4559
1,0,50074,191,191,3,47909
0,0,487691,31,32,18,485538
1,0,17178,110,111,103,14941
0,0,669010,136,136,16,666635
1,0,2335,173,173,12,101
1,0,798,169,169,79,1
0,0,1167843,148,148,42,1165567
1,0,140815,228,228,11,140096
1,0,18493,48,49,34,16673
1,0,5471,141,141,112,3207
1,0,5333,21,22,67,3093
1,0,59387,96,97,42,57738
0,0,477141,200,200,7,476586
0,0,5583,101,102,100,3223
1,0,20192,204,204,29,18165
0,0,636865,81,82,20,634829
0,0,180595,122,122,60,178343
0,0,827,13,14,63,3
1,0,122003,229,229,11,119982
1,0,16433,195,195,81,14709
1,0,35613,197,197,122,33460
0,0,16106,75,76,97,14127
0,0,194620,128,128,55,192110
1,0,85349,67,68,4,84366
1,0,303473,216,216,12,301437
1,0,49973,26,27,23,48072
0,0,7225,108,109,102,4853
1,0,3201,61,62,75,2560
1,0,17152,140,140,111,14774
1,0,43304,160,160,57,40902
1,0,52112,106,107,45,49749
1,0,316113,226,226,11,313945
1,0,3704,22,23,68,1446
1,0,12933,116,116,40,10912
1,0,60946,150,150,54,58898
0,0,1287,19,20,70,1
1,0,3133,53,54,90,824
0,0,23314,236,236,2,21104
0,0,763294,178,178,26,761027
0,0,411395,38,39,13,410220
1,0,66424,233,233,36,64094
0,0,469090,35,36,1,466913
1,0,4184,235,235,36,1923
1,0,68193,151,151,25,66007
1,0,315631,215,215,12,313523
0,0,480279,206,206,46,478171
0,0,609383,80,81,20,607077
0,0,377705,100,101,59,375522
0,0,400277,27,28,10,398004
0,0,702444,213,213,22,701878
1,0,369509,63,64,13,367296
1,0,5540,45,46,85,3963
0,0,526037,40,41,3,525222
1,0,57522,129,129,22,55348
1,0,28472,221,221,47,26358
1,0,3258,210,210,124,754
0,0,961848,157,157,37,959689
1,0,16197,180,180,120,13717
1,0,1669,49,50,87,2
0,0,399311,94,95,14,397290
0,0,646569,184,184,12,644707
1,0,27218,69,70,51,24993
0,0,2152465,192,192,53,2150273
0,0,5726,0,1,126,3723
1,0,1909430,133,133,53,1907460
0,0,1835184,68,69,48,1832923
1,0,27070,144,144,16,24536
1,0,311650,214,214,12,309482
1,0,6765,194,194,81,4204
1,2,1518,60,61,94,1
0,0,477984,154,154,5,475453
1,0,19107,107,108,45,16912
1,0,2336,152,152,115,3
0,0,468765,86,87,54,466540
1,0,4334,98,99,99,1968
1,0,71096,142,142,41,68619
0,0,909502,76,77,35,907241
0,0,1116077,156,156,41,1113876
0,0,731499,33,34,23,729406
1,0,7491,130,130,22,5182
0,0,1333,15,16,65,3
0,0,811009,211,211,33,808763
0,0,1475,2,3,127,3
0,0,471716,220,220,5,470270
0,0,2123600,89,90,53,2121408
0,0,669243,189,189,18,667156
1,0,18709,36,37,27,16532
1,0,6479,139,139,110,5838
0,0,668634,159,159,24,666520
