Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
0,17,11639,198,75,10170
1,95,2202884,185,18,2202237
1,99,1487286,181,17,1486264
1,27,2879,135,62,2091
0,57,12102,220,35,11231
1,5,551759,89,14,550737
1,69,12897,5,24,11857
0,10,878597,143,14,877761
0,6,2640,172,33,1327
1,53,2089274,125,18,2088630
0,38,384191,37,4,383100
1,51,323886,161,11,323095
0,88,571633,48,7,570836
0,96,684782,58,19,683826
0,95,914563,157,18,913814
0,0,31139,62,48,29922
0,78,1247221,180,17,1246121
1,78,1222996,107,19,1222181
0,5,290434,82,14,289571
0,62,1049347,134,14,1048619
1,54,36628,46,28,35402
1,15,1131697,171,19,1130438
0,81,31870,222,37,31118
1,25,295086,101,12,293887
1,10,946792,6,14,945539
0,61,2901,221,36,1762
0,99,1639752,124,17,1638709
0,59,644758,118,6,643769
1,89,17814,236,80,16873
1,23,826530,13,18,825718
0,50,335,10,25,3
1,63,7239,184,0,5971
0,40,41030,153,68,39978
0,0,19059,168,72,18244
0,97,1188618,194,14,1187623
0,52,1745136,192,19,1744339
1,34,2521,109,58,1283
0,91,250812,146,15,249592
0,58,731234,57,19,730422
1,7,1075329,3,14,1075195
0,25,137805,160,12,136807
1,10,461022,201,14,460051
0,16,1604402,189,18,1603254
1,0,11189,50,46,10047
1,70,13960,14,26,13361
0,0,39296,63,48,38151
1,7,375903,35,4,374896
0,90,12268,237,81,10958
1,58,2097143,191,19,2096334
0,27,13009,154,68,11804
0,88,550504,49,7,549704
1,33,11743,224,37,10985
0,34,556235,173,1,555144
0,56,1165493,230,15,1164663
0,75,381597,15,10,380962
1,19,9178,76,29,8375
1,53,2165485,186,18,2164835
0,46,41345,80,30,40839
0,73,29968,166,72,28721
0,28,358168,103,18,357524
0,62,492438,202,14,491209
0,98,37518,31,27,36670
0,47,1588977,123,17,1588012
1,67,1147481,177,17,1146423
0,82,15379,219,78,14528
0,80,77977,41,3,77144
0,7,617253,207,14,616495
1,27,3650,150,65,2478
1,10,537352,90,14,536177
1,58,35179,44,13,34406
1,27,614,51,46,222
1,14,1921338,127,18,1920505
1,25,287088,100,12,285889
0,71,1173402,231,15,1172566
1,27,37248,167,72,35989
1,51,55904,32,27,55386
0,4,1887968,129,18,1886823
0,24,432927,247,5,431740
1,27,13082,113,60,12327
0,71,386514,175,15,385279
0,62,832741,210,14,831566
0,27,28969,25,40,28568
0,74,738,2,22,1
0,102,5008,9,25,4142
1,32,227094,19,12,226831
0,0,14090,64,48,12945
1,15,1026,225,79,841
0,0,1863,104,57,1015
1,78,2029082,20,19,2027874
0,9,445921,18,4,445157
0,7,247162,12,14,246347
1,7,1022329,213,14,1021526
0,27,23025,136,63,22318
1,83,1675,215,34,854
0,101,26635,165,72,25832
1,35,2151652,67,19,2150759
0,47,2155792,187,18,2155145
0,30,392050,88,12,391007
1,60,19523,47,28,18321
0,52,1687805,71,19,1687044
0,0,10624,96,52,9845
0,71,266241,144,15,265438
0,10,305564,86,14,304740
0,26,486743,59,1,485586
0,7,277578,84,14,276769
1,5,827468,209,14,826311
0,3,1047,1,21,259
1,49,265814,200,11,265029
0,27,18784,99,55,18002
1,10,997273,212,14,996476
0,10,297062,81,14,295851
1,36,13592,102,56,12324
1,0,30765,28,42,29968
0,7,422034,17,4,420934
1,62,941707,7,14,940901
0,44,12388,138,64,11468
1,15,269718,149,19,269074
1,31,65754,234,80,64810
1,99,1522877,182,17,1521903
1,11,17173,217,77,16040
0,27,13948,30,43,13148
0,10,313431,85,14,312547
0,10,285745,83,14,284939
1,52,975187,117,19,974237
0,52,1679298,73,19,1678525
0,42,6002,241,82,5043
1,15,1592913,75,19,1591840
0,15,663114,16,19,662260
1,10,407549,139,14,406749
0,7,251858,21,14,251211
1,13,4723,24,39,4340
1,27,23810,60,47,22572
0,75,231201,246,5,230431
0,28,2142542,188,18,2141583
0,27,13418,152,67,12669
0,72,1694274,70,19,1693627
0,17,25842,199,75,24370
0,29,9998,78,50,9753
0,45,1577124,190,18,1576114
0,18,1229889,179,17,1228786
0,77,1778534,131,18,1777443
1,5,1152958,195,14,1151783
0,62,907521,142,14,906301
0,51,23852,33,27,23046
0,71,1148502,229,15,1147669
1,21,655,0,83,2
0,33,223492,245,5,222386
0,72,1631767,72,19,1631120
0,10,658646,92,14,657867
0,71,272963,214,15,272211
0,76,11872,132,61,11348
0,71,247509,145,15,246700
